mechanism	corpus	mutual_information_bits
M0_IDENTITY	Astafiev	5.93110497
M0_IDENTITY	Doyle	6.10935814
M0_IDENTITY	Longfellow	5.8274873
M1_MONOALPHABETIC	Astafiev	5.93110497
M1_MONOALPHABETIC	Doyle	6.10935814
M1_MONOALPHABETIC	Longfellow	5.8274873
M2_HOMOPHONY_H2	Doyle	6.10935814
M2_HOMOPHONY_H2	Longfellow	5.8274873
M2_HOMOPHONY_H2	Astafiev	5.93110497
M3_FORM_LOW	Astafiev	1.28004575
M3_FORM_LOW	Doyle	1.29597311
M3_FORM_LOW	Longfellow	1.30888081
M4_STATE_K2_A	Astafiev	5.26729318
M4_STATE_K2_A	Doyle	5.46057344
M4_STATE_K2_A	Longfellow	5.23324796
M5_DRIFT_N5	Astafiev	2.27467914
M5_DRIFT_N5	Doyle	2.55362352
M5_DRIFT_N5	Longfellow	2.41872997
M6_MACRO_K2	Doyle	5.50615395
M6_MACRO_K2	Longfellow	5.25043463
M6_MACRO_K2	Astafiev	5.2416928
M7_MIXED_K2_N5	Doyle	2.53977851
M7_MIXED_K2_N5	Longfellow	2.40391187
M7_MIXED_K2_N5	Astafiev	2.25778237
M8_BOUNDARY_FIXED	Astafiev	0.0708205144
M8_BOUNDARY_FIXED	Doyle	0.0443524532
M8_BOUNDARY_FIXED	Longfellow	0.044598915
M9_GROUP_FORM_FIXED	Astafiev	0.0465431864
M9_GROUP_FORM_FIXED	Doyle	0.0349488451
M9_GROUP_FORM_FIXED	Longfellow	0.0395493208
M10_STATEFUL_FORM_K2	Doyle	0.0733651867
M10_STATEFUL_FORM_K2	Longfellow	0.0755044549
M10_STATEFUL_FORM_K2	Astafiev	0.092767915
M11_MIXED_FORM_K2	Doyle	0.15884799
M11_MIXED_FORM_K2	Longfellow	0.171627
M11_MIXED_FORM_K2	Astafiev	0.189276802
