mechanism	states	symbol_classes	transition_parameters	output_rules	stochastic_distributions	information_status
M0_IDENTITY	1	1	0	1	0	REVERSIBLE
M1_MONOALPHABETIC	1	1	0	1	0	REVERSIBLE
M2_HOMOPHONY_H2	1	1	0	1	1	AMBIGUOUS
M2_HOMOPHONY_H4	1	1	0	1	1	AMBIGUOUS
M2_HOMOPHONY_H8	1	1	0	1	1	AMBIGUOUS
M3_FORM_LOW	1	6	0	3	0	LOSSY
M3_FORM_MEDIUM	1	12	0	6	0	LOSSY
M3_FORM_HIGH	1	18	0	9	0	LOSSY
M4_STATE_K2_A	2	1	2	1	0	REVERSIBLE_WITH_KEY_STATE
M4_STATE_K2_B	2	1	2	1	0	REVERSIBLE_WITH_KEY_STATE
M4_STATE_K2_C	2	1	2	1	0	REVERSIBLE_WITH_KEY_STATE
M4_STATE_K4_A	4	1	4	1	0	REVERSIBLE_WITH_KEY_STATE
M4_STATE_K4_B	4	1	4	1	0	REVERSIBLE_WITH_KEY_STATE
M4_STATE_K4_C	4	1	4	1	0	REVERSIBLE_WITH_KEY_STATE
M4_STATE_K8_A	8	1	8	1	0	REVERSIBLE_WITH_KEY_STATE
M4_STATE_K8_B	8	1	8	1	0	REVERSIBLE_WITH_KEY_STATE
M4_STATE_K8_C	8	1	8	1	0	REVERSIBLE_WITH_KEY_STATE
M5_DRIFT_N5	1000	1	1000	1	0	REVERSIBLE_WITH_KEY_STATE
M5_DRIFT_N20	1000	1	1000	1	0	REVERSIBLE_WITH_KEY_STATE
M5_DRIFT_N80	1000	1	1000	1	0	REVERSIBLE_WITH_KEY_STATE
M6_MACRO_K2	2	1	2	1	0	REVERSIBLE_WITH_KEY_STATE
M6_MACRO_K5	5	1	5	1	0	REVERSIBLE_WITH_KEY_STATE
M7_MIXED_K2_N5	2000	1	1002	1	0	REVERSIBLE_WITH_KEY_STATE
M7_MIXED_K2_N20	2000	1	1002	1	0	REVERSIBLE_WITH_KEY_STATE
M7_MIXED_K2_N80	2000	1	1002	1	0	REVERSIBLE_WITH_KEY_STATE
M7_MIXED_K5_N5	5000	1	1005	1	0	REVERSIBLE_WITH_KEY_STATE
M7_MIXED_K5_N20	5000	1	1005	1	0	REVERSIBLE_WITH_KEY_STATE
M7_MIXED_K5_N80	5000	1	1005	1	0	REVERSIBLE_WITH_KEY_STATE
M8_BOUNDARY_FIXED	4	1	4	1	0	REVERSIBLE_WITH_KEY_STATE
M8_BOUNDARY_RANDOM	4	1	4	1	1	AMBIGUOUS
M8_BOUNDARY_STATE	4	1	4	1	0	REVERSIBLE_WITH_KEY_STATE
M9_GROUP_FORM_FIXED	1	12	0	6	0	LOSSY
M9_GROUP_FORM_RANDOM	1	12	0	6	1	LOSSY
M9_GROUP_FORM_STATE	1	12	0	6	0	LOSSY
M10_STATEFUL_FORM_K2	2	12	2	6	0	LOSSY
M10_STATEFUL_FORM_K4	4	12	4	6	0	LOSSY
M10_STATEFUL_FORM_K8	8	12	8	6	0	LOSSY
M11_MIXED_FORM_K2	8	12	6	6	0	LOSSY
M11_MIXED_FORM_K5	20	12	9	6	0	LOSSY
