mechanism	corpus	replicates	token_order_bits	token_order_ci_lo	token_order_ci_hi	edge_order_bits	weighted_entropy	giant_component_fraction	exact_adjacent_repeat_rate	h1	h2	h3	h4	position_gain_bits	order_gain_bits	adjacent_near_rate	residual_adjacency	correlation_length_tokens	cluster_stability	within_cluster_drift	line_boundary_delta	topology
M0_IDENTITY	Astafiev	5	1.41057695	1.41057695	1.41057695	0.341804061	0.71967884	0	0.00039653167	4.5249676	3.35761267	2.37860655	1.5582518	0.374345542	1.02376782	0.0170141446	-0.0199937294	0	0	0	0	NOT_COMPUTED
M0_IDENTITY	Doyle	5	0.839899577	0.839899577	0.839899577	0.0731190374	0.886712617	0	0.000610060451	4.09895648	3.2972487	2.62248045	2.00798711	0.290815748	0.710281258	0.0117067473	-0.0171985106	0	0	0	0	NOT_COMPUTED
M0_IDENTITY	Longfellow	5	0.62993494	0.62993494	0.62993494	0.0921929319	0.834765652	0	0.00139132982	4.1302431	3.27080041	2.54419249	1.8450845	0.266690738	0.728281879	0.00704438263	-0.026796002	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K2	Astafiev	5	1.0579641	1.01921202	1.09671618	0.0215233277	0.251219394	0	0.00364908687	3.86260811	2.1355886	2.50531935	2.09713643	1.07459175	1.23093511	0.0233111452	0.02325652	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K2	Doyle	5	1.08502653	1.05690346	1.11314959	0.0626921185	0.251920996	0	0.002673692	3.86461348	2.10126755	2.45508082	2.0390884	1.07176837	1.25399213	0.0219425635	0.0219382081	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K2	Longfellow	5	1.09730989	1.06439612	1.13022366	0.0611193095	0.252101987	0	0.00248915973	3.86640937	2.09784551	2.45382146	2.04513532	1.07096574	1.25787181	0.0221633658	0.0221539884	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K4	Astafiev	5	1.12501454	1.108635	1.14139407	0.0446295512	0.408720135	0	0.00107868237	4.22133914	2.5144381	2.57676395	2.13126861	0.847210361	1.25288125	0.0081583888	0.00770431666	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K4	Doyle	5	1.16778591	1.15242483	1.18314698	0.0691620159	0.403368865	0	0.00117137321	4.21276306	2.49461633	2.52829514	2.068097	0.854034267	1.26796085	0.00865248536	0.00839987212	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K4	Longfellow	5	1.16614813	1.14510909	1.18718718	0.070758664	0.405047536	0	0.00111566858	4.21398979	2.49202547	2.52530691	2.07253238	0.849873258	1.26540545	0.00856908473	0.00835809448	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K8	Astafiev	5	1.0082151	0.995370529	1.02105967	0.106457348	0.686840401	0	0	4.48338959	3.04698048	2.67634594	2.13707231	0.445527041	1.08547829	0.000447175286	0.000208189949	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K8	Doyle	5	1.05593563	1.04196555	1.06990571	0.133460189	0.691602694	0	0	4.4726159	3.03404468	2.63503642	2.07073718	0.437740414	1.08856228	0.000300463759	0.000213355745	0	0	0	0	NOT_COMPUTED
M10_STATEFUL_FORM_K8	Longfellow	5	1.04821757	1.02746816	1.06896698	0.132874629	0.691950406	0	0	4.4743748	3.0344652	2.63142485	2.07170245	0.437244398	1.08823868	0.00021094574	7.49742472e-05	0	0	0	0	NOT_COMPUTED
M11_MIXED_FORM_K2	Astafiev	5	1.03371985	1.01916834	1.04827136	0.370437253	0.644665434	0	0.00107868237	4.47812106	2.96348353	2.6571499	2.13658429	0.245370285	1.0643351	0.00803891449	0.00758825643	0	0	0	0	NOT_COMPUTED
M11_MIXED_FORM_K2	Doyle	5	1.0717395	1.05683232	1.08664668	0.406072192	0.640187811	0	0.00117137321	4.46809814	2.94749301	2.61477083	2.06866175	0.249093677	1.07091268	0.00861329443	0.008391169	0	0	0	0	NOT_COMPUTED
