mechanism	null	corpus	correlation_length_tokens	cluster_stability	weighted_entropy	h2
M4_STATE_K4_A	REAL	Astafiev	10	0.75171875	0.913630287	3.97872744
M4_STATE_K4_A	REAL	Doyle	10	0.766875	1.01608243	3.89135946
M4_STATE_K4_A	REAL	Longfellow	10	0.75171875	0.953806705	3.89587707
M4_STATE_K4_A	SHUFFLED_STATE	Astafiev	10	0.76171875	0.913752837	3.97826257
M4_STATE_K4_A	SHUFFLED_STATE	Doyle	10	0.74234375	1.01598473	3.8908405
M4_STATE_K4_A	SHUFFLED_STATE	Longfellow	10	0.74875	0.953724003	3.89549052
M4_STATE_K4_A	FIXED_STATE	Astafiev	10	0.78359375	0.805782774	3.29760956
M4_STATE_K4_A	FIXED_STATE	Doyle	10	0.739375	0.909272108	3.20864182
M4_STATE_K4_A	FIXED_STATE	Longfellow	10	0.75484375	0.856096255	3.1866692
M4_STATE_K4_A	FAST_STATE	Astafiev	10	0.75171875	0.913630287	3.97872744
M4_STATE_K4_A	FAST_STATE	Doyle	10	0.766875	1.01608243	3.89135946
M4_STATE_K4_A	FAST_STATE	Longfellow	10	0.75171875	0.953806705	3.89587707
M5_DRIFT_N20	REAL	Astafiev	10	0.73703125	0.97729094	4.49950288
M5_DRIFT_N20	REAL	Doyle	10	0.71296875	1.07558319	4.41632822
M5_DRIFT_N20	REAL	Longfellow	10	0.73546875	1.01199288	4.50060707
M5_DRIFT_N20	SHUFFLED_STATE	Astafiev	10	0.8059375	0.977377563	4.50032887
M5_DRIFT_N20	SHUFFLED_STATE	Doyle	10	0.72140625	1.07559281	4.41619966
M5_DRIFT_N20	SHUFFLED_STATE	Longfellow	10	0.73546875	1.01208397	4.50142018
M5_DRIFT_N20	FIXED_STATE	Astafiev	10	0.78359375	0.805782774	3.29760956
M5_DRIFT_N20	FIXED_STATE	Doyle	10	0.739375	0.909272108	3.20864182
M5_DRIFT_N20	FIXED_STATE	Longfellow	10	0.75484375	0.856096255	3.1866692
M5_DRIFT_N20	FAST_STATE	Astafiev	10	0.76953125	0.977381472	4.50018472
M5_DRIFT_N20	FAST_STATE	Doyle	10	0.72328125	1.0755328	4.41593222
M5_DRIFT_N20	FAST_STATE	Longfellow	10	0.741875	1.01208875	4.50164372
M7_MIXED_K5_N20	REAL	Astafiev	10	0.73859375	0.97741819	4.50125232
M7_MIXED_K5_N20	REAL	Doyle	10	0.724375	1.07575919	4.41818234
M7_MIXED_K5_N20	REAL	Longfellow	10	0.76890625	1.01212803	4.50262436
M7_MIXED_K5_N20	SHUFFLED_STATE	Astafiev	10	0.77	0.977528493	4.50291201
M7_MIXED_K5_N20	SHUFFLED_STATE	Doyle	10	0.72296875	1.07584529	4.41903756
M7_MIXED_K5_N20	SHUFFLED_STATE	Longfellow	10	0.72578125	1.01228032	4.50465142
M7_MIXED_K5_N20	FIXED_STATE	Astafiev	10	0.73984375	0.922566915	4.03848017
M7_MIXED_K5_N20	FIXED_STATE	Doyle	10	0.73578125	1.01971197	3.93895577
M7_MIXED_K5_N20	FIXED_STATE	Longfellow	10	0.72796875	0.960016153	3.94810258
M7_MIXED_K5_N20	FAST_STATE	Astafiev	10	0.74875	0.977534966	4.50261579
M7_MIXED_K5_N20	FAST_STATE	Doyle	10	0.71796875	1.07581292	4.41891957
M7_MIXED_K5_N20	FAST_STATE	Longfellow	10	0.72546875	1.01227878	4.50498812
