family	metric	source_task	artifact	field	value	status
TOKEN_ORDER	token_order_bits	Task58	experiments/rozanova-temerev-v1/comparison.tsv	token_corrected_bits	0.0910092078	VALUE
TOKEN_ORDER	edge_order_bits	Task58	experiments/rozanova-temerev-v1/comparison.tsv	edge_corrected_bits	0.215811958	VALUE
POSITIONAL_STRUCTURE	weighted_entropy	Task59	experiments/glyph-position-v1/POSITIONAL_SPECIALIZATION_COMPARISON.tsv	WeightedEntropy	0.59640936	VALUE
POSITIONAL_STRUCTURE	high_freq_specialists	Task59	experiments/glyph-position-v1/POSITIONAL_SPECIALIZATION_COMPARISON.tsv	HighFreqSpecialists	6	VALUE
REPETITION_EDIT_GEOMETRY	giant_component_fraction	Task60	experiments/token-repetition-v1/EDIT_FAMILIES.tsv	LargestComponent/types	0.866933527	VALUE
REPETITION_EDIT_GEOMETRY	exact_adjacent_repeat_rate	Task60	experiments/token-repetition-v1/NULL_EXACT_REPETITION.tsv	ObservedR2	0.00911899	VALUE
CHARACTER_ENTROPY	h1	Task61	experiments/character-entropy-v1/ENTROPY_BY_ORDER.tsv	EntropyBits@Order=0	3.9275576	VALUE
CHARACTER_ENTROPY	h2	Task61	experiments/character-entropy-v1/ENTROPY_BY_ORDER.tsv	EntropyBits@Order=1	2.44576618	VALUE
CHARACTER_ENTROPY	h3	Task61	experiments/character-entropy-v1/ENTROPY_BY_ORDER.tsv	EntropyBits@Order=2	2.21506693	VALUE
CHARACTER_ENTROPY	h4	Task61	experiments/character-entropy-v1/ENTROPY_BY_ORDER.tsv	EntropyBits@Order=3	2.0935605	VALUE
TOKEN_FORMATION	position_gain_bits	Task62	experiments/token-formation-v1/MODEL_HELDOUT_FIT.tsv	TestCrossEntropy(IID)-TestCrossEntropy(POSITION_IID)	0.701547993	VALUE
TOKEN_FORMATION	order_gain_bits	Task62	experiments/token-formation-v1/MODEL_HELDOUT_FIT.tsv	TestCrossEntropy(IID)-TestCrossEntropy(MARKOV_1)	1.20866105	VALUE
LOCAL_TRANSITION	adjacent_near_rate	Task63	experiments/token-transition-v1/DISTANCE_BY_SEPARATION.tsv	NearRate@Separation=1	0.058655685	VALUE
LOCAL_TRANSITION	residual_adjacency	Task63	experiments/token-transition-v1/DISTANCE_BY_SEPARATION.tsv	NearRate@1-NearRate@10	0.009742642	VALUE
LOCAL_REGIME_TOPOLOGY	correlation_length_tokens	Task65	experiments/local-regime-topology-v1/CORRELATION_LENGTH.tsv	Value@Unit=TOKEN,Threshold=50pct	20	VALUE
LOCAL_REGIME_TOPOLOGY	topology_class_is_mixed	Task65	experiments/local-regime-topology-v1/manifest.json	topology	1	VALUE
LOCAL_REGIME_TOPOLOGY	line_boundary_delta	Task65	experiments/local-regime-topology-v1/BOUNDARY_DISCONTINUITY.tsv	Delta@Boundary=LINE_BOUNDARY	-0.000603036	VALUE
