candidate	corpus	block_length	log2_N	log2_N_per_input	growth_class	source
M0_IDENTITY	Doyle	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Doyle	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Doyle	32	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Doyle	64	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M0_IDENTITY	Doyle	128	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Doyle	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Doyle	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Doyle	32	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Doyle	64	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M1_MONOALPHABETIC	Doyle	128	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Doyle	8	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Doyle	16	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Doyle	32	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Doyle	64	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
M2_HOMOPHONY_H2	Doyle	128	0.00000000	0.00000000	SUBEXPONENTIAL_IN_OBSERVED_BLOCK	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Doyle	8	20.66553023	2.58319128	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Doyle	16	54.11884056	3.38242753	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Doyle	32	108.93465190	3.40420787	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Doyle	64	223.40934352	3.49077099	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
G_FORM_MEDIUM	Doyle	128	460.18302411	3.59517988	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Doyle	8	55.21931872	6.90241484	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Doyle	16	104.31936958	6.51996060	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Doyle	32	204.93427266	6.40419602	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Doyle	64	415.10770669	6.48605792	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M9_GROUP_FORM_FIXED	Doyle	128	823.86004741	6.43640662	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Doyle	8	52.90285074	6.61285634	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Doyle	16	91.89179851	5.74323741	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Doyle	32	180.26146217	5.63317069	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Doyle	64	361.03358774	5.64114981	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M10_STATEFUL_FORM_K2	Doyle	128	714.97949928	5.58577734	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
M11_MIXED_FORM_K2	Doyle	8	41.75876438	5.21984555	EXPONENTIAL_OBSERVED_LOWER_BOUND	TRAIN+VALIDATION codebook applied to TEST ciphertext
