candidate	corpus	error_channel	error_rate	replicate	seed	injected_errors	glyph_recovery	token_recovery	word_error_rate	exact_message_recovery	output_tokens
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	0	67001912	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	1	67002921	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	2	67003930	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	3	67004939	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	4	67005948	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	5	67006957	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	6	67007966	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	7	67008975	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	8	67009984	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	9	67010993	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	10	67012002	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	11	67013011	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	12	67014020	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	13	67015029	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	14	67016038	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	15	67017047	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	16	67018056	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	17	67019065	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	18	67020074	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	19	67021083	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	20	67022092	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	21	67023101	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	22	67024110	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	23	67025119	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	24	67026128	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	25	67027137	0	1.00000000	1.00000000	0.00000000	1	128
