candidate	corpus	decoder_condition	model_corpus	glyph_recovery	token_recovery	word_error_rate	exact_message_recovery	training_scope
M0_IDENTITY	Doyle	TRAIN_VALIDATION_LOCAL	Doyle	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M0_IDENTITY	Doyle	WRONG_LANGUAGE_CONTROL	Astafiev	1.00000000	1.00000000	0.00000000	1	other corpus TRAIN+VALIDATION only
M1_MONOALPHABETIC	Doyle	TRAIN_VALIDATION_LOCAL	Doyle	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M1_MONOALPHABETIC	Doyle	WRONG_LANGUAGE_CONTROL	Astafiev	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M2_HOMOPHONY_H2	Doyle	TRAIN_VALIDATION_LOCAL	Doyle	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M2_HOMOPHONY_H2	Doyle	WRONG_LANGUAGE_CONTROL	Astafiev	1.00000000	1.00000000	0.00000000	1	other corpus TRAIN+VALIDATION only
G_FORM_MEDIUM	Doyle	TRAIN_VALIDATION_LOCAL	Doyle	0.62332696	0.57031250	0.42968750	0	TRAIN+VALIDATION only
G_FORM_MEDIUM	Doyle	WRONG_LANGUAGE_CONTROL	Astafiev	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M9_GROUP_FORM_FIXED	Doyle	TRAIN_VALIDATION_LOCAL	Doyle	0.44656489	0.19083969	0.80916031	0	TRAIN+VALIDATION only
M9_GROUP_FORM_FIXED	Doyle	WRONG_LANGUAGE_CONTROL	Astafiev	0.00572519	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M10_STATEFUL_FORM_K2	Doyle	TRAIN_VALIDATION_LOCAL	Doyle	0.30975143	0.08000000	0.92000000	0	TRAIN+VALIDATION only
M10_STATEFUL_FORM_K2	Doyle	WRONG_LANGUAGE_CONTROL	Astafiev	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M11_MIXED_FORM_K2	Doyle	TRAIN_VALIDATION_LOCAL	Doyle	0.27915870	0.08666667	0.91333333	0	TRAIN+VALIDATION only
M11_MIXED_FORM_K2	Doyle	WRONG_LANGUAGE_CONTROL	Astafiev	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M0_IDENTITY	Longfellow	TRAIN_VALIDATION_LOCAL	Longfellow	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M0_IDENTITY	Longfellow	WRONG_LANGUAGE_CONTROL	Doyle	1.00000000	1.00000000	0.00000000	1	other corpus TRAIN+VALIDATION only
M1_MONOALPHABETIC	Longfellow	TRAIN_VALIDATION_LOCAL	Longfellow	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M1_MONOALPHABETIC	Longfellow	WRONG_LANGUAGE_CONTROL	Doyle	0.13000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M2_HOMOPHONY_H2	Longfellow	TRAIN_VALIDATION_LOCAL	Longfellow	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M2_HOMOPHONY_H2	Longfellow	WRONG_LANGUAGE_CONTROL	Doyle	1.00000000	1.00000000	0.00000000	1	other corpus TRAIN+VALIDATION only
G_FORM_MEDIUM	Longfellow	TRAIN_VALIDATION_LOCAL	Longfellow	0.50333333	0.48437500	0.51562500	0	TRAIN+VALIDATION only
G_FORM_MEDIUM	Longfellow	WRONG_LANGUAGE_CONTROL	Doyle	0.50833333	0.42968750	0.57031250	0	other corpus TRAIN+VALIDATION only
M9_GROUP_FORM_FIXED	Longfellow	TRAIN_VALIDATION_LOCAL	Longfellow	0.40166667	0.12000000	0.88000000	0	TRAIN+VALIDATION only
M9_GROUP_FORM_FIXED	Longfellow	WRONG_LANGUAGE_CONTROL	Doyle	0.40666667	0.10666667	0.89333333	0	other corpus TRAIN+VALIDATION only
M10_STATEFUL_FORM_K2	Longfellow	TRAIN_VALIDATION_LOCAL	Longfellow	0.34000000	0.13872832	0.86127168	0	TRAIN+VALIDATION only
M10_STATEFUL_FORM_K2	Longfellow	WRONG_LANGUAGE_CONTROL	Doyle	0.32833333	0.16763006	0.83236994	0	other corpus TRAIN+VALIDATION only
M11_MIXED_FORM_K2	Longfellow	TRAIN_VALIDATION_LOCAL	Longfellow	0.28833333	0.13872832	0.86127168	0	TRAIN+VALIDATION only
M11_MIXED_FORM_K2	Longfellow	WRONG_LANGUAGE_CONTROL	Doyle	0.29500000	0.12716763	0.87283237	0	other corpus TRAIN+VALIDATION only
M0_IDENTITY	Astafiev	TRAIN_VALIDATION_LOCAL	Astafiev	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M0_IDENTITY	Astafiev	WRONG_LANGUAGE_CONTROL	Longfellow	1.00000000	1.00000000	0.00000000	1	other corpus TRAIN+VALIDATION only
M1_MONOALPHABETIC	Astafiev	TRAIN_VALIDATION_LOCAL	Astafiev	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M1_MONOALPHABETIC	Astafiev	WRONG_LANGUAGE_CONTROL	Longfellow	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M2_HOMOPHONY_H2	Astafiev	TRAIN_VALIDATION_LOCAL	Astafiev	1.00000000	1.00000000	0.00000000	1	TRAIN+VALIDATION only
M2_HOMOPHONY_H2	Astafiev	WRONG_LANGUAGE_CONTROL	Longfellow	1.00000000	1.00000000	0.00000000	1	other corpus TRAIN+VALIDATION only
G_FORM_MEDIUM	Astafiev	TRAIN_VALIDATION_LOCAL	Astafiev	0.55970149	0.55468750	0.44531250	0	TRAIN+VALIDATION only
G_FORM_MEDIUM	Astafiev	WRONG_LANGUAGE_CONTROL	Longfellow	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M9_GROUP_FORM_FIXED	Astafiev	TRAIN_VALIDATION_LOCAL	Astafiev	0.34821429	0.16666667	0.83333333	0	TRAIN+VALIDATION only
M9_GROUP_FORM_FIXED	Astafiev	WRONG_LANGUAGE_CONTROL	Longfellow	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M10_STATEFUL_FORM_K2	Astafiev	TRAIN_VALIDATION_LOCAL	Astafiev	0.33134328	0.11458333	0.88541667	0	TRAIN+VALIDATION only
M10_STATEFUL_FORM_K2	Astafiev	WRONG_LANGUAGE_CONTROL	Longfellow	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
M11_MIXED_FORM_K2	Astafiev	TRAIN_VALIDATION_LOCAL	Astafiev	0.31343284	0.10937500	0.89062500	0	TRAIN+VALIDATION only
M11_MIXED_FORM_K2	Astafiev	WRONG_LANGUAGE_CONTROL	Longfellow	0.00000000	0.00000000	1.00000000	0	other corpus TRAIN+VALIDATION only
