candidate	corpus	block_length	log2_plausible_preimages	log2_N_per_input	exactly_counted_units	bound_status	measurement
M0_IDENTITY	Doyle	8	0.00000000	0.00000000	8	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
M0_IDENTITY	Doyle	16	0.00000000	0.00000000	16	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
M0_IDENTITY	Doyle	32	0.00000000	0.00000000	29	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M0_IDENTITY	Doyle	64	0.00000000	0.00000000	57	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M0_IDENTITY	Doyle	128	0.00000000	0.00000000	115	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M1_MONOALPHABETIC	Doyle	8	0.00000000	0.00000000	1	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M1_MONOALPHABETIC	Doyle	16	0.00000000	0.00000000	1	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M1_MONOALPHABETIC	Doyle	32	0.00000000	0.00000000	1	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M1_MONOALPHABETIC	Doyle	64	0.00000000	0.00000000	2	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M1_MONOALPHABETIC	Doyle	128	0.00000000	0.00000000	4	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M2_HOMOPHONY_H2	Doyle	8	0.00000000	0.00000000	5	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M2_HOMOPHONY_H2	Doyle	16	0.00000000	0.00000000	11	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M2_HOMOPHONY_H2	Doyle	32	0.00000000	0.00000000	21	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M2_HOMOPHONY_H2	Doyle	64	0.00000000	0.00000000	44	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M2_HOMOPHONY_H2	Doyle	128	0.00000000	0.00000000	88	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
G_FORM_MEDIUM	Doyle	8	20.66553023	2.58319128	8	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
G_FORM_MEDIUM	Doyle	16	54.11884056	3.38242753	16	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
G_FORM_MEDIUM	Doyle	32	108.93465190	3.40420787	32	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
G_FORM_MEDIUM	Doyle	64	223.40934352	3.49077099	64	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
G_FORM_MEDIUM	Doyle	128	460.18302411	3.59517988	128	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M9_GROUP_FORM_FIXED	Doyle	8	55.21931872	6.90241484	8	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
M9_GROUP_FORM_FIXED	Doyle	16	104.31936958	6.51996060	16	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
M9_GROUP_FORM_FIXED	Doyle	32	204.93427266	6.40419602	32	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M9_GROUP_FORM_FIXED	Doyle	64	415.10770669	6.48605792	64	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M9_GROUP_FORM_FIXED	Doyle	128	823.86004741	6.43640662	128	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M10_STATEFUL_FORM_K2	Doyle	8	52.90285074	6.61285634	8	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
M10_STATEFUL_FORM_K2	Doyle	16	91.89179851	5.74323741	16	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
M10_STATEFUL_FORM_K2	Doyle	32	180.26146217	5.63317069	32	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M10_STATEFUL_FORM_K2	Doyle	64	361.03358774	5.64114981	64	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M10_STATEFUL_FORM_K2	Doyle	128	714.97949928	5.58577734	127	OBSERVED_CODEBOOK_LOWER_BOUND	product of independently observed local preimage sets
M11_MIXED_FORM_K2	Doyle	8	41.75876438	5.21984555	8	EXACT_WITHIN_TRAIN_VALIDATION_CODEBOOK	product of independently observed local preimage sets
