candidate	corpus	error_type	error_position	L_sync	catastrophic_desync	recovery_after_error	measurement
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_DELETION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_DELETION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_DELETION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_DELETION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_INSERTION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_INSERTION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_INSERTION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	GLYPH_INSERTION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_INSERTION	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_BOUNDARY_DELETION	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_MERGE	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_MERGE	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_MERGE	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_MERGE	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_SPLIT	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_SPLIT	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_SPLIT	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M0_IDENTITY	Doyle	TOKEN_SPLIT	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_SUBSTITUTION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_SUBSTITUTION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_SUBSTITUTION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_SUBSTITUTION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_DELETION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_DELETION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_DELETION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_DELETION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_INSERTION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_INSERTION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_INSERTION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	GLYPH_INSERTION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_BOUNDARY_INSERTION	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_BOUNDARY_INSERTION	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_BOUNDARY_INSERTION	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_BOUNDARY_INSERTION	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_BOUNDARY_DELETION	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_BOUNDARY_DELETION	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_BOUNDARY_DELETION	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_BOUNDARY_DELETION	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_MERGE	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_MERGE	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_MERGE	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_MERGE	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_SPLIT	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_SPLIT	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_SPLIT	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M1_MONOALPHABETIC	Doyle	TOKEN_SPLIT	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_SUBSTITUTION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_SUBSTITUTION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_SUBSTITUTION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_SUBSTITUTION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_DELETION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_DELETION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_DELETION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_DELETION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_INSERTION	0	1	false	0.99218750	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_INSERTION	32	1	false	0.98958333	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_INSERTION	64	1	false	0.98437500	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	GLYPH_INSERTION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_BOUNDARY_INSERTION	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_BOUNDARY_INSERTION	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_BOUNDARY_INSERTION	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_BOUNDARY_INSERTION	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_BOUNDARY_DELETION	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_BOUNDARY_DELETION	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_BOUNDARY_DELETION	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_BOUNDARY_DELETION	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_MERGE	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_MERGE	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_MERGE	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_MERGE	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_SPLIT	0	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_SPLIT	32	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_SPLIT	64	-1	true	0.00000000	three consecutive positionally correct decoded units
M2_HOMOPHONY_H2	Doyle	TOKEN_SPLIT	126	-2	false	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_SUBSTITUTION	0	1	false	0.99218750	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_SUBSTITUTION	32	1	false	1.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_SUBSTITUTION	64	1	false	0.98437500	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_SUBSTITUTION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_DELETION	0	1	false	0.99218750	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_DELETION	32	1	false	0.98958333	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_DELETION	64	1	false	0.98437500	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_DELETION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_INSERTION	0	1	false	0.99218750	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_INSERTION	32	1	false	0.98958333	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_INSERTION	64	1	false	0.98437500	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	GLYPH_INSERTION	126	-2	false	0.50000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_BOUNDARY_INSERTION	0	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_BOUNDARY_INSERTION	32	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_BOUNDARY_INSERTION	64	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_BOUNDARY_INSERTION	126	-2	false	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_BOUNDARY_DELETION	0	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_BOUNDARY_DELETION	32	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_BOUNDARY_DELETION	64	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_BOUNDARY_DELETION	126	-2	false	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_MERGE	0	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_MERGE	32	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_MERGE	64	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_MERGE	126	-2	false	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_SPLIT	0	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_SPLIT	32	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_SPLIT	64	-1	true	0.00000000	three consecutive positionally correct decoded units
G_FORM_MEDIUM	Doyle	TOKEN_SPLIT	126	-2	false	0.00000000	three consecutive positionally correct decoded units
M9_GROUP_FORM_FIXED	Doyle	GLYPH_SUBSTITUTION	0	1	false	0.99236641	three consecutive positionally correct decoded units
