corpus	path	tokens	lines	pairs	types	token_observed_bits	token_shuffle_mean_bits	token_shuffle_sd_bits	token_corrected_bits	token_share	glyph_status	edge_observed_bits	edge_shuffle_mean_bits	edge_shuffle_sd_bits	edge_corrected_bits	edge_share
Doyle	data_test/pg2097-2.txt	43713	3670	40043	5360	3.2742346516872978	2.5085504600888493	0.005442614549930376	0.7656841915984485	0.09404063920266237	APPLICABLE	0.0856268313711066	0.013495198305781653	0.0006862935229016102	0.07213163306532495	0.01767602260185877
Longfellow	data_test/pg30795-mod.txt	33077	5765	27312	4975	3.4802146006855104	3.2807188081163496	0.009500093477488173	0.19949579256916072	0.02415252492199472	APPLICABLE	0.15987758109346029	0.04326094874380626	0.0018614922853749153	0.11661663234965403	0.026901259223609135
Astafiev	data_test/astafiev-1000-culinar-receipts-prepared.txt	85280	3610	81670	6576	4.343707122554191	2.718820886009916	0.003764385242740592	1.6248862365442749	0.18633312939662758	APPLICABLE	0.3814532736411511	0.06952750859361441	0.0010505048418103997	0.3119257650475367	0.07127252540838007
Voynich	data_work/ZL3b-x7.canonical.txt	39380	5385	33995	8244	3.0532004607454244	2.9621912529725636	0.005957266730383551	0.09100920777286081	0.01101821816769834	APPLICABLE	0.2517302583553489	0.035918300112118204	0.001850571112260882	0.21581195824323068	0.06256823127746944
Doyle-H2	data_test/transformed/doyle__homophonic__h002__uniform__seed001.txt	43713	3670	40043	7286	3.343218406321336	2.778489028618547	0.004540604648665631	0.5647293777027889	0.06824956086337497	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Doyle-H4	data_test/transformed/doyle__homophonic__h004__uniform__seed001.txt	43713	3670	40043	9599	3.2865060936284483	2.892435508297107	0.005296456996721574	0.3940705853313413	0.0483035538802193	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Doyle-H6	data_test/transformed/doyle__homophonic__h006__uniform__seed001.txt	43713	3670	40043	11074	3.2174505175819235	2.8951784523250175	0.006022446483544423	0.322272065256906	0.040280040195164346	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Doyle-H8	data_test/transformed/doyle__homophonic__h008__uniform__seed001.txt	43713	3670	40043	12250	3.1095056608946248	2.8489152802421764	0.007303934921652263	0.26059038065244833	0.03324810144905922	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Doyle-frequency-H4	data_test/transformed/doyle__homophonic-frequency-v1__hmax004__uniform__seed001.txt	43713	3670	40043	8456	3.3459019915399715	2.8926583721967063	0.005001604449615491	0.4532436193432652	0.05483045480812705	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Doyle-frequency-H6	data_test/transformed/doyle__homophonic-frequency-v1__hmax006__uniform__seed001.txt	43713	3670	40043	10285	3.2780767346689803	2.9200637472513877	0.007417370246501158	0.3580129874175926	0.044226465301300054	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Doyle-frequency-H8	data_test/transformed/doyle__homophonic-frequency-v1__hmax008__uniform__seed001.txt	43713	3670	40043	11528	3.1775339330728816	2.892222293902988	0.004989639211481475	0.28531163916989355	0.03596182777808943	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Longfellow-H4	data_test/transformed/longfellow__homophonic__h004__uniform__seed001.txt	33077	5765	27312	9519	2.9287729180942783	2.8212528001255337	0.007401436150707904	0.10752011796874461	0.01425642933919079	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Longfellow-H8	data_test/transformed/longfellow__homophonic__h008__uniform__seed001.txt	33077	5765	27312	12198	2.556315268876533	2.45950001165841	0.008835242405906971	0.09681525721812312	0.013878294977997637	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
Astafiev-H4	data_test/transformed/astafiev__homophonic__h004__uniform__seed001.txt	85280	3610	81670	13365	3.4076840371939543	2.7371867063777655	0.0028473520834331753	0.6704973308161888	0.08108991181064786	NOT_APPLICABLE_OPAQUE_TOKENS	0	0	0	0	0
