source_id	track	authors	year	title	publication_or_type	doi_or_url	source_class	peer_reviewed	full_text_status	reproducibility	relevance
SCHINNER2007	G	Schinner, Andreas	2007	The Voynich Manuscript: Evidence of the Hoax Hypothesis	Cryptologia 31(2):95-107	10.1080/01611190601133539	VOYNICH_PRIMARY	YES	ABSTRACT_ONLY	NO	Random-walk/repetition argument; no verified executable generator
TIMM2014	G;L	Timm, Torsten	2014	How the Voynich Manuscript was created	arXiv:1407.6639	10.48550/arXiv.1407.6639	VOYNICH_PRIMARY_PREPRINT	NO	FULL_TEXT_AVAILABLE	PARTIAL	Self-citation hypothesis and token-family analysis
TIMM2016	G;L	Timm, Torsten	2016	Co-Occurrence Patterns in the Voynich Manuscript	arXiv:1601.07435	10.48550/arXiv.1601.07435	VOYNICH_PRIMARY_PREPRINT	NO	FULL_TEXT_AVAILABLE	NO	Local similarity/co-occurrence analysis
TIMM_SCHINNER2019	G;L	Timm, Torsten; Schinner, Andreas	2019	A possible generating algorithm of the Voynich manuscript	Cryptologia 44(1):1-19	10.1080/01611194.2019.1596999	VOYNICH_PRIMARY	YES	ABSTRACT_AND_OFFICIAL_CODE_AVAILABLE	PARTIAL	Specified self-citation generator
TIMM_SOFTWARE2019	G	Timm, Torsten	2019	SelfCitationTextgenerator v1.0.1	Zenodo software release	10.5281/zenodo.2531632	OFFICIAL_REPRODUCIBILITY_ARCHIVE	NO	FULL_SOURCE_AVAILABLE	YES	Implementation/configuration for the self-citation generator
CURRIER1976	L	Currier, Prescott H.	1976	Some Important New Statistical Findings	Seminar proceedings	http://www.voynich.nu/extra/curr_main.html	VOYNICH_PRIMARY	UNKNOWN	FULL_TEXT_AVAILABLE	NO	A/B and positional/boundary restrictions
STOLFI2000	L	Stolfi, Jorge	2000	A Grammar for Voynichese Words	Technical primary resource	https://www.voynich.nu/hist/stolfi/grammar.html	VOYNICH_PRIMARY_TECHNICAL	NO	FULL_TEXT_AVAILABLE	PARTIAL	Hand-built probabilistic word grammar
REDDY_KNIGHT2011	L;C	Reddy, Sravana; Knight, Kevin	2011	What We Know About The Voynich Manuscript	ACL-HLT workshop	https://aclanthology.org/W11-1511/	VOYNICH_PRIMARY	YES	FULL_TEXT_AVAILABLE	YES	Language/cipher compatibility controls
MONTEMURRO_ZANETTE2013	L	Montemurro, Marcelo A.; Zanette, Damian H.	2013	Keywords and Co-Occurrence Patterns in the Voynich Manuscript: An Information-Theoretic Analysis	PLOS ONE 8:e66344	10.1371/journal.pone.0066344	VOYNICH_PRIMARY	YES	FULL_TEXT_AVAILABLE	PARTIAL	Token co-occurrence and section structure, not grammar induction
LINDEMANN2022	L	Lindemann, Luke	2022	Crux of the MATTR: Voynichese Morphological Complexity	International Voynich Conference proceedings	https://ceur-ws.org/Vol-3313/paper9.pdf	VOYNICH_PRIMARY	YES	FULL_TEXT_AVAILABLE	YES	Morphological-complexity proxy, not segmentation or grammar
ZATTERA2022	L	Zattera, Massimiliano	2022	A New Transliteration Alphabet Brings New Evidence of Word Structure	International Voynich Conference proceedings	https://ceur-ws.org/Vol-3313/paper10.pdf	VOYNICH_PRIMARY	YES	FULL_TEXT_AVAILABLE	PARTIAL	Slot/template word-formation account
BOWERN_GASKELL2022	L;C	Bowern, Claire; Gaskell, Daniel E.	2022	Enciphered after all? Word-level text metrics are compatible with some types of encipherment	International Voynich Conference proceedings	https://ceur-ws.org/Vol-3313/paper6.pdf	VOYNICH_PRIMARY	YES	FULL_TEXT_AVAILABLE	YES	Constructed cipher controls for word-level metrics
ROZANOVA_TEMEREV2026	L	Rozanova, Liudmila; Temerev, Alexander	2026	A Glyph Is Not a Letter, a Token Is Not a Word, a Space Is Not a Space	arXiv:2608.17096	10.48550/arXiv.2608.17096	VOYNICH_PRIMARY_PREPRINT	NO	FULL_TEXT_AVAILABLE	YES	Unit/boundary constraints relevant to grammar assumptions
GRESHKO2025	C	Greshko, Michael A.	2025	The Naibbe cipher: a substitution cipher that encrypts Latin and Italian as Voynich Manuscript-like ciphertext	Cryptologia	10.1080/01611194.2025.2566408	VOYNICH_PRIMARY	YES	ARTICLE_METADATA_AND_OFFICIAL_CODE_AVAILABLE	PARTIAL	Known-plaintext forward cipher with Latin/Italian inputs
TRITHEMIUS1518	C	Trithemius, Johannes	1518	Polygraphiae libri sex	Historical primary book	https://www.e-rara.ch/zuz/content/titleinfo/966156	HISTORICAL_PRIMARY	NO	FULL_TEXT_AVAILABLE	NO	Table-mediated encipherment/key dependence analogue
SHANNON1949	C	Shannon, Claude E.	1949	Communication Theory of Secrecy Systems	Bell System Technical Journal 28(4):656-715	10.1002/j.1538-7305.1949.tb00928.x	GENERAL_MECHANISTIC_ANALOGUE	YES	FULL_TEXT_AVAILABLE	NO	Fixed-cipher behavior depends on source redundancy
SLEPIAN_WOLF1973	C	Slepian, David; Wolf, Jack K.	1973	Noiseless coding of correlated information sources	IEEE Transactions on Information Theory 19(4):471-480	10.1109/TIT.1973.1055037	GENERAL_MECHANISTIC_ANALOGUE	YES	FULL_TEXT_AVAILABLE	NO	Side-information/conditional-entropy analogue
