Corpus	Length	Group	Tokens	Glyphs	H2
Voynich	1	GIANT	1732	1732	0.000000000
Voynich	1	OUTSIDE	5	5	0.000000000
Voynich	2	GIANT	3943	7886	1.662749802
Voynich	2	OUTSIDE	408	816	1.685274994
Voynich	3	GIANT	7102	21306	1.841159400
Voynich	3	OUTSIDE	1893	5679	2.898417087
Voynich	4	GIANT	6182	24728	1.857841561
Voynich	4	OUTSIDE	3717	14868	3.006786831
Voynich	5	GIANT	3258	16290	1.419905521
Voynich	5	OUTSIDE	4815	24075	2.706201905
Voynich	>=6	GIANT	1422	8673	0.955863832
Voynich	>=6	OUTSIDE	4903	31948	2.561588605
