Corpus	Position	TokenA	TokenB	Operation	PositionClass	SourceGlyph	TargetGlyph
Voynich	47	c	y	SUBSTITUTION	MIDDLE	c	y
Voynich	52	sh	s	SUBSTITUTION	MIDDLE	S	s
Voynich	105	d	n	SUBSTITUTION	MIDDLE	d	n
Voynich	115	kol	chol	SUBSTITUTION	BEGIN	k	H
Voynich	123	kshy	kchy	SUBSTITUTION	MIDDLE	S	H
Voynich	144	ain	dain	INSERTION	BEGIN		d
Voynich	184	cho	o	DELETION	BEGIN	H	
Voynich	195	okeey	oky	DELETION	END	E	
Voynich	216	chol	chok	SUBSTITUTION	END	l	k
Voynich	218	choty	chotey	INSERTION	END		e
Voynich	223	ol	o	DELETION	END	l	
Voynich	224	o	l	SUBSTITUTION	MIDDLE	o	l
Voynich	227	char	cfhar	SUBSTITUTION	BEGIN	H	F
Voynich	270	chy	cthy	SUBSTITUTION	BEGIN	H	C
Voynich	279	dol	dolo	INSERTION	END		o
Voynich	289	chol	cthol	SUBSTITUTION	BEGIN	H	C
Voynich	296	chol	dol	SUBSTITUTION	BEGIN	H	d
Voynich	309	chody	schody	INSERTION	BEGIN		s
Voynich	335	dy	cphy	SUBSTITUTION	BEGIN	d	P
Voynich	348	dain	d	DELETION	END	A	
Voynich	390	e	a	SUBSTITUTION	MIDDLE	e	a
Voynich	391	a	iin	SUBSTITUTION	MIDDLE	a	N
Voynich	397	shan	dan	SUBSTITUTION	BEGIN	S	d
Voynich	404	chor	cthor	SUBSTITUTION	BEGIN	H	C
Voynich	405	cthor	yor	SUBSTITUTION	BEGIN	C	y
Voynich	407	an	chan	INSERTION	BEGIN		H
Voynich	420	an	on	SUBSTITUTION	BEGIN	a	o
Voynich	430	kcho	kchy	SUBSTITUTION	END	o	y
Voynich	432	sho	shol	INSERTION	END		l
Voynich	443	chody	chodain	SUBSTITUTION	END	y	A
Voynich	461	chol	chor	SUBSTITUTION	END	l	r
Voynich	462	chor	chol	SUBSTITUTION	END	r	l
Voynich	465	chy	chty	INSERTION	MIDDLE		t
Voynich	480	cheol	chol	DELETION	MIDDLE	e	
Voynich	485	chol	cthol	SUBSTITUTION	BEGIN	H	C
Voynich	500	chal	chag	SUBSTITUTION	END	l	g
Voynich	501	chag	cham	SUBSTITUTION	END	g	m
Voynich	515	chom	shom	SUBSTITUTION	BEGIN	H	S
Voynich	519	chor	chol	SUBSTITUTION	END	r	l
Voynich	548	okeey	qokeey	INSERTION	BEGIN		q
Voynich	551	shor	or	DELETION	BEGIN	S	
Voynich	552	or	chor	INSERTION	BEGIN		H
Voynich	607	okeeor	okor	DELETION	MIDDLE	E	
Voynich	613	chol	shol	SUBSTITUTION	BEGIN	H	S
Voynich	620	ees	eey	SUBSTITUTION	END	s	y
Voynich	693	shol	cthol	SUBSTITUTION	BEGIN	S	C
Voynich	725	shor	shol	SUBSTITUTION	END	r	l
Voynich	754	chey	chy	DELETION	MIDDLE	e	
Voynich	755	chy	cthy	SUBSTITUTION	BEGIN	H	C
Voynich	763	chaiin	shaiin	SUBSTITUTION	BEGIN	H	S
Voynich	764	shaiin	daiin	SUBSTITUTION	BEGIN	S	d
Voynich	818	shar	char	SUBSTITUTION	BEGIN	S	H
Voynich	834	oaiin	oar	SUBSTITUTION	END	N	r
Voynich	840	ochey	okey	SUBSTITUTION	MIDDLE	H	k
Voynich	845	cthey	chey	SUBSTITUTION	BEGIN	C	H
Voynich	887	k	o	SUBSTITUTION	MIDDLE	k	o
Voynich	889	cheor	chor	DELETION	MIDDLE	e	
Voynich	898	c	y	SUBSTITUTION	MIDDLE	c	y
Voynich	912	q	o	SUBSTITUTION	MIDDLE	q	o
Voynich	930	daiin	dal	SUBSTITUTION	END	N	l
Voynich	1030	chear	char	DELETION	MIDDLE	e	
Voynich	1053	s	os	INSERTION	BEGIN		o
Voynich	1057	dchy	dey	SUBSTITUTION	MIDDLE	H	e
Voynich	1073	ychos	ychol	SUBSTITUTION	END	s	l
Voynich	1076	cthol	dol	SUBSTITUTION	BEGIN	C	d
Voynich	1078	ychor	chor	DELETION	BEGIN	y	
Voynich	1107	chol	cthol	SUBSTITUTION	BEGIN	H	C
Voynich	1114	s	ain	SUBSTITUTION	MIDDLE	s	A
Voynich	1152	dchey	kchey	SUBSTITUTION	BEGIN	d	k
Voynich	1178	cthol	chol	SUBSTITUTION	BEGIN	C	H
Voynich	1195	choiin	chol	SUBSTITUTION	END	N	l
Voynich	1221	cthy	cthd	SUBSTITUTION	END	y	d
Voynich	1226	kshy	ky	DELETION	MIDDLE	S	
Voynich	1227	ky	ty	SUBSTITUTION	BEGIN	k	t
Voynich	1231	o	l	SUBSTITUTION	MIDDLE	o	l
Voynich	1246	cheey	tcheey	INSERTION	BEGIN		t
Voynich	1262	dol	dor	SUBSTITUTION	END	l	r
Voynich	1303	shy	sy	SUBSTITUTION	BEGIN	S	s
Voynich	1322	dy	ky	SUBSTITUTION	BEGIN	d	k
Voynich	1344	pcheey	pchey	SUBSTITUTION	END	E	e
Voynich	1364	chot	choty	INSERTION	END		y
Voynich	1386	ckhol	chol	SUBSTITUTION	BEGIN	K	H
