Corpus	Operation	PositionClass	Count
Voynich	SUBSTITUTION	BEGIN	319
Voynich	SUBSTITUTION	MIDDLE	382
Voynich	SUBSTITUTION	END	356
Voynich	INSERTION	BEGIN	166
Voynich	INSERTION	MIDDLE	45
Voynich	INSERTION	END	78
Voynich	DELETION	BEGIN	210
Voynich	DELETION	MIDDLE	43
Voynich	DELETION	END	85
Doyle	SUBSTITUTION	BEGIN	115
Doyle	SUBSTITUTION	MIDDLE	25
Doyle	SUBSTITUTION	END	185
Doyle	INSERTION	BEGIN	4
Doyle	INSERTION	MIDDLE	1
Doyle	INSERTION	END	8
Doyle	DELETION	BEGIN	18
Doyle	DELETION	MIDDLE	1
Doyle	DELETION	END	104
Longfellow	SUBSTITUTION	BEGIN	22
Longfellow	SUBSTITUTION	MIDDLE	3
Longfellow	SUBSTITUTION	END	43
Longfellow	INSERTION	BEGIN	29
Longfellow	INSERTION	MIDDLE	0
Longfellow	INSERTION	END	2
Longfellow	DELETION	BEGIN	5
Longfellow	DELETION	MIDDLE	0
Longfellow	DELETION	END	66
Astafiev	SUBSTITUTION	BEGIN	169
Astafiev	SUBSTITUTION	MIDDLE	924
Astafiev	SUBSTITUTION	END	141
Astafiev	INSERTION	BEGIN	8
Astafiev	INSERTION	MIDDLE	0
Astafiev	INSERTION	END	7
Astafiev	DELETION	BEGIN	4
Astafiev	DELETION	MIDDLE	0
Astafiev	DELETION	END	9
