Corpus	Token	RunLength	StartPosition	GlobalFrequency
Voynich	cthar	2	18	17
Voynich	chol	2	116	398
Voynich	keey	2	211	56
Voynich	shol	2	692	186
Voynich	shol	2	726	186
Voynich	chaiin	2	743	48
Voynich	sho	2	761	126
Voynich	daiin	2	908	851
Voynich	chor	2	948	212
Voynich	cthar	2	1118	17
Voynich	dol	2	1261	109
Voynich	chor	2	1310	212
Voynich	chol	2	1477	398
Voynich	chol	3	1499	398
Voynich	chol	2	1704	398
Voynich	dy	2	1761	283
Voynich	shor	2	1918	96
Voynich	dy	2	2201	283
Voynich	kchy	2	2219	36
Voynich	dy	3	2270	283
Voynich	chor	2	2416	212
Voynich	chol	2	2444	398
Voynich	okaiin	2	2599	216
Voynich	chol	2	2775	398
Voynich	dar	2	2886	324
Voynich	qokchy	2	2942	67
Voynich	qoky	2	2947	145
Voynich	daiin	2	3100	851
Voynich	chor	2	3242	212
Voynich	daiin	2	3466	851
Voynich	ol	2	3738	564
Voynich	sho	2	4085	126
Voynich	daiin	2	4132	851
Voynich	daiin	2	4183	851
Voynich	eedy	2	4245	5
Voynich	dy	2	4283	283
Voynich	qotedy	2	4345	89
Voynich	shy	2	4498	99
Voynich	otchor	2	4555	16
Voynich	cthol	2	4566	56
Voynich	shor	2	4722	96
Voynich	chol	2	4760	398
Voynich	chol	2	4767	398
Voynich	ckhey	2	4928	28
Voynich	okedy	2	5074	120
Voynich	ar	2	5117	411
Voynich	daiin	2	5359	851
Voynich	okaiin	2	5448	216
Voynich	chdy	2	5519	147
Voynich	dy	2	5543	283
Voynich	shedy	2	5616	434
Voynich	air	2	5652	84
Voynich	chdy	2	5726	147
Voynich	chor	2	6030	212
Voynich	otaiin	2	6354	155
Voynich	dain	2	6440	214
Voynich	ar	2	6811	411
Voynich	okaiin	3	6847	216
Voynich	dy	2	6983	283
Voynich	qokedy	2	6995	276
Voynich	shol	2	7213	186
Voynich	chol	2	7266	398
Voynich	chol	2	7308	398
Voynich	yty	2	7424	23
Voynich	choky	2	7774	40
Voynich	cthy	2	7805	103
Voynich	chol	2	7866	398
Voynich	chol	2	7895	398
Voynich	ykeol	2	7912	15
Voynich	or	2	7949	393
Voynich	qotol	2	7996	44
Voynich	dy	2	8024	283
Voynich	sheky	2	8103	34
Voynich	shol	2	8369	186
Voynich	chol	3	8376	398
Voynich	chol	2	8461	398
Voynich	chy	2	8485	166
Voynich	dchor	2	8736	27
Voynich	shor	2	8772	96
Voynich	chey	2	8809	352
Voynich	qokchdy	2	9050	51
Voynich	otchey	2	9661	33
Voynich	dam	2	9707	88
Voynich	s	2	9725	356
Voynich	chol	2	9734	398
Voynich	or	2	9949	393
Voynich	or	2	10055	393
Voynich	chor	2	10119	212
Voynich	chol	2	10213	398
Voynich	chol	2	10280	398
Voynich	chol	2	10287	398
Voynich	okal	2	10419	156
Voynich	otar	2	10619	153
Voynich	chear	2	10830	51
Voynich	opaiin	2	10962	16
Voynich	191	2	10988	4
Voynich	qokeody	2	11480	33
Voynich	shedy	2	11599	434
Voynich	daiin	2	11604	851
Voynich	kal	2	11842	27
Voynich	dar	2	11927	324
Voynich	ykchey	2	12192	6
Voynich	dy	2	12686	283
Voynich	dy	2	12922	283
Voynich	okar	2	13179	140
Voynich	oteey	2	13261	145
Voynich	daiin	2	13462	851
Voynich	shol	2	13476	186
Voynich	oteody	2	13628	41
Voynich	otam	2	14097	48
Voynich	chedy	2	14432	507
Voynich	y	2	14478	334
Voynich	al	2	14679	262
Voynich	qokedy	4	15101	276
Voynich	dar	2	15309	324
Voynich	qokeedy	2	15328	307
Voynich	qokedy	2	15330	276
Voynich	qokeedy	2	15335	307
Voynich	qokedy	2	15495	276
Voynich	qol	2	15581	142
Voynich	qokeey	2	15644	307
Voynich	qokedy	2	15652	276
Voynich	dain	2	15738	214
Voynich	olkedy	2	15759	26
Voynich	or	3	15807	393
Voynich	al	2	15827	262
Voynich	qokeey	2	15940	307
Voynich	shedy	2	15944	434
Voynich	chedy	2	15976	507
Voynich	shedy	2	16042	434
Voynich	shedy	2	16101	434
Voynich	checkhy	2	16522	48
Voynich	shedy	2	16563	434
Voynich	qopchedy	2	16750	31
Voynich	qoteedy	2	16818	77
Voynich	qokeedy	2	16841	307
Voynich	qokeedy	2	16916	307
Voynich	qotedy	2	16929	89
Voynich	qokaiin	2	16953	265
Voynich	qokeedy	2	17016	307
Voynich	qotedy	2	17085	89
Voynich	qokedy	2	17245	276
Voynich	qokain	2	17334	279
Voynich	qokal	2	17367	197
Voynich	qokedy	2	17437	276
Voynich	qokedy	2	17440	276
Voynich	daiin	2	17648	851
Voynich	dal	2	17722	242
Voynich	qol	2	17874	142
Voynich	otain	2	18172	96
Voynich	ol	2	18331	564
Voynich	ol	2	18362	564
Voynich	qokeedy	2	18410	307
Voynich	qokedy	3	18536	276
Voynich	ol	2	18648	564
Voynich	or	2	18711	393
Voynich	qokal	2	18783	197
Voynich	qokain	2	19093	279
Voynich	qol	2	19222	142
Voynich	qokchdy	2	19256	51
Voynich	olkain	2	19439	34
Voynich	qol	2	19491	142
Voynich	ol	2	19598	564
Voynich	ol	2	19606	564
Voynich	ytedy	2	19901	24
Voynich	qokedy	2	19951	276
Voynich	lshedy	2	19976	40
Voynich	shedy	2	20178	434
Voynich	qoty	2	20285	88
Voynich	shedy	2	20349	434
Voynich	qotedy	2	20359	89
Voynich	chedy	2	20374	507
Voynich	rol	2	20424	20
Voynich	qoteedy	2	20721	77
Voynich	shckhedy	2	20891	6
Voynich	chedy	2	21107	507
Voynich	qokeedy	2	21156	307
Voynich	qokeedy	2	21392	307
Voynich	okedy	2	21633	120
Voynich	okedy	2	21731	120
Voynich	chedy	2	21843	507
Voynich	chdy	2	22273	147
Voynich	or	2	22365	393
Voynich	okal	2	22547	156
Voynich	ykodar	2	22652	3
Voynich	otody	3	22812	26
Voynich	okedy	2	22821	120
Voynich	ar	2	22953	411
Voynich	qokedy	2	22999	276
Voynich	ol	2	23190	564
Voynich	otal	2	23692	137
Voynich	otam	2	23750	48
Voynich	oty	2	23921	118
Voynich	ytaiin	3	24133	39
Voynich	ykaiin	2	24161	46
Voynich	qoekol	2	24670	2
Voynich	qokol	2	24712	98
Voynich	daiin	2	25076	851
Voynich	ykeey	2	25541	57
Voynich	chol	2	26084	398
Voynich	chdy	2	26327	147
Voynich	chekaiin	2	26342	10
Voynich	chdy	2	26468	147
Voynich	ckhey	2	26963	28
