Series	H	Model	RunLength	Count	MeanPredictedSurvival	ObservedSurvivalFraction
Doyle	2	global-uniform	2	23	0.50000000	0.30434783
Doyle	4	global-uniform	2	23	0.25000000	0.21739130
Doyle	6	global-uniform	2	23	0.16666667	0.13043478
Doyle	8	global-uniform	2	23	0.12500000	0.04347826
Doyle	4	global-weighted	2	23	0.30000000	0.26086957
Doyle	6	global-weighted	2	23	0.20634921	0.17391304
Doyle	8	global-weighted	2	23	0.15740741	0.21739130
Doyle	4	frequency-v1-uniform	2	23	0.34057971	0.30434783
Doyle	6	frequency-v1-uniform	2	23	0.20217391	0.13043478
Doyle	8	frequency-v1-uniform	2	23	0.14534161	0.08695652
Longfellow	2	global-uniform	2	20	0.50000000	0.45000000
Longfellow	2	global-uniform	3	5	0.25000000	0.40000000
Longfellow	4	global-uniform	2	20	0.25000000	0.10000000
Longfellow	4	global-uniform	3	5	0.06250000	0.20000000
Longfellow	8	global-uniform	2	20	0.12500000	0.10000000
Longfellow	8	global-uniform	3	5	0.01562500	0.00000000
Astafiev	4	global-uniform	2	19	0.25000000	0.31578947
