Locus	LabelID	RawLabel	ParsedTokens
f2r.f2r.14	0	ytoail	ytoail
f2r.f2r.15	1	ios.an.on	ios an on
f11v.f11v.5	2	dd	dd
f17r.f17r.13	3	oteeeon.oiil	oteeeon oiil
f41v.f41v.1	4	keer[e:o]dal	keeredal
f49v.f49v.1	5	f	f
f49v.f49v.3	6	o	o
f49v.f49v.5	7	r	r
f49v.f49v.7	8	y	y
f49v.f49v.9	9	e	e
f49v.f49v.11	10	@140;	@140;
f49v.f49v.13	11	k	k
f49v.f49v.15	12	s	s
f49v.f49v.17	13	p	p
f49v.f49v.19	14	o	o
f49v.f49v.21	15	@192;	@192;
f49v.f49v.23	16	y	y
f49v.f49v.25	17	e	e
f49v.f49v.27	18	@140;	@140;
f49v.f49v.29	19	@164;	@164;
f49v.f49v.31	20	p	p
f49v.f49v.33	21	o	o
f49v.f49v.35	22	@192;	@192;
f49v.f49v.37	23	y	y
f49v.f49v.39	24	e	e
f49v.f49v.41	25	@140;	@140;
f49v.f49v.43	26	d	d
f49v.f49v.45	27	y	y
f49v.f49v.47	28	e	e
f49v.f49v.49	29	k	k
f49v.f49v.51	30	y	y
f57v.f57v.1	31	<!10:30>dairal	dairal
f57v.f57v.6	32	otodara[g:m]	otodarag
f57v.f57v.7	33	oparairdly	oparairdly
f57v.f57v.8	34	olkeedal	olkeedal
f57v.f57v.9	35	otardaly	otardaly
f65r.f65r.1	36	otaim,dam.alam	otaim dam alam
f66r.f66r.1	37	rary	rary
f66r.f66r.2	38	[r:s]als	rals
f66r.f66r.3	39	qo[r:n]	qor
f66r.f66r.4	40	dary	dary
f66r.f66r.5	41	ykeol	ykeol
f66r.f66r.6	42	saly	saly
f66r.f66r.7	43	salf	salf
f66r.f66r.8	44	fary	fary
f66r.f66r.9	45	qotesy	qotesy
f66r.f66r.10	46	ykaly	ykaly
f66r.f66r.11	47	doly	doly
f66r.f66r.12	48	saiin	saiin
f66r.f66r.13	49	qokal	qokal
f66r.f66r.14	50	qolsa	qolsa
f66r.f66r.15	51	raral	raral
f66r.f66r.16	52	y	y
f66r.f66r.17	53	o	o
f66r.f66r.18	54	s	s
f66r.f66r.19	55	sh	sh
f66r.f66r.20	56	y	y
f66r.f66r.21	57	d	d
f66r.f66r.22	58	o	o
f66r.f66r.23	59	f	f
f66r.f66r.24	60	@169;	@169;
f66r.f66r.25	61	x	x
f66r.f66r.26	62	air	air
f66r.f66r.27	63	d	d
f66r.f66r.28	64	sh	sh
f66r.f66r.29	65	y	y
f66r.f66r.30	66	f	f
f66r.f66r.31	67	f	f
f66r.f66r.32	68	y	y
f66r.f66r.33	69	o	o
f66r.f66r.34	70	d	d
f66r.f66r.35	71	s	s
f66r.f66r.36	72	f	f
f66r.f66r.37	73	c<!cf f57v seq.>	c
f66r.f66r.38	74	@172;<!cf f57v?>	@172;
f66r.f66r.39	75	x	x
f66r.f66r.40	76	t	t
f66r.f66r.41	77	o	o
f66r.f66r.42	78	@195;	@195;
f66r.f66r.43	79	l	l
f66r.f66r.44	80	r	r
f66r.f66r.45	81	t	t
f66r.f66r.46	82	o	o
f66r.f66r.47	83	x	x
f66r.f66r.48	84	p	p
f66r.f66r.49	85	d	d
f66r.f66r.82	86	otcheo,daiin.chty.ykees,cheg	otcheo daiin chty ykees cheg
f67r2.f67r2.1	87	ykshy.s.aram	ykshy s aram
f67r2.f67r2.2	88	ykecho.ols.eesydy	ykecho ols eesydy
f67r2.f67r2.3	89	[{c'}:@164;]ey.shs.okar	c'ey shs okar
f67r2.f67r2.4	90	shekchy.sykos	shekchy sykos
f67r2.f67r2.5	91	ykeody.okchy	ykeody okchy
f67r2.f67r2.6	92	dchetay	dchetay
f67r2.f67r2.7	93	ykchy.kchey.ykchys	ykchy kchey ykchys
f67r2.f67r2.8	94	chkchdar	chkchdar
f67r2.f67r2.9	95	ykar.ykaly	ykar ykaly
f67r2.f67r2.10	96	lkshy,kchy.okar	lkshy kchy okar
f67r2.f67r2.11	97	chky.chykchs.chy	chky chykchs chy
f67r2.f67r2.12	98	ykees.ykchos	ykees ykchos
f67r2.f67r2.15	99	dolchsody	dolchsody
f67r2.f67r2.22	100	okal	okal
f67r2.f67r2.28	101	okain.a[m:g]	okain am
f67r2.f67r2.31	102	opcholdy	opcholdy
f67r2.f67r2.34	103	ofar.oeoldan	ofar oeoldan
f67r2.f67r2.37	104	ytoaiin	ytoaiin
f67r2.f67r2.47	105	yfain	yfain
f67r2.f67r2.52	106	qotoear	qotoear
f67r2.f67r2.53	107	dchdar	dchdar
f67r2.f67r2.54	108	y,saldal	y saldal
f67r2.f67r2.55	109	ytodal	ytodal
f67r2.f67r2.56	110	tol.daiin	tol daiin
f67r2.f67r2.57	111	otar,dy	otar dy
f67r2.f67r2.58	112	cho.dal,g	cho dal g
f67r2.f67r2.59	113	ytchodly	ytchodly
f67r2.f67r2.60	114	octhys	octhys
f67r2.f67r2.61	115	ytokar	ytokar
f67r2.f67r2.62	116	otolor	otolor
f67r2.f67r2.63	117	okodar	okodar
f67r2.f67r2.64	118	s.air	s air
f67r2.f67r2.65	119	soe[a:o]r	soear
f67r2.f67r2.66	120	cpheey	cpheey
f67r2.f67r2.67	121	okodar	okodar
f67r2.f67r2.68	122	oepchod	oepchod
f67r2.f67r2.69	123	s.a{cthh}y	s acthhy
f67r2.f67r2.70	124	osar	osar
f67r2.f67r2.71	125	oran	oran
f67v2.f67v2.1	126	otchdy	otchdy
f67v2.f67v2.2	127	otararain	otararain
f67v2.f67v2.19	128	soaiin.dalam	soaiin dalam
f67v2.f67v2.20	129	sary.okora[l:n]	sary okoral
f67v2.f67v2.21	130	oko???	oko???
f67v2.f67v2.22	131	okchos,am	okchos am
f67v1.f67v1.1	132	damamm<!long tail m>	damamm
f67v1.f67v1.2	133	dairkal	dairkal
f67v1.f67v1.3	134	okal.ary	okal ary
f67v1.f67v1.4	135	dar.echkalal	dar echkalal
f67v1.f67v1.5	136	okol.aldy	okol aldy
f67v1.f67v1.6	137	dchesykchy	dchesykchy
f67v1.f67v1.7	138	ykeodar	ykeodar
f67v1.f67v1.8	139	deeeoskol	deeeoskol
f67v1.f67v1.9	140	ockhosam	ockhosam
f67v1.f67v1.10	141	kochardy	kochardy
f67v1.f67v1.11	142	ochodare	ochodare
f67v1.f67v1.12	143	ols,aiiny	ols aiiny
f68r1.f68r1.8	144	okodaly	okodaly
f68r1.f68r1.9	145	odchecthy	odchecthy
f68r1.f68r1.10	146	otcheody	otcheody
f68r1.f68r1.11	147	okoaly	okoaly
f68r1.f68r1.12	148	chocfhy	chocfhy
f68r1.f68r1.13	149	octhey	octhey
f68r1.f68r1.14	150	otshey	otshey
f68r1.f68r1.15	151	otydy	otydy
f68r1.f68r1.16	152	okear	okear
f68r1.f68r1.17	153	cphocthy	cphocthy
f68r1.f68r1.18	154	ytchody	ytchody
f68r1.f68r1.19	155	otys	otys
f68r1.f68r1.20	156	olor	olor
f68r1.f68r1.21	157	ockhy	ockhy
f68r1.f68r1.22	158	ofcheor	ofcheor
f68r1.f68r1.23	159	otchdy	otchdy
f68r1.f68r1.24	160	otykchs	otykchs
f68r1.f68r1.25	161	otol	otol
f68r1.f68r1.26	162	otor	otor
f68r1.f68r1.27	163	oiinar	oiinar
f68r1.f68r1.28	164	okoldy	okoldy
f68r1.f68r1.29	165	ykchdy	ykchdy
f68r1.f68r1.30	166	@167;oeeod{c@196;h}y	@167;oeeodc@196;hy
f68r1.f68r1.31	167	ocphy	ocphy
f68r1.f68r1.32	168	okeeodal	okeeodal
f68r1.f68r1.33	169	okshor	okshor
f68r1.f68r1.34	170	osdaiin	osdaiin
f68r1.f68r1.35	171	otochedy	otochedy
f68r1.f68r1.36	172	dolchedy	dolchedy
f68r2.f68r2.7	173	o@167;olch{c@133;h}y	o@167;olchc@133;hy
f68r2.f68r2.8	174	cheorol	cheorol
f68r2.f68r2.9	175	odaiin	odaiin
f68r2.f68r2.10	176	ochory	ochory
f68r2.f68r2.11	177	shdar	shdar
f68r2.f68r2.12	178	dchol	dchol
f68r2.f68r2.13	179	todaraiily	todaraiily
f68r2.f68r2.14	180	olcheesey	olcheesey
f68r2.f68r2.15	181	okchor	okchor
f68r2.f68r2.16	182	oteool	oteool
f68r2.f68r2.17	183	oydchy	oydchy
f68r2.f68r2.18	184	okeeeody	okeeeody
f68r2.f68r2.19	185	cholar	cholar
f68r2.f68r2.20	186	dcheoldy	dcheoldy
f68r2.f68r2.21	187	oteeear	oteeear
f68r2.f68r2.22	188	otoeeo	otoeeo
f68r2.f68r2.23	189	ofcheody	ofcheody
f68r2.f68r2.24	190	otcheodar	otcheodar
f68r2.f68r2.25	191	odair.chol	odair chol
f68r2.f68r2.26	192	opocphor	opocphor
f68r2.f68r2.27	193	otoshol	otoshol
f68r2.f68r2.28	194	chodar	chodar
f68r2.f68r2.29	195	sheey	sheey
f68r2.f68r2.30	196	ok[eeee:eech]or	okeeeeor
f68r3.f68r3.10	197	dchol,day	dchol day
f68r3.f68r3.11	198	doaro	doaro
f68r3.f68r3.12	199	oalcheol	oalcheol
f68r3.f68r3.13	200	okos	okos
f68r3.f68r3.14	201	otary	otary
f68r3.f68r3.15	202	chky.oky	chky oky
f68r3.f68r3.16	203	e.cphy	e cphy
f68r3.f68r3.17	204	okolchy	okolchy
f68r3.f68r3.18	205	o.cthyd	o cthyd
f68r3.f68r3.19	206	otydg	otydg
f68r3.f68r3.20	207	darall	darall
f68r3.f68r3.21	208	okchody	okchody
f68v3.f68v3.15	209	otodol	otodol
f68v3.f68v3.16	210	opcholdg	opcholdg
f69r.f69r.5	211	oteos.ch[o:?]p.otaike	oteos chop otaike
f69r.f69r.6	212	ar.odair.chtaly	ar odair chtaly
f69r.f69r.7	213	oto.dar.archol	oto dar archol
f69r.f69r.8	214	okeey.chey,dy	okeey chey dy
f69r.f69r.9	215	dcho,char,ar	dcho char ar
f69r.f69r.10	216	ytal.air.al	ytal air al
f69r.f69r.11	217	shy.chtairy	shy chtairy
f69r.f69r.12	218	yt.oetear	yt oetear
f69r.f69r.13	219	ytey.cholam	ytey cholam
f69r.f69r.14	220	dair.ar.yteey.chdy	dair ar yteey chdy
f69r.f69r.15	221	okair.os,air	okair os air
f69r.f69r.16	222	chytos.[o:a]ly	chytos oly
f69r.f69r.17	223	chetar.araly	chetar araly
f69r.f69r.18	224	dair,alody	dair alody
f69r.f69r.19	225	dal,daiin.otalam	dal daiin otalam
f69r.f69r.20	226	ytcheodytor	ytcheodytor
f69r.f69r.44	227	<!1>y	y
f69r.f69r.45	228	<!2>d	d
f69r.f69r.46	229	<!3>o	o
f69r.f69r.47	230	<!4>l	l
f69r.f69r.48	231	<!5>s	s
f69r.f69r.49	232	<!6>e[d:g]	ed
f70v2.f70v2.2	233	<!09:00>otalalg	otalalg
f70v2.f70v2.3	234	<!10:00>ykary	ykary
f70v2.f70v2.4	235	<!10:30>otar?	otar?
f70v2.f70v2.5	236	<!11:00>oty	oty
f70v2.f70v2.6	237	<!11:30>oky.ody	oky ody
f70v2.f70v2.7	238	<!00:00>oty.ar	oty ar
f70v2.f70v2.8	239	<!00:30>okala	okala
f70v2.f70v2.9	240	<!01:00>otody	otody
f70v2.f70v2.10	241	<!01:30>otald	otald
f70v2.f70v2.11	242	<!02:00>otaldar	otaldar
f70v2.f70v2.12	243	<!02:45>okody	okody
f70v2.f70v2.13	244	<!03:15>opysam	opysam
f70v2.f70v2.14	245	<!04:00>ch{ckhh}y	chckhhy
f70v2.f70v2.15	246	<!04:30>otaly	otaly
f70v2.f70v2.16	247	<!05:30>otal.arar	otal arar
f70v2.f70v2.17	248	<!06:30>otaldy	otaldy
f70v2.f70v2.18	249	<!07:00>okeoly	okeoly
f70v2.f70v2.19	250	<!08:00>okydy	okydy
f70v2.f70v2.20	251	<!08:30>okee[s:r]	okees
f70v2.f70v2.22	252	<!10:00>otar.am	otar am
f70v2.f70v2.23	253	<!11:00>otar,al	otar al
f70v2.f70v2.24	254	<!00:00>otalar	otalar
f70v2.f70v2.25	255	<!01:30>otalam	otalam
f70v2.f70v2.26	256	<!03:00>dolaram	dolaram
f70v2.f70v2.27	257	<!04:00>okaram	okaram
f70v2.f70v2.28	258	<!05:00>oteosal	oteosal
f70v2.f70v2.29	259	<!06:30>salols	salols
f70v2.f70v2.30	260	<!08:00>okaldal	okaldal
f70v2.f70v2.31	261	<!09:00>ykolaiin	ykolaiin
f70v2.f70v2.33	262	otolal	otolal
f70v1.f70v1.2	263	<!10:30>otalchy.tar.am.dy	otalchy tar am dy
f70v1.f70v1.3	264	<!00:00>opchey.sal	opchey sal
f70v1.f70v1.4	265	<!01:00>otakaizan	otakaizan
f70v1.f70v1.5	266	<!02:30>okalal	okalal
f70v1.f70v1.6	267	<!03:30>otaly	otaly
f70v1.f70v1.7	268	<!04:30>oalcheg	oalcheg
f70v1.f70v1.8	269	<!06:00>otchodals	otchodals
f70v1.f70v1.9	270	<!07:00>okolshy	okolshy
f70v1.f70v1.10	271	<!08:00>otshshdy	otshshdy
f70v1.f70v1.11	272	<!09:00>otal.ypsharal	otal ypsharal
f70v1.f70v1.13	273	<!10:30>okoly	okoly
f70v1.f70v1.14	274	<!00:00>otalaiin	otalaiin
f70v1.f70v1.15	275	<!02:00>oteo.alals.araly	oteo alals araly
f70v1.f70v1.16	276	<!05:00>oteoeey.otal.okealar	oteoeey otal okealar
f70v1.f70v1.17	277	<!08:00>otear.araydy	otear araydy
f71r.f71r.2	278	<!10:00>oteos.arar	oteos arar
f71r.f71r.3	279	<!11:00>okldam	okldam
f71r.f71r.4	280	<!00:00>oteoaldy	oteoaldy
f71r.f71r.5	281	<!01:00>oteolar	oteolar
f71r.f71r.6	282	<!02:00>okeoaly	okeoaly
f71r.f71r.7	283	<!03:00>otaleky	otaleky
f71r.f71r.8	284	<!04:30>otalsar	otalsar
f71r.f71r.9	285	<!05:30>cheary	cheary
f71r.f71r.10	286	<!07:00>oteotey.rary	oteotey rary
f71r.f71r.11	287	<!08:30>otalaly	otalaly
f71r.f71r.13	288	<!11:00>otolchdy	otolchdy
f71r.f71r.14	289	<!00:30>otoloaram	otoloaram
f71r.f71r.15	290	<!03:30>oteeol	oteeol
f71r.f71r.16	291	<!05:30>otolchd	otolchd
f71r.f71r.17	292	<!08:00>otaldar	otaldar
f71v.f71v.2	293	<!10:00>char.arom	char arom
f71v.f71v.3	294	<!11:00>chfaly	chfaly
f71v.f71v.4	295	<!00:00>okolar	okolar
f71v.f71v.5	296	<!01:00>otchody	otchody
f71v.f71v.6	297	<!02:00>alcphy	alcphy
f71v.f71v.7	298	<!03:00>otaiin	otaiin
f71v.f71v.8	299	<!04:30>okaraiin	okaraiin
f71v.f71v.9	300	<!05:30>otar.ar,aly	otar ar aly
f71v.f71v.10	301	<!07:00>opalar.am.dan	opalar am dan
f71v.f71v.11	302	<!09:00>opalor.ar	opalor ar
f71v.f71v.13	303	<!10:00>ofa{if}om	ofaifom
f71v.f71v.14	304	<!00:00>otalody	otalody
f71v.f71v.15	305	<!03:00>otalaiin	otalaiin
f71v.f71v.16	306	<!05:30>otar.sh[a:o]r	otar shar
