Corpus	ChainLength	Chain
Voynich	52	130 -> 131 -> 132 -> 133 -> 134 -> 135 -> 136 -> 137 -> 138 -> 139 -> 149 -> 140 -> 145 -> 146 -> 147 -> 148 -> 168 -> 161 -> 151 -> 150 -> 152 -> 153 -> 154 -> 155 -> 156 -> 159 -> 169 -> 162 -> 163 -> 164 -> 165 -> 166 -> 167 -> 177 -> 170 -> 171 -> 172 -> 174 -> 175 -> 176 -> 178 -> 179 -> 189 -> 180 -> 181 -> 182 -> 183 -> 184 -> 185 -> 186 -> 187 -> 188
Voynich	9	190 -> 191 -> 192 -> 193 -> 194 -> 195 -> 196 -> 197 -> 199
Voynich	7	200 -> 201 -> 203 -> 204 -> 206 -> 207 -> 208
Voynich	17	210 -> 211 -> 212 -> 213 -> 214 -> 216 -> 246 -> 240 -> 241 -> 231 -> 232 -> 233 -> 234 -> 244 -> 242 -> 243 -> 245
Voynich	27	I -> a -> ag -> ai -> aig -> aiiin -> aiin -> aiiny -> acthy -> acthhy -> chcthhy -> chcfhhy -> chcfhdy -> cfhdy -> cfheey -> cfhey -> cfheo -> cfheol -> cfheos -> cheos -> cheas -> chas -> as -> ais -> ail -> aiil -> aiiil
Voynich	10	adair -> adairy -> dairy -> airy -> aify -> aiky -> aikhy -> aikhdy -> aikhedy -> aikheky
Voynich	38	adal -> adam -> adar -> ador -> aldor -> alchor -> alchar -> alar -> akar -> akaiin -> akal -> aiinal -> alal -> alaiin -> alaiiin -> alair -> akair -> alkair -> alkar -> aldar -> alda -> ald -> al -> alain -> akain -> aky -> aiy -> aim -> aiim -> aiip -> aiir -> aiird -> aiirod -> aiirody -> airody -> airod -> airol -> aiiinol
Voynich	31	adchey -> alchey -> alchdy -> alchd -> alched -> alchedy -> alcheky -> alchky -> alcheey -> akcheey -> akchy -> akey -> alkey -> alkeain -> alkain -> alky -> alcfhy -> alchy -> alchl -> alchol -> alol -> aldl -> aldy -> aiindy -> amdy -> amchy -> amchg -> amg -> alg -> alo -> alfo
Voynich	53	adoldy -> doldy -> cfholdy -> choldy -> chaldy -> chady -> chad -> cha -> ch -> ain -> ainy -> ay -> ajy -> aly -> ainaly -> chaly -> chal -> chag -> chaiin -> cfhaiin -> cfham -> ainam -> ainai -> dai -> da -> chda -> chd -> chain -> chckh -> chckhd -> chckhdy -> chchdy -> chcheey -> chchky -> chchty -> chchoty -> cheoty -> cheockhy -> checkhy -> chckhy -> chcfhy -> cfhy -> cfhs -> chs -> chchs -> chchy -> chcphy -> chcphdy -> chcphedy -> chckhedy -> chckheody -> chckhody -> chckhodu
Voynich	8	aiichy -> aiicthy -> aiidy -> aiijy -> aiily -> aiildy -> aildy -> cthaildy
Voynich	149	aiidal -> daiidal -> daiial -> daiil -> daii -> daid -> daidy -> dady -> dackhy -> daiiny -> daiin -> chdaiin -> chckhaiin -> chckhal -> chcfhal -> chcfhol -> cfhol -> chol -> chckhol -> chckho -> chckhom -> chckham -> cham -> am -> amd -> amod -> aiinod -> aiinos -> alos -> alod -> alody -> aleedy -> alkeedy -> alkchdy -> alkedy -> alkeody -> lkeody -> chkeody -> cheekeody -> chekeody -> chekedy -> checkedy -> cheokedy -> cheocthedy -> checthedy -> chcthedy -> chcthdy -> chcthd -> chcth -> chcthain -> chcthh -> chctho -> chcthod -> chcthed -> chcthey -> chcfhey -> chckhey -> chckheey -> chckheed -> cheed -> ched -> che -> chea -> chead -> cheaiin -> chcthaiin -> chcthal -> chctham -> chcpham -> chcphar -> char -> ar -> air -> chair -> chaiiin -> chaim -> daim -> daig -> dag -> dago -> daiino -> daiinol -> dalol -> dalal -> chalal -> chakal -> chekal -> cheal -> chckheal -> cheeeal -> cheeal -> chdal -> chdail -> chdair -> chdar -> aindar -> dar -> cfhar -> ckhar -> ckha -> ckh -> c -> ck -> chck -> chcky -> chcty -> chct -> chcti -> cti -> cto -> co -> cho -> chdo -> chdain -> chdy -> chcthy -> checthy -> checfhy -> chechy -> chdchy -> chddy -> chdedy -> chdeedy -> chdeey -> chedeey -> chedchy -> chedchey -> chechey -> checkhey -> checkhdy -> checkhd -> checkhed -> checkhedy -> checphedy -> checphey -> chcphey -> chcphhy -> chckhhy -> chckhhhy -> chkhhy -> ykhhy -> ykhey -> ikhey -> ithey -> ithy -> aithy -> aiphy -> aiphey -> aiphhey
Voynich	20	aiiraly -> airaly -> airal -> airam -> aram -> ajam -> alam -> aldam -> aldaiin -> alkaiin -> alkal -> alkam -> alkan -> lkan -> kan -> an -> anl -> arl -> ara -> aora
Voynich	6	aiiry -> daiiry -> daiidy -> daiiidy -> daiildy -> daiild
Voynich	6	aiodam -> alodam -> alodar -> arodar -> arodam -> arodaim
Voynich	5	airalor -> aralor -> alalor -> alolor -> arolor
