currier	hand	joint_class	block_index	abs_start	abs_end	window_size	residual_cluster
1	1	1/1	0	0	500	500	1
1	1	1/1	0	50	550	500	1
1	1	1/1	0	100	600	500	1
1	1	1/1	0	150	650	500	1
1	1	1/1	0	200	700	500	1
1	1	1/1	0	250	750	500	1
1	1	1/1	0	300	800	500	1
1	1	1/1	0	350	850	500	1
1	1	1/1	0	400	900	500	1
1	1	1/1	0	450	950	500	1
1	1	1/1	0	500	1000	500	1
1	1	1/1	0	550	1050	500	1
1	1	1/1	0	600	1100	500	1
1	1	1/1	0	650	1150	500	1
1	1	1/1	0	700	1200	500	1
1	1	1/1	0	750	1250	500	1
1	1	1/1	0	800	1300	500	1
1	1	1/1	0	850	1350	500	1
1	1	1/1	0	900	1400	500	1
1	1	1/1	0	950	1450	500	1
1	1	1/1	0	1000	1500	500	1
1	1	1/1	0	1050	1550	500	1
1	1	1/1	0	1100	1600	500	1
1	1	1/1	0	1150	1650	500	1
1	1	1/1	0	1200	1700	500	1
1	1	1/1	0	1250	1750	500	1
1	1	1/1	0	1300	1800	500	1
1	1	1/1	0	1350	1850	500	1
1	1	1/1	0	1400	1900	500	1
1	1	1/1	0	1450	1950	500	1
1	1	1/1	0	1500	2000	500	1
1	1	1/1	0	1550	2050	500	1
1	1	1/1	0	1600	2100	500	1
1	1	1/1	0	1650	2150	500	1
1	1	1/1	0	1700	2200	500	1
1	1	1/1	0	1750	2250	500	1
1	1	1/1	0	1800	2300	500	1
1	1	1/1	0	1850	2350	500	1
1	1	1/1	0	1900	2400	500	1
1	1	1/1	0	1950	2450	500	1
1	1	1/1	0	2000	2500	500	1
1	1	1/1	0	2050	2550	500	1
1	1	1/1	0	2100	2600	500	1
1	1	1/1	0	2150	2650	500	1
1	1	1/1	0	2200	2700	500	1
1	1	1/1	0	2250	2750	500	1
1	1	1/1	0	2300	2800	500	1
1	1	1/1	0	2350	2850	500	1
1	1	1/1	0	2400	2900	500	1
1	1	1/1	0	2450	2950	500	1
1	1	1/1	0	2500	3000	500	1
1	1	1/1	0	2550	3050	500	1
1	1	1/1	0	2600	3100	500	1
1	1	1/1	0	2650	3150	500	1
1	1	1/1	0	2700	3200	500	1
1	1	1/1	0	2750	3250	500	1
1	1	1/1	0	2800	3300	500	1
1	1	1/1	0	2850	3350	500	1
1	1	1/1	0	2900	3400	500	1
1	1	1/1	0	2950	3450	500	1
1	1	1/1	0	3000	3500	500	1
1	1	1/1	0	3050	3550	500	1
1	1	1/1	0	3100	3600	500	1
1	1	1/1	0	3150	3650	500	1
1	1	1/1	0	3200	3700	500	1
