window_size	method	k	representation	windows	silhouette	within_dispersion	between_dispersion	cluster_size_entropy	smallest_cluster_fraction
50	k_medoids	2	raw	4059	0.04370297340219507	0.2191941626002052	0.23000399591298243	0.4110611002409596	0.1433850702143385
50	k_medoids	3	raw	4059	0.016937324153366018	0.21750432964217448	0.22608899227769233	0.7797689763789818	0.1332840601133284
50	k_medoids	4	raw	4059	0.023308544788397348	0.2120920159415795	0.22661656748221432	1.164051446769354	0.08672086720867209
50	k_medoids	5	raw	4059	0.025908594594124913	0.21198652834912995	0.22669898201523442	1.188688017434485	0.0034491254003449125
50	k_medoids	6	raw	4059	0.022133730820077344	0.21147804767705514	0.2262601598097244	1.3608331985378337	0.005912786400591279
50	k_medoids	7	raw	4059	0.013499927832583693	0.21192695693347216	0.22533922303906545	1.4744832325772974	0.005912786400591279
50	k_medoids	8	raw	4059	0.01746745855427091	0.21022840644051166	0.22603505658121287	1.514956882518955	0.005912786400591279
50	k_medoids	9	raw	4059	0.00873827128273574	0.20961624118089997	0.2235326865342859	1.9475696320618257	0.005666420300566642
50	k_medoids	10	raw	4059	0.013281322893254595	0.20893101075039197	0.2240173003305186	1.8900974851047483	0.005666420300566642
50	k_medoids	11	raw	4059	0.008376639813952931	0.20907803962676788	0.22313767151214503	2.156978466096303	0.005666420300566642
50	k_medoids	12	raw	4059	0.016892121990419413	0.20787193270134074	0.22319587836007423	2.1848140621659287	0.003202759300320276
50	k_medoids	13	raw	4059	0.01369473371230082	0.2072133083917057	0.22305245257461606	2.302862054451371	0.005420054200542005
50	k_medoids	14	raw	4059	0.018963225476690226	0.20887317966850458	0.2232197270504163	2.1496526159386105	0.002463661000246366
50	k_medoids	15	raw	4059	0.00877433025983434	0.2067340249838614	0.2231233209609149	2.3487202708433	0.005420054200542005
100	k_medoids	2	raw	1922	0.09812978995529878	0.16129098294039332	0.1792464795197971	0.6695373816768726	0.3917793964620187
100	k_medoids	3	raw	1922	0.07000438095619486	0.1604860162821538	0.17810111587074723	0.9101957330583162	0.1186264308012487
100	k_medoids	4	raw	1922	0.03186369500995331	0.15899837728752403	0.17513884919177156	1.2633736261114945	0.10665972944849116
100	k_medoids	5	raw	1922	0.02759172606386467	0.1580625198618647	0.17349595552913605	1.5012603582452357	0.08428720083246619
100	k_medoids	6	raw	1922	0.04075559956671169	0.15772595191224772	0.17561089712150804	1.3704849183407557	0.06191467221644121
100	k_medoids	7	raw	1922	0.028357136278864735	0.15664445021852447	0.17251192734144521	1.8324914998760975	0.06555671175858481
100	k_medoids	8	raw	1922	0.024134636476320317	0.1554043318062427	0.17214976966307483	1.9799296487512343	0.05619146722164412
100	k_medoids	9	raw	1922	0.02525431804604142	0.15534201812469642	0.1721996031208094	2.00136084675244	0.025494276795005204
100	k_medoids	10	raw	1922	0.026782310453576697	0.1538211389865214	0.17174753580754615	2.200109087909474	0.026534859521331947
100	k_medoids	11	raw	1922	0.03366264564045963	0.15446766761296815	0.17280162441901978	2.0230465663037758	0.003121748178980229
100	k_medoids	12	raw	1922	0.02866185452975876	0.15281089571113438	0.17213186623595683	2.263451453388024	0.02029136316337149
100	k_medoids	13	raw	1922	0.024870979885075445	0.15236653214525353	0.1715713812611681	2.446382445473255	0.025494276795005204
100	k_medoids	14	raw	1922	0.024791074127281047	0.15332731300002794	0.17279389407483342	2.1588501537914655	0.006243496357960458
100	k_medoids	15	raw	1922	0.0251180050752196	0.15266895578923637	0.17119452755200668	2.5557843489351257	0.005202913631633715
200	k_medoids	2	raw	853	0.17995572369722804	0.12211079550853303	0.1494654668042748	0.6805704701667954	0.4208675263774912
200	k_medoids	3	raw	853	0.11829352652493733	0.12090348727468553	0.14623255721206105	0.938941617691712	0.12778429073856976
200	k_medoids	4	raw	853	0.10796299963882106	0.11926270029461244	0.14625412327101928	1.0315150790841925	0.04337631887456037
200	k_medoids	5	raw	853	0.05809299755448726	0.11727115830258532	0.14282752065893	1.357353592699504	0.04337631887456037
200	k_medoids	6	raw	853	0.08957346579272997	0.11503224323799477	0.1437422842485783	1.3896429515327144	0.02579132473622509
200	k_medoids	7	raw	853	0.09388080844734366	0.11236806588994153	0.1418792671975073	1.6708108755000368	0.0492379835873388
200	k_medoids	8	raw	853	0.07928153966902744	0.11398062249245208	0.14304507360426819	1.5683929080117036	0.02579132473622509
200	k_medoids	9	raw	853	0.06942768124512572	0.11168410145448204	0.1404248635956668	1.9140798353468904	0.02579132473622509
200	k_medoids	10	raw	853	0.0848321512333156	0.1097812549061134	0.14110943845046897	1.939997523044532	0.02579132473622509
200	k_medoids	11	raw	853	0.07881450846354512	0.10884636265108792	0.1403333264652035	2.086864239179355	0.01875732708089097
200	k_medoids	12	raw	853	0.08885887880842	0.10815544636988973	0.14099899951965167	2.059548174266503	0.0246189917936694
200	k_medoids	13	raw	853	0.08591748724390738	0.10720150667606786	0.14061230908985983	2.171902529628789	0.02579132473622509
200	k_medoids	14	raw	853	0.08733463543812732	0.10646549489406291	0.1394420207572608	2.325002195745761	0.01875732708089097
200	k_medoids	15	raw	853	0.09781880170877225	0.10485236754795928	0.1388816386062601	2.468351602508762	0.01875732708089097
500	k_medoids	2	raw	270	0.33005303129346664	0.0841318942680641	0.1258307212261378	0.6924611526112329	0.48148148148148145
500	k_medoids	3	raw	270	0.19024175144363642	0.08214884025009432	0.11977551527603765	1.036425824552312	0.1962962962962963
500	k_medoids	4	raw	270	0.2893150769035108	0.07937397314880755	0.12415881464742191	0.9128781581888845	0.003703703703703704
500	k_medoids	5	raw	270	0.20804680375013634	0.07570079343658745	0.11794803995632197	1.239687810718491	0.003703703703703704
500	k_medoids	6	raw	270	0.133215808498934	0.07413564537662137	0.11425128769643894	1.5279288790006738	0.003703703703703704
