sequence	context_type	alt_token	count	probability	is_frozen
ol s aiin	left_alt	aiin	3	0.3333333333333333	false
ol s aiin	left_alt	chckhy	3	0.6666666666666666	false
ol s aiin	left_alt	chl	3	0	false
ol s aiin	left_alt	cho	3	0	false
ol s aiin	left_alt	chol	4	0.25	false
ol s aiin	left_alt	chy	5	0.2	false
ol s aiin	left_alt	cthy	4	0	false
ol s aiin	left_alt	daiin	6	0	false
ol s aiin	left_alt	dal	3	0	false
ol s aiin	left_alt	l	5	0.4	false
ol s aiin	left_alt	ol	8	0.625	true
ol s aiin	left_alt	qokeey	3	0.3333333333333333	false
ol s aiin	right_alt	aiin	5	0.625	true
ol s aiin	right_alt	al	1	0.125	false
ol s aiin	right_alt	chey	1	0.125	false
ol s aiin	right_alt	or	1	0.125	false
or or aiin	left_alt	ar	9	0	false
or or aiin	left_alt	chear	3	0	false
or or aiin	left_alt	chedy	3	0.3333333333333333	false
or or aiin	left_alt	cheey	4	0.5	false
or or aiin	left_alt	chol	4	0	false
or or aiin	left_alt	daiin	6	0	false
or or aiin	left_alt	dal	4	0	false
or or aiin	left_alt	dar	4	0	false
or or aiin	left_alt	dol	3	0	false
or or aiin	left_alt	okal	3	0	false
or or aiin	left_alt	ol	7	0	false
or or aiin	left_alt	or	6	0.6666666666666666	true
or or aiin	left_alt	qokaiin	4	0	false
or or aiin	left_alt	qokar	3	0	false
or or aiin	left_alt	qokeey	3	0	false
or or aiin	left_alt	s	9	0.1111111111111111	false
or or aiin	left_alt	ykaiin	3	0.3333333333333333	false
or or aiin	right_alt	aiin	4	0.6666666666666666	true
or or aiin	right_alt	chkorol	1	0.16666666666666666	false
or or aiin	right_alt	or	1	0.16666666666666666	false
s aiin chey	left_alt	ar	16	0	false
s aiin chey	left_alt	ches	6	0	false
s aiin chey	left_alt	d	8	0	false
s aiin chey	left_alt	dar	5	0	false
s aiin chey	left_alt	o	4	0	false
s aiin chey	left_alt	ol	9	0.1111111111111111	false
s aiin chey	left_alt	ols	3	0	false
s aiin chey	left_alt	or	42	0	false
s aiin chey	left_alt	os	3	0	false
s aiin chey	left_alt	otar	3	0	false
s aiin chey	left_alt	r	11	0	false
s aiin chey	left_alt	s	42	0.09523809523809523	true
s aiin chey	left_alt	sar	4	0	false
s aiin chey	right_alt	al	1	0.023809523809523808	false
s aiin chey	right_alt	char	1	0.023809523809523808	false
s aiin chey	right_alt	chcphdy	1	0.023809523809523808	false
s aiin chey	right_alt	cheeos	1	0.023809523809523808	false
s aiin chey	right_alt	cheky	1	0.023809523809523808	false
s aiin chey	right_alt	chey	4	0.09523809523809523	true
s aiin chey	right_alt	chky	1	0.023809523809523808	false
s aiin chey	right_alt	chody	1	0.023809523809523808	false
s aiin chey	right_alt	chokchol	1	0.023809523809523808	false
s aiin chey	right_alt	chokey	1	0.023809523809523808	false
s aiin chey	right_alt	chor	1	0.023809523809523808	false
s aiin chey	right_alt	da?	1	0.023809523809523808	false
s aiin chey	right_alt	daiin	3	0.07142857142857142	false
s aiin chey	right_alt	dal	1	0.023809523809523808	false
s aiin chey	right_alt	doal	1	0.023809523809523808	false
s aiin chey	right_alt	ody	1	0.023809523809523808	false
s aiin chey	right_alt	okaiin	1	0.023809523809523808	false
s aiin chey	right_alt	okain	1	0.023809523809523808	false
s aiin chey	right_alt	okeam	1	0.023809523809523808	false
s aiin chey	right_alt	okey	1	0.023809523809523808	false
s aiin chey	right_alt	okol	1	0.023809523809523808	false
s aiin chey	right_alt	oky	1	0.023809523809523808	false
s aiin chey	right_alt	ol	1	0.023809523809523808	false
s aiin chey	right_alt	olor	1	0.023809523809523808	false
s aiin chey	right_alt	oly	1	0.023809523809523808	false
s aiin chey	right_alt	otain	1	0.023809523809523808	false
s aiin chey	right_alt	qokee@149;	1	0.023809523809523808	false
s aiin chey	right_alt	qokeey	1	0.023809523809523808	false
s aiin chey	right_alt	qotchy	1	0.023809523809523808	false
s aiin chey	right_alt	s	1	0.023809523809523808	false
s aiin chey	right_alt	sha	1	0.023809523809523808	false
s aiin chey	right_alt	shee	1	0.023809523809523808	false
s aiin chey	right_alt	shee'	1	0.023809523809523808	false
s aiin chey	right_alt	sheekchy	1	0.023809523809523808	false
s aiin chey	right_alt	shekeey	1	0.023809523809523808	false
s aiin chey	right_alt	shekey	1	0.023809523809523808	false
s aiin chey	right_alt	sy	1	0.023809523809523808	false
