sequence	token_position_a	token_position_b	token_position_c	physical_block	currier	hand	joint_class	normalized_block_position	within_same_line	crosses_line_boundary	line_position
ol s aiin	9940	9941	9942	2/2#7	2	2	2/2	0.8728070175438597	true	false	middle
ol s aiin	17468	17469	17470	2/2#8	2	2	2/2	0.38355376653248996	true	false	middle
ol s aiin	19953	19954	19955	2/2#8	2	2	2/2	0.7407993099482462	true	false	middle
ol s aiin	21883	21884	21885	3/2#0	3	2	3/2	0.250996015936255	true	false	middle
ol s aiin	26019	26020	26021	5/3#0	5	3	5/3	0.2752808988764045	true	false	middle
or or aiin	9933	9934	9935	2/2#7	2	2	2/2	0.8421052631578947	true	false	middle
or or aiin	18510	18511	18512	2/2#8	2	2	2/2	0.5333525014376078	true	false	middle
or or aiin	22140	22141	22142	3/2#0	3	2	3/2	0.7629482071713147	true	false	middle
or or aiin	29400	29401	29402	X/3#0	X	3	X/3	0.6643979057591624	true	false	middle
s aiin chey	19954	19955	19956	2/2#8	2	2	2/2	0.7409430707303047	true	false	middle
s aiin chey	28298	28299	28300	X/3#0	X	3	X/3	0.08743455497382199	true	false	middle
s aiin chey	29133	29134	29135	X/3#0	X	3	X/3	0.5246073298429319	true	false	middle
s aiin chey	30236	30237	30238	Y/3#0	Y	3	Y/3	0.24967824967824967	true	false	start
