rank	token_a	token_b	count_a	count_b	regime_js	distance_js_1_5	distance_js_6_10	distance_js_11_20	regime_expected_1_5	residual_1_5	concentration_a	concentration_b	local_shuffle_retained_fraction	retained_effect
1	aiin	ar	504	403	0.9380046226438896	0.40161906657407015	0.42107248403965586	0.3940512206253349	0.8788015146321179	-0.4771824480580477	0.0031706534972206625	0.003027269728795925	0.9965443936601399	44.6564981862947
2	chol	daiin	395	848	0.9318150813215825	0.443158240863712	0.4450975171678965	0.4235604645351933	0.8588030271774368	-0.4156447863137247	0.0035670545265493263	0.0038381791071671737	0.9746886453141993	-3.764214389359098
3	chey	ol	351	560	0.9203925311721598	0.44095663372049865	0.45097695824811285	0.44656958224896004	0.8453599742561628	-0.40440334053566424	0.0036292523033146953	0.004229427027064913	1.0010882479137646	0.24684700164928652
4	chedy	qokeey	506	307	0.9194585411265149	0.47182438029356977	0.45735356811282857	0.4448621670197527	0.8327723170277759	-0.3609479367342062	0.004495226318271781	0.004604756250729499	0.9577332092939835	0.8076793035072042
5	dar	ol	323	560	0.9095867713515884	0.41479591676613536	0.42221665570134714	0.41971533342280287	0.8329700841995591	-0.4181741674334237	0.0034966780269628937	0.004229427027064913	0.9894423739754783	0.5457265588653232
6	qokain	qol	279	142	0.9088102212069565	0.40357378408921624	0.41991287880221934	0.41081411447364913	0.8243063778844567	-0.42073259379524064	0.005894789846319058	0.007241763867203642	1.011587078531748	1.036353723388728
7	chor	daiin	211	848	0.9015904247031635	0.3799236843922191	0.37147784463235184	0.3641623750243582	0.7749792229166808	-0.39505553852446174	0.004567566802296455	0.0038381791071671737	0.9623786298509691	2.630063269721855
8	okaiin	ol	216	560	0.8931835763414129	0.3910348001007928	0.3839277173929291	0.37767969121349376	0.7843388753956528	-0.3933040752948601	0.003444976062401696	0.004229427027064913	0.9909074583049173	0.18786300951518892
9	dal	ol	242	560	0.8920454616228503	0.4093466660475441	0.40075005041732564	0.39165254423963297	0.804194208838877	-0.39484754279133283	0.003545326747233967	0.004229427027064913	0.936595230514133	0.5358426089633632
10	ol	y	560	305	0.8888834726189562	0.4329432867034825	0.4240125569911545	0.40233681313004643	0.8083422404245054	-0.37539895372102294	0.004229427027064913	0.0032156145590597424	0.920642168338355	0.37925537682146426
11	qokedy	qol	276	142	0.8830357803986258	0.3630706845171505	0.41642663138728403	0.39447584280343706	0.7919364191734881	-0.4288657346563376	0.005883188069405193	0.007241763867203642	1.0699197297719871	1.4982774581789382
12	lchedy	qokain	116	279	0.8823829230016698	0.37016149004736665	0.3683032115836742	0.3573607503703225	0.7418773839906792	-0.37171589394331245	0.005617905116676527	0.005894789846319058	0.9695010691964321	0.972879450095039
13	lchedy	qokeey	116	307	0.8808203531434935	0.36243539498563193	0.355448429595273	0.337853174186135	0.7614825263149589	-0.399047131329327	0.005617905116676527	0.004604756250729499	0.9569428730354682	0.8172573211347463
14	ar	ol	403	560	0.8793447717931494	0.40492835964697205	0.43415099065528934	0.40735059499070825	0.7632640709596198	-0.35833571131264774	0.003027269728795925	0.004229427027064913	1.0102180740012505	0.6971457396714561
15	okain	ol	141	560	0.8772502275822992	0.3444561775382911	0.3847466792922959	0.36075563231304547	0.7526339050152258	-0.4081777274769346	0.004328905482525795	0.004229427027064913	1.04868014557848	8.189063149968693
16	or	s	390	350	0.8771123677298164	0.4040937436124077	0.36803133914764624	0.3479643812897279	0.7936422894316122	-0.3895485458192045	0.0035440178819159357	0.0033522295479953873	0.9265284643797834	0.018084250968772708
17	daiin	dol	848	109	0.8761441389510289	0.3044626318453003	0.3228192550699075	0.31550483869619894	0.7310089261848632	-0.42654629433956287	0.0038381791071671737	0.0037806884416294	1.0084749312414272	-115.633545205254
18	r	s	169	350	0.8669390814232	0.36721740170960937	0.2933296315584948	0.28339818275734674	0.7951253988290015	-0.42790799711939204	0.0032919754914190924	0.0033522295479953873	0.7799622695797044	0.6099845881125161
19	lchedy	qol	116	142	0.8621226927686279	0.3327717051640283	0.335530173332215	0.3281445124679969	0.7430904322159763	-0.4103187270519479	0.005617905116676527	0.007241763867203642	1.0054945516672702	1.1533560075604838
20	or	r	390	169	0.8604662714947315	0.3472324072130769	0.32421637672763104	0.2910552015915192	0.7378134887101979	-0.39058108149712095	0.0035440178819159357	0.0032919754914190924	0.8870324777818579	-0.36057045984457076
21	ain	ar	113	403	0.8541683528458327	0.29520229553383137	0.28634377445752734	0.2724751254708296	0.7106507385199996	-0.41544844298616823	0.003965538516416175	0.003027269728795925	1.025100142651136	0.959045880472857
22	ain	al	113	261	0.8472268888996376	0.25394379424948493	0.27092315199949557	0.2632555798386277	0.7194805686482107	-0.4655367743987259	0.003965538516416175	0.003068788315540028	1.0980142503035144	-3.385563291000699
