record_type	window_size	window_index	start	end	adjacent_js_distance	concentration	separation	comparisons	mean_js_distance	mean_similarity
window	50	0	0	50	0	0.02640000000000001				
window	50	1	10	60	0.18390359525563182	0.024000000000000014				
window	50	2	20	70	0.16880584521236253	0.02320000000000001				
window	50	3	30	80	0.18490224995673066	0.02320000000000001				
window	50	4	40	90	0.16000000000000003	0.02320000000000001				
window	50	5	50	100	0.19145247027726664	0.024800000000000013				
window	50	6	60	110	0.18390359525563194	0.025600000000000022				
window	50	7	70	120	0.1478071905112638	0.026400000000000014				
window	50	8	80	130	0.18390359525563194	0.02880000000000002				
window	50	9	90	140	0.18490224995673066	0.02880000000000002				
window	50	10	100	150	0.15493762573323422	0.024000000000000007				
window	50	11	110	160	0.17735337493509595	0.02480000000000001				
window	50	12	120	170	0.1324511249783653	0.022400000000000014				
window	50	13	130	180	0.16125697019072782	0.02960000000000002				
window	50	14	140	190	0.19245112497836536	0.031200000000000016				
window	50	15	150	200	0.16639009601050092	0.028000000000000025				
window	50	16	160	210	0.16490224995673064	0.028800000000000027				
window	50	17	170	220	0.16390359525563192	0.02640000000000002				
window	50	18	180	230	0.18490224995673066	0.024800000000000016				
window	50	19	190	240	0.17145247027726662	0.02480000000000002				
window	50	20	200	250	0.19145247027726664	0.024000000000000018				
window	50	21	210	260	0.14225562489182653	0.024000000000000007				
window	50	22	220	270	0.15735337493509594	0.023200000000000012				
window	50	23	230	280	0.18754887502163475	0.025600000000000015				
window	50	24	240	290	0.1563547202339972	0.029600000000000015				
window	50	25	250	300	0.13080315461456005	0.0352				
window	50	26	260	310	0.15960899982692256	0.03120000000000002				
window	50	27	270	320	0.17245112497836534	0.032000000000000015				
window	50	28	280	330	0.16754887502163474	0.028800000000000017				
window	50	29	290	340	0.13470674987019193	0.022400000000000014				
window	50	30	300	350	0.16980449991346136	0.023200000000000012				
window	50	31	310	360	0.17635472023399723	0.02640000000000002				
window	50	32	320	370	0.17735337493509595	0.024000000000000014				
window	50	33	330	380	0.1563547202339972	0.027200000000000023				
window	50	34	340	390	0.1478071905112638	0.024000000000000007				
window	50	35	350	400	0.15735337493509594	0.024800000000000006				
window	50	36	360	410	0.16225562489182666	0.024000000000000004				
window	50	37	370	420	0.16980449991346125	0.024000000000000007				
window	50	38	380	430	0.1439035952556319	0.026400000000000014				
window	50	39	390	440	0.1512923459672315	0.031200000000000023				
window	50	40	400	450	0.16697031091193537	0.031200000000000023				
window	50	41	410	460	0.13229100066833022	0.036				
window	50	42	420	470	0.17080315461456008	0.03919999999999997				
window	50	43	430	480	0.1461592201474584	0.04239999999999997				
window	50	44	440	490	0.14	0.042399999999999965				
window	50	45	450	500	0.1341418321935025	0.03839999999999997				
window	50	46	460	510	0.14590090465782934	0.0344				
window	50	47	470	520	0.1742883100705277	0.03280000000000002				
window	50	48	480	530	0.16838740541269837	0.02560000000000002				
window	50	49	490	540	0.1563547202339972	0.024800000000000006				
window	50	50	500	550	0.17593628043433307	0.028000000000000014				
window	50	51	510	560	0.17735337493509595	0.02320000000000001				
window	50	52	520	570	0.19245112497836536	0.022400000000000007				
window	50	53	530	580	0.17635472023399723	0.02400000000000001				
window	50	54	540	590	0.1678071905112638	0.02480000000000001				
window	50	55	550	600	0.1678071905112638	0.0232				
window	50	56	560	610	0.1829049405545331	0.023200000000000002				
window	50	57	570	620	0.20000000000000007	0.023200000000000002				
window	50	58	580	630	0.1488058452123625	0.024				
window	50	59	590	640	0.16490224995673064	0.0232				
window	50	60	600	650	0.17635472023399723	0.02480000000000001				
window	50	61	610	660	0.16000000000000003	0.026400000000000003				
window	50	62	620	670	0.18490224995673066	0.026400000000000003				
window	50	63	630	680	0.17493762573323424	0.02640000000000001				
window	50	64	640	690	0.16980449991346136	0.0232				
window	50	65	650	700	0.13735337493509592	0.024800000000000003				
window	50	66	660	710	0.17735337493509595	0.024800000000000006				
window	50	67	670	720	0.13960899982692254	0.0344				
window	50	68	680	730	0.18490224995673066	0.0344				
window	50	69	690	740	0.13960899982692254	0.0344				
window	50	70	700	750	0.13861034512582382	0.02960000000000003				
window	50	71	710	760	0.16290494055453308	0.030400000000000028				
window	50	72	720	770	0.12838740541269833	0.02800000000000002				
window	50	73	730	780	0.18490224995673066	0.026400000000000024				
window	50	74	740	790	0.1553560655328985	0.024000000000000004				
window	50	75	750	800	0.16248650075486903	0.02800000000000001				
window	50	76	760	810	0.15103403047760233	0.025600000000000008				
window	50	77	770	820	0.17635472023399723	0.0256				
window	50	78	780	830	0.19245112497836536	0.024799999999999996				
window	50	79	790	840	0.18000000000000005	0.024799999999999996				
window	50	80	800	850	0.1478071905112638	0.024799999999999996				
window	50	81	810	860	0.11370809516909319	0.027200000000000002				
window	50	82	820	870	0.1261592201474585	0.02720000000000001				
window	50	83	830	880	0.17635472023399723	0.028800000000000006				
window	50	84	840	890	0.1678071905112637	0.027200000000000016				
window	50	85	850	900	0.15609640474436814	0.03200000000000003				
window	50	86	860	910	0.1488058452123625	0.029600000000000036				
window	50	87	870	920	0.16046117665099602	0.035199999999999995				
window	50	88	880	930	0.1563547202339972	0.03839999999999998				
window	50	89	890	940	0.1363547202339972	0.04079999999999997				
window	50	90	900	950	0.17735337493509595	0.031200000000000023				
window	50	91	910	960	0.1337080951690931	0.027200000000000023				
window	50	92	920	970	0.14738875071159963	0.02640000000000002				
window	50	93	930	980	0.1514524702772666	0.028000000000000014				
window	50	94	940	990	0.16880584521236253	0.026400000000000014				
window	50	95	950	1000	0.16125697019072782	0.024800000000000016				
window	50	96	960	1010	0.18490224995673066	0.024000000000000014				
window	50	97	970	1020	0.16880584521236253	0.025600000000000008				
window	50	98	980	1030	0.1590013452989012	0.024800000000000013				
window	50	99	990	1040	0.16225562489182654	0.02560000000000001				
window	50	100	1000	1050	0.1829049405545331	0.0256				
window	50	101	1010	1060	0.1829049405545331	0.0248				
window	50	102	1020	1070	0.16290494055453308	0.024800000000000006				
window	50	103	1030	1080	0.1753560655328985	0.024				
window	50	104	1040	1090	0.16390359525563192	0.0256				
window	50	105	1050	1100	0.16854752972273346	0.032799999999999996				
window	50	106	1060	1110	0.17470674987019197	0.03280000000000001				
window	50	107	1070	1120	0.17245112497836534	0.030400000000000014				
window	50	108	1080	1130	0.17593628043433307	0.02800000000000001				
window	50	109	1090	1140	0.16390359525563192	0.0224				
window	50	110	1100	1150	0.17735337493509595	0.022400000000000003				
window	50	111	1110	1160	0.19245112497836536	0.022400000000000007				
window	50	112	1120	1170	0.19245112497836536	0.0216				
window	50	113	1130	1180	0.16980449991346136	0.022400000000000003				
window	50	114	1140	1190	0.18490224995673066	0.024000000000000014				
window	50	115	1150	1200	0.17245112497836534	0.024800000000000013				
window	50	116	1160	1210	0.16225562489182654	0.031200000000000023				
