analysis	line_category	block_coarse_bucket	occurrence_count	chey_probability
association	LINE_START	BLOCK_MIDDLE	1	1
association	LINE_EARLY	BLOCK_END	1	0
association	LINE_MIDDLE	BLOCK_START	5	0.2
association	LINE_MIDDLE	BLOCK_MIDDLE	13	0.15384615384615385
association	LINE_MIDDLE	BLOCK_END	6	0
association	LINE_LATE	BLOCK_START	1	0
association	LINE_LATE	BLOCK_MIDDLE	7	0
association	LINE_END	BLOCK_START	2	0
association	LINE_END	BLOCK_MIDDLE	4	0
association	LINE_END	BLOCK_END	2	0
line_controlling_block	LINE_MIDDLE	BLOCK_START	5	0.2
line_controlling_block	LINE_LATE	BLOCK_START	1	0
line_controlling_block	LINE_END	BLOCK_START	2	0
line_controlling_block	LINE_START	BLOCK_MIDDLE	1	1
line_controlling_block	LINE_MIDDLE	BLOCK_MIDDLE	13	0.15384615384615385
line_controlling_block	LINE_LATE	BLOCK_MIDDLE	7	0
line_controlling_block	LINE_END	BLOCK_MIDDLE	4	0
line_controlling_block	LINE_EARLY	BLOCK_END	1	0
line_controlling_block	LINE_MIDDLE	BLOCK_END	6	0
line_controlling_block	LINE_END	BLOCK_END	2	0
block_controlling_line	LINE_START	BLOCK_MIDDLE	1	1
block_controlling_line	LINE_EARLY	BLOCK_END	1	0
block_controlling_line	LINE_MIDDLE	BLOCK_START	5	0.2
block_controlling_line	LINE_MIDDLE	BLOCK_MIDDLE	13	0.15384615384615385
block_controlling_line	LINE_MIDDLE	BLOCK_END	6	0
block_controlling_line	LINE_LATE	BLOCK_START	1	0
block_controlling_line	LINE_LATE	BLOCK_MIDDLE	7	0
block_controlling_line	LINE_END	BLOCK_START	2	0
block_controlling_line	LINE_END	BLOCK_MIDDLE	4	0
block_controlling_line	LINE_END	BLOCK_END	2	0
