block	currier	hand	joint	aiin_occurrences	s_aiin_occurrences	p_chey_given_aiin	p_chey_given_s_aiin	enrichment	effect_sign
1/1#0	1	1	1/1	13	3	0	0	0	neutral
1/1#1	1	1	1/1	1	0	0	0	0	neutral
1/1#3	1	1	1/1	10	0	0	0	0	neutral
1/1#4	1	1	1/1	1	0	0	0	0	neutral
1/1#5	1	1	1/1	1	0	0	0	0	neutral
1/1#6	1	1	1/1	2	0	0	0	0	neutral
1/1#8	1	1	1/1	5	3	0	0	0	neutral
1/1#9	1	1	1/1	3	1	0	0	0	neutral
2/2#0	2	2	2/2	4	3	0	0	0	neutral
2/2#1	2	2	2/2	7	4	0	0	0	neutral
2/2#2	2	2	2/2	14	2	0	0	0	neutral
2/2#3	2	2	2/2	16	2	0	0	0	neutral
2/2#4	2	2	2/2	5	0	0	0	0	neutral
2/2#5	2	2	2/2	5	1	0	0	0	neutral
2/2#6	2	2	2/2	1	0	0	0	0	neutral
2/2#7	2	2	2/2	8	2	0	0	0	neutral
2/2#8	2	2	2/2	40	6	0.05	0.16666666666666666	3.333333333333333	positive
2/5#0	2	5	2/5	2	1	0	0	0	neutral
2/5#1	2	5	2/5	3	0	0	0	0	neutral
3/2#0	3	2	3/2	14	2	0	0	0	neutral
3/2#1	3	2	3/2	37	0	0	0	0	neutral
3/4#0	3	4	3/4	7	0	0	0	0	neutral
4/1#0	4	1	4/1	7	3	0	0	0	neutral
4/1#2	4	1	4/1	1	1	0	0	0	neutral
5/3#0	5	3	5/3	5	2	0	0	0	neutral
X/3#0	X	3	X/3	29	4	0.06896551724137931	0.5	7.25	positive
X/3#1	X	3	X/3	23	0	0.043478260869565216	0	0	neutral
Y/3#0	Y	3	Y/3	21	2	0.09523809523809523	0.5	5.25	positive
