position_s	position_aiin	position_x	x	x_missing_reason	physical_block	currier	hand	joint_class	normalized_block_position	block_bin_fixed	block_bin_coarse	line_id	normalized_line_position	line_category	s_is_line_start	x_is_line_end	token_before_3	token_before_2	token_before_1	token_after_1	token_after_2	token_after_3	tokens_from_line_start	tokens_to_line_end	tokens_from_block_start	tokens_to_block_end
582	583	584	okol		1/1#0	1	1	1/1	0.1406853281853282	B1	BLOCK_START	f3r.20	0.625	LINE_MIDDLE	false	false	chol	odaiin	chol	or	am	koaiin	5	3	583	3561
2476	2477	2478	doal		1/1#0	1	1	1/1	0.5977316602316602	B5	BLOCK_MIDDLE	f16r.7	0.7142857142857143	LINE_MIDDLE	false	false	dalchy	dyky	schy	qoky	shotchy	ydain	5	2	2477	1667
2709	2710	2711	qokeey		1/1#0	1	1	1/1	0.653957528957529	B6	BLOCK_MIDDLE	f17v.7	1	LINE_LATE	false	false	poiis	cheor	os	kchar	ol	dy	6	0	2710	1434
4172	4173	4174	s		2/2#0	2	2	2/2	0.15384615384615385	B1	BLOCK_START	f26r.3	0.9090909090909091	LINE_END	false	true	dal	y	sheey	qokedy	cheos	ytedy	10	1	28	154
4203	4204	4205	sha		2/2#0	2	2	2/2	0.3241758241758242	B3	BLOCK_MIDDLE	f26r.7	0.5454545454545454	LINE_MIDDLE	false	false	dar	sheo	ypchseds	p	chedyfchy	dalchedy	6	5	59	123
4318	4319	4320	cheeos		2/2#0	2	2	2/2	0.9560439560439561	B9	BLOCK_END	f26v.8	0.7	LINE_MIDDLE	false	false	ysaiin	okcheey	keody	qokes	ory	ysheey	7	3	174	8
4943	4944	4945	qokee@149;		2/2#1	2	2	2/2	0.018867924528301886	B0	BLOCK_START	f31r.1	0.6666666666666666	LINE_MIDDLE	false	false	keedey	qofchedy	shee	chepakeo	dcheey	daiin	4	2	4	208
4951	4952	4953	shekeey		2/2#1	2	2	2/2	0.05660377358490566	B0	BLOCK_START	f31r.2	0.7142857142857143	LINE_MIDDLE	false	false	daiin	okeedy	qokees	qef	qokeey	chey	5	2	12	200
4961	4962	4963	da?		2/2#1	2	2	2/2	0.10377358490566038	B1	BLOCK_START	f31r.3	0.875	LINE_END	false	true	qokeey	sair	chekey	qotar	chy	dar	7	1	22	190
4982	4983	4984	dal		2/2#1	2	2	2/2	0.2028301886792453	B2	BLOCK_MIDDLE	f31r.6	0.8571428571428571	LINE_END	false	true	qotedy	chepos	cheda	ykeedar	saiin	checkhey	6	1	43	169
5608	5609	5610	char		2/2#2	2	2	2/2	0.6423841059602649	B6	BLOCK_MIDDLE	f34r.11	1	LINE_LATE	false	false	cthdaly	otchedy	chty	aiin	okor	ar	8	0	291	162
5767	5768	5769	okey		2/2#2	2	2	2/2	0.9933774834437086	B9	BLOCK_END	f34v.11	0.5	LINE_MIDDLE	false	false	okam	yshos	ody	okal	shedy		3	3	450	3
