context	stratum	stratum_type	occurrence_count	unique_continuations	entropy_bits	normalized_entropy	top_continuation	top_continuation_probability	chey_probability
s_aiin	global		42	37	5.0886296251082035	0.9768068294232327	chey	0.09523809523809523	0.09523809523809523
s_aiin	LINE_START	line_position	1	1	0	0	chey	1	1
s_aiin	LINE_EARLY	line_position	1	1	0	0	ody	1	0
s_aiin	LINE_MIDDLE	line_position	24	22	4.386842188131012	0.9837222685054946	chey	0.125	0.125
s_aiin	LINE_LATE	line_position	8	6	2.4056390622295662	0.9306282244165778	daiin	0.375	0
s_aiin	LINE_END	line_position	8	8	3	1	al	0.125	0
s_aiin	BLOCK_START	block_position_coarse	8	8	3	1	chey	0.125	0.125
s_aiin	BLOCK_MIDDLE	block_position_coarse	25	22	4.373660689688184	0.9807663988857569	chey	0.12	0.12
s_aiin	BLOCK_END	block_position_coarse	9	9	3.169925001442312	0.9999999999999999	cheeos	0.1111111111111111	0
s_aiin	B0	block_position_fixed	3	3	1.584962500721156	0.9999999999999999	chey	0.3333333333333333	0.3333333333333333
s_aiin	B1	block_position_fixed	5	5	2.321928094887362	1	da?	0.2	0
s_aiin	B2	block_position_fixed	7	7	2.807354922057604	1	al	0.14285714285714285	0.14285714285714285
s_aiin	B3	block_position_fixed	2	2	1	1	sha	0.5	0
s_aiin	B4	block_position_fixed	3	3	1.584962500721156	0.9999999999999999	chcphdy	0.3333333333333333	0
s_aiin	B5	block_position_fixed	4	4	2	1	chey	0.25	0.25
s_aiin	B6	block_position_fixed	5	5	2.321928094887362	1	char	0.2	0
s_aiin	B7	block_position_fixed	4	4	2	1	chey	0.25	0.25
s_aiin	B8	block_position_fixed	5	5	2.321928094887362	1	cheky	0.2	0
s_aiin	B9	block_position_fixed	4	4	2	1	cheeos	0.25	0
