relation	eligible_blocks	joint_classes	currier_classes	hands	mean_similarity	median_similarity	min_similarity	transfer_success	raw_p	fdr_q	frozen_threshold	fraction_above_threshold	failed_classification_conditions
aiin / ar	7	5	5	3	0.05311195269776334	0.05302039916657889	0.02326443876928882	0.8571428571428571	9.999000099990002e-05	0.0013998600139986002	20	0	profile_stability<0.7
ain / al	1	1	1	1	0.0811403218315279	0.0811403218315279	0.0811403218315279	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
ain / ar	2	2	2	2	0.05460231893936682	0.05460231893936682	0.05460231893936682	0	0.06993006993006994	0.08158508158508158	20	0	
ar / ol	6	5	4	4	0.046523290755232365	0.04295794528440323	0.02195905505309082	0.6666666666666666	9.999000099990002e-05	0.0013998600139986002	20	0	profile_stability<0.7;transfer_success<0.67
chedy / qokeey	2	2	2	2	0.11255481470653815	0.11255481470653815	0.11255481470653815	0	0.011988011988011988	0.016783216783216783	20	0	eligible_blocks<3;profile_stability<0.7;transfer_success<0.67
chey / ol	4	4	4	3	0.050177723901041436	0.04082002406332888	0.02443410309543731	0.75	0.08291708291708291	0.09286713286713287	20	0	
chol / cthy	1	1	1	1	0.1376217650088875	0.1376217650088875	0.1376217650088875	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
chol / daiin	7	3	3	3	0.054352541811280485	0.050047859885883506	0.014925802590492872	0.8571428571428571	0.0025997400259974	0.00454954504549545	20	0	profile_stability<0.7
chor / daiin	2	1	1	1	0.1030208866192544	0.1030208866192544	0.1030208866192544	0	0.017982017982017984	0.02397602397602398	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
daiin / dol	2	2	2	2	0.048917589570459996	0.048917589570459996	0.048917589570459996	0	0.2137862137862138	0.23023130715438406	20	0	
dal / ol	2	2	2	2	0.04877691910815568	0.04877691910815568	0.04877691910815568	0	0.04295704295704296	0.05467260012714559	20	0	
dar / ol	4	3	3	2	0.04625090666495976	0.04991239106322777	0.02271212306463618	1	0.0057994200579942	0.0095519859778728	20	0	profile_stability<0.7
lchedy / qokain	1	1	1	1	0.08089209606317598	0.08089209606317598	0.08089209606317598	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
lchedy / qokar	1	1	1	1	0.07904331089606295	0.07904331089606295	0.07904331089606295	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
lchedy / qokeey	1	1	1	1	0.1007684288036409	0.1007684288036409	0.1007684288036409	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
lchedy / qol	1	1	1	1	0.07349079767123137	0.07349079767123137	0.07349079767123137	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
okaiin / ol	4	3	3	3	0.046614678734154764	0.04104704102870759	0.02693947293017143	1	0.011898810118988102	0.016783216783216783	20	0	profile_stability<0.7
okain / ol	2	2	2	2	0.0804159678352427	0.0804159678352427	0.0804159678352427	0	0.054945054945054944	0.06688963210702341	20	0	
okar / otain	1	1	1	1	0.06620977327156119	0.06620977327156119	0.06620977327156119	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
ol / y	3	3	3	3	0.05346216044497739	0.05560796531413857	0.024860964076321046	0.6666666666666666	0.0103989601039896	0.0161761601617616	20	0	profile_stability<0.7;transfer_success<0.67
or / r	2	2	2	2	0.02419388322253665	0.02419388322253665	0.02419388322253665	0	0.6803196803196803	0.6803196803196803	20	0	
or / s	3	2	2	2	0.05095290990482373	0.06129520542015052	0.028666867046972324	1	0.00029997000299970003	0.0018648018648018648	20	0	profile_stability<0.7
qokaiin / qol	1	1	1	1	0.11430278433184199	0.11430278433184199	0.11430278433184199	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
qokain / qol	1	1	1	1	0.07886699505010533	0.07886699505010533	0.07886699505010533	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
qokar / qol	1	1	1	1	0.0768088106300094	0.0768088106300094	0.0768088106300094	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
qokedy / qol	1	1	1	1	0.10110554453315396	0.10110554453315396	0.10110554453315396	0	0.000999000999000999	0.0018648018648018648	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_currier_or_hand_transfer
