candidate_id	replication_status	positive_effect_blocks	negative_effect_blocks	effect_sign_consistency	unweighted_mean_standardized_effect	weighted_mean_standardized_effect	within_currier_transfer	cross_currier_transfer	within_hand_transfer	cross_hand_transfer	within_joint_transfer	cross_joint_transfer
distance-profile:aiin:ar	STATISTICALLY_SIGNIFICANT_BUT_UNSTABLE	5	2	0.7142857142857143	1.2623952138482402	1.2323415868621206	true	true	true	true	true	true
distance-profile:ain:al	SINGLE_BLOCK_DRIVEN	1	0	1	0.5987666969236828	0.6266163107340866	false	false	false	false	false	false
distance-profile:ain:ar	NOT_SIGNIFICANT	0	0	0	0	0	false	false	false	false	false	false
distance-profile:ar:ol	SINGLE_BLOCK_DRIVEN	5	1	0.8333333333333334	0.8167694981209208	1.0895776780661088	true	true	true	true	true	true
distance-profile:chedy:qokeey	SINGLE_BLOCK_DRIVEN	2	0	1	1.5432052419026228	7.37271905389135	false	true	false	true	false	true
distance-profile:chey:ol	NOT_SIGNIFICANT	0	0	0	0	0	false	false	false	false	false	false
distance-profile:chol:cthy	SINGLE_BLOCK_DRIVEN	1	0	1	2.5596217468110436	13.550938659587878	false	false	false	false	false	false
distance-profile:chol:daiin	SINGLE_BLOCK_DRIVEN	5	2	0.7142857142857143	0.7404741554422632	2.752045170886598	true	false	true	false	true	false
distance-profile:chor:daiin	SINGLE_BLOCK_DRIVEN	2	0	1	1.814196210459091	9.224955666495129	true	false	true	false	true	false
distance-profile:daiin:dol	NOT_SIGNIFICANT	0	0	0	0	0	false	false	false	false	false	false
distance-profile:dal:ol	NOT_SIGNIFICANT	0	0	0	0	0	false	false	false	false	false	false
distance-profile:dar:ol	SINGLE_BLOCK_DRIVEN	3	1	0.75	0.6606171328028104	1.497474334323013	true	true	true	false	true	true
distance-profile:lchedy:qokain	SINGLE_BLOCK_DRIVEN	1	0	1	0.568783866312237	3.0797565444223562	false	false	false	false	false	false
distance-profile:lchedy:qokar	SINGLE_BLOCK_DRIVEN	1	0	1	0.9926013074477793	2.7487420821630812	false	false	false	false	false	false
distance-profile:lchedy:qokeey	SINGLE_BLOCK_DRIVEN	1	0	1	1.248726271605155	4.674718862932119	false	false	false	false	false	false
distance-profile:lchedy:qol	SINGLE_BLOCK_DRIVEN	1	0	1	0.8913872586182782	4.378284476154484	false	false	false	false	false	false
distance-profile:okaiin:ol	SINGLE_BLOCK_DRIVEN	3	1	0.75	0.6440538587204581	2.586821932553327	true	true	true	true	true	true
distance-profile:okain:ol	NOT_SIGNIFICANT	0	0	0	0	0	false	false	false	false	false	false
distance-profile:okar:otain	SINGLE_BLOCK_DRIVEN	1	0	1	0.6940352598780367	0.9003700668688044	false	false	false	false	false	false
distance-profile:ol:y	SINGLE_BLOCK_DRIVEN	1	2	0.3333333333333333	0.1693020300511375	1.7883642507303932	false	false	false	false	false	false
distance-profile:or:r	NOT_SIGNIFICANT	0	0	0	0	0	false	false	false	false	false	false
distance-profile:or:s	SINGLE_BLOCK_DRIVEN	2	1	0.6666666666666666	0.8039258690913921	0.8361761120104755	true	false	true	false	true	false
distance-profile:qokaiin:qol	SINGLE_BLOCK_DRIVEN	1	0	1	1.7518971182340788	8.759485591170394	false	false	false	false	false	false
distance-profile:qokain:qol	SINGLE_BLOCK_DRIVEN	1	0	1	0.14381376719334604	0.9993213053691482	false	false	false	false	false	false
distance-profile:qokar:qol	SINGLE_BLOCK_DRIVEN	1	0	1	0.6720228042261778	2.8515562233381058	false	false	false	false	false	false
distance-profile:qokedy:qol	SINGLE_BLOCK_DRIVEN	1	0	1	1.056837916962521	7.79775003596671	false	false	false	false	false	false
distance-profile:qol:qotain	SINGLE_BLOCK_DRIVEN	1	0	1	0.44005769076869466	1.6825735235273618	false	false	false	false	false	false
distance-profile:r:s	NOT_SIGNIFICANT	0	0	0	0	0	false	false	false	false	false	false
