sequence	n	canonical_occurrences	physical_blocks	joint_classes	max_block_fraction	shuffle_block_fdr_q
aiin al	2	9	4	4	0.25	0.07748184019370462
aiin chey	2	10	4	3	0.2857142857142857	0.14683982683982685
aiin okaiin	2	8	3	2	0.4	0.23407917383821
aiin okal	2	10	5	3	0.3333333333333333	0.011544011544011544
aiin ol	2	10	4	2	0.2857142857142857	0.3924963924963925
aiin otaiin	2	6	3	3	0.3333333333333333	0.12842712842712845
aiin otar	2	9	4	3	0.5	0.05964405964405964
aiin y	2	6	3	2	0.5	0.2573240712775597
ain ol	2	6	3	3	0.5	0.08138528138528138
al ar	2	9	4	4	0.25	0.027501909854851035
ar aiiin	2	6	3	3	0.3333333333333333	0.024242424242424242
ar aiin	2	27	8	3	0.375	0.016404647983595352
ar ain	2	7	3	2	0.3333333333333333	0.041558441558441565
ar al	2	18	4	2	0.25	0.023976023976023976
ar ol	2	9	5	5	0.3333333333333333	0.10389610389610389
ar or	2	10	7	4	0.3333333333333333	0.032809295967190705
ar y	2	7	4	3	0.4	0.046647230320699715
chedy daiin	2	10	5	2	0.42857142857142855	0.16131237183868763
chedy qokaiin	2	10	5	4	0.2857142857142857	0.025974025974025976
chedy qokar	2	10	4	2	0.6666666666666666	0.06044864226682409
chedy qokedy	2	14	4	3	0.7	0.10861865407319952
chedy qokey	2	6	3	2	0.6	0.024242424242424242
chedy qotaiin	2	6	3	2	0.5	0.03174603174603175
cheey daiin	2	8	5	3	0.42857142857142855	0.02968460111317254
cheol chol	2	6	4	3	0.5	0.011544011544011544
ches aiin	2	7	5	3	0.3333333333333333	0.006493506493506494
chey daiin	2	8	4	2	0.25	0.5512854492446329
chey kain	2	6	3	3	0.5	0.006493506493506494
chol chey	2	6	4	4	0.4	0.13057213057213057
chol chy	2	8	4	2	0.42857142857142855	0.1824841824841825
chol cthol	2	6	3	2	0.6666666666666666	0.05964405964405964
chol daiin	2	33	10	3	0.4827586206896552	0.024242424242424242
chol dol	2	6	3	2	0.6	0.07523510971786834
chol dy	2	8	5	2	0.3333333333333333	0.033766233766233764
chol ol	2	9	4	3	0.25	0.1202226345083488
chy daiin	2	9	6	2	0.3333333333333333	0.09027038535235257
chy s	2	7	3	2	0.6	0.1202226345083488
daiin chckhy	2	9	5	4	0.3333333333333333	0.03865901540320145
daiin chcthy	2	6	4	3	0.5	0.03865901540320145
daiin chedy	2	10	6	3	0.2857142857142857	0.057942057942057944
daiin chey	2	13	5	3	0.5555555555555556	0.2963400236127509
daiin chor	2	7	3	2	0.6666666666666666	0.6875477463712758
daiin dain	2	9	5	2	0.4444444444444444	0.2505729564553094
daiin dal	2	11	3	2	0.6	0.5398313027179007
daiin dam	2	8	5	3	0.42857142857142855	0.027501909854851035
daiin dar	2	7	3	3	0.5	0.7625772285966461
daiin dy	2	6	4	2	0.4	0.553063098517644
daiin okaiin	2	8	4	2	0.42857142857142855	0.23747680890538034
daiin ol	2	7	4	3	0.5	0.6305773434486306
daiin or	2	8	5	5	0.3333333333333333	0.5085440874914559
daiin y	2	7	5	3	0.3333333333333333	0.23407917383821
dar aiin	2	7	5	2	0.2	0.10389610389610389
dar ar	2	10	4	2	0.42857142857142855	0.12842712842712845
dar chedy	2	7	3	2	0.3333333333333333	0.4007421150278293
