target	model	truth	prediction	count
currier	multinomial_logistic	1	1	0
currier	multinomial_logistic	1	2	83
currier	multinomial_logistic	2	1	130
currier	multinomial_logistic	2	2	1
currier	multinomial_logistic	3	1	0
currier	multinomial_logistic	3	2	19
currier	multinomial_logistic	X	1	0
currier	multinomial_logistic	X	2	37
currier	second_order_logistic	1	1	37
currier	second_order_logistic	1	2	0
currier	second_order_logistic	1	3	0
currier	second_order_logistic	1	X	46
currier	second_order_logistic	2	1	3
currier	second_order_logistic	2	2	0
currier	second_order_logistic	2	3	128
currier	second_order_logistic	2	X	0
currier	second_order_logistic	3	1	0
currier	second_order_logistic	3	2	18
currier	second_order_logistic	3	3	0
currier	second_order_logistic	3	X	1
currier	second_order_logistic	X	1	8
currier	second_order_logistic	X	2	0
currier	second_order_logistic	X	3	29
currier	second_order_logistic	X	X	0
hand	multinomial_logistic	1	1	0
hand	multinomial_logistic	1	2	83
hand	multinomial_logistic	2	1	130
hand	multinomial_logistic	2	2	20
hand	multinomial_logistic	3	1	0
hand	multinomial_logistic	3	2	37
hand	second_order_logistic	1	1	10
hand	second_order_logistic	1	2	0
hand	second_order_logistic	1	3	73
hand	second_order_logistic	2	1	1
hand	second_order_logistic	2	2	18
hand	second_order_logistic	2	3	131
hand	second_order_logistic	3	1	8
hand	second_order_logistic	3	2	29
hand	second_order_logistic	3	3	0
joint	multinomial_logistic	1/1	1/1	0
joint	multinomial_logistic	1/1	2/2	83
joint	multinomial_logistic	2/2	1/1	130
joint	multinomial_logistic	2/2	2/2	1
joint	multinomial_logistic	3/2	1/1	0
joint	multinomial_logistic	3/2	2/2	19
joint	multinomial_logistic	X/3	1/1	0
joint	multinomial_logistic	X/3	2/2	37
joint	second_order_logistic	1/1	1/1	37
joint	second_order_logistic	1/1	2/2	0
joint	second_order_logistic	1/1	3/2	0
joint	second_order_logistic	1/1	X/3	46
joint	second_order_logistic	2/2	1/1	3
joint	second_order_logistic	2/2	2/2	0
joint	second_order_logistic	2/2	3/2	128
joint	second_order_logistic	2/2	X/3	0
joint	second_order_logistic	3/2	1/1	0
joint	second_order_logistic	3/2	2/2	18
joint	second_order_logistic	3/2	3/2	0
joint	second_order_logistic	3/2	X/3	1
joint	second_order_logistic	X/3	1/1	8
joint	second_order_logistic	X/3	2/2	0
joint	second_order_logistic	X/3	3/2	29
joint	second_order_logistic	X/3	X/3	0
