position	scale_support	mean_jump	uncertainty	nearest_folio	distance_folio	nearest_paragraph	distance_paragraph	nearest_currier_transition	distance_currier	nearest_hand_transition	distance_hand	nearest_quire	distance_quire	nearest_known_metadata_distance
12504	5	0.08263770550181025	26	12457	47	12457	47	10164	2340	11712	792	12826	322	47
11486	5	0.07958973388104265	16	11598	112	11481	5	10164	1322	11712	226	11712	226	5
12230	4	0.09548473390979172	20	12204	26	12232	2	10164	2066	11712	518	11712	518	2
12051	4	0.09293475684793735	16.25	12069	18	12033	18	10164	1887	11712	339	11712	339	18
14499	4	0.09268525791028552	3.75	14501	2	14501	2	10164	4335	14800	301	14605	106	2
12686	4	0.09021553962182383	16.25	12729	43	12729	43	10164	2522	11712	974	12826	140	43
23960	4	0.08987329356445224	20	23871	89	23929	31	24152	192	24152	192	24152	192	31
38003	4	0.08959021692378635	17.5	38061	58	38009	6	30820	7183	37729	274	28131	9872	6
26898	4	0.08958791542372356	7.5	26917	19	26917	19	26407	491	26407	491	26547	351	19
30894	4	0.08953401267423396	13.75	30820	74	30888	6	30820	74	28131	2763	28131	2763	6
28159	4	0.08912506046160622	21.25	28131	28	28181	22	26407	1752	28131	28	28131	28	22
24409	4	0.0888754992082541	11.25	24346	63	24405	4	24152	257	24152	257	24152	257	4
38094	4	0.08805061454521997	18.75	38061	33	38107	13	30820	7274	37729	365	28131	9963	13
22298	4	0.08794094196821921	22.5	22260	38	22260	38	21757	541	22260	38	21757	541	38
25358	4	0.08763208057579441	22.5	25351	7	25351	7	25872	514	25872	514	25631	273	7
12178	4	0.08744688522895694	27.5	12204	26	12204	26	10164	2014	11712	466	11712	466	26
38186	4	0.08742432792121635	13.75	38061	125	38167	19	30820	7366	37729	457	28131	10055	19
14205	4	0.0874028884597978	5	14274	69	14274	69	10164	4041	14800	595	14605	400	69
28114	4	0.08700783421892244	26.25	28131	17	28131	17	26407	1707	28131	17	28131	17	17
36386	4	0.08670452236708688	13.75	36262	124	36387	1	30820	5566	37600	1214	28131	8255	1
14284	4	0.08665288752429787	16.25	14274	10	14274	10	10164	4120	14800	516	14605	321	10
26506	4	0.08637580022883308	13.75	26491	15	26491	15	26407	99	26407	99	26547	41	15
22185	4	0.08568832703451562	15	22260	75	22185	0	21757	428	22260	75	21757	428	0
10703	4	0.0847434037024066	7.5	10827	124	10683	20	10164	539	10449	254	10164	539	20
26593	4	0.08467342865678804	12.5	26547	46	26610	17	26407	186	26407	186	26547	46	17
9091	4	0.08378134561408222	11.25	9086	5	9086	5	9086	5	9086	5	8610	481	5
36886	4	0.08283713875836927	13.75	36764	122	36881	5	30820	6066	37600	714	28131	8755	5
24694	4	0.0821644486980387	18.75	24641	53	24699	5	24152	542	24152	542	24152	542	5
11803	4	0.08123297854794803	7.5	11879	76	11879	76	10164	1639	11712	91	11712	91	76
31591	4	0.07668659332310977	16.25	31696	105	31590	1	30820	771	28131	3460	28131	3460	1
9904	4	0.07295548110747174	16.25	9865	39	9908	4	9970	66	9970	66	10164	260	4
14868	4	0.0582698061654417	32.5	14800	68	14800	68	10164	4704	14800	68	14800	68	68
12347	3	0.09843360160832715	16.66666666666606	12351	4	12351	4	10164	2183	11712	635	12826	479	4
24247	3	0.0976318216884251	13.33333333333212	24254	7	24254	7	24152	95	24152	95	24152	95	7
12278	3	0.09723783729871222	3.3333333333339397	12269	9	12269	9	10164	2114	11712	566	12826	548	9
26463	3	0.09668894233610503	6.666666666667879	26491	28	26491	28	26407	56	26407	56	26547	84	28
30247	3	0.09635458028859317	16.66666666666788	30421	174	30277	30	30042	205	28131	2116	28131	2116	30
25312	3	0.09611261964664647	18.33333333333212	25351	39	25351	39	25872	560	25872	560	25631	319	39
14447	3	0.09608329565989265	13.33333333333394	14393	54	14393	54	10164	4283	14800	353	14605	158	54
12403	3	0.09601398419576476	6.66666666666606	12351	52	12351	52	10164	2239	11712	691	12826	423	52
14378	3	0.09578619419231055	21.66666666666606	14393	15	14393	15	10164	4214	14800	422	14605	227	15
7568	3	0.09569099663908484	13.33333333333303	7610	42	7540	28	7610	42	7610	42	6886	682	28
38230	3	0.09552421283829365	10	38061	169	38218	12	30820	7410	37729	501	28131	10099	12
9420	3	0.0954318278226688	0	9404	16	9404	16	9741	321	9741	321	10164	744	16
24177	3	0.09540465634635167	23.33333333333212	24152	25	24152	25	24152	25	24152	25	24152	25	25
24318	3	0.09530962135366013	8.33333333333212	24346	28	24303	15	24152	166	24152	166	24152	166	15
7123	3	0.09523860661832068	16.66666666666697	7190	67	7140	17	7049	74	7049	74	6886	237	17
30397	3	0.09517814163123335	6.666666666667879	30421	24	30394	3	30042	355	28131	2266	28131	2266	3
29608	3	0.0950105014396099	21.66666666666788	29565	43	29616	8	30042	434	28131	1477	28131	1477	8
14538	3	0.09499526126130543	3.3333333333339397	14501	37	14501	37	10164	4374	14800	262	14605	67	37
12430	3	0.09491314657036401	10	12457	27	12457	27	10164	2266	11712	718	12826	396	27
7917	3	0.09476901366002939	16.66666666666697	7958	41	7910	7	7958	41	7958	41	8610	693	7
25845	3	0.09474923782847781	15	25872	27	25872	27	25872	27	25872	27	25631	214	27
11995	3	0.0946276883872198	10	12069	74	11997	2	10164	1831	11712	283	11712	283	2
35715	3	0.09461374579885606	10	35733	18	35702	13	30820	4895	37600	1885	28131	7584	13
26400	3	0.0945485223277713	0	26407	7	26407	7	26407	7	26407	7	26547	147	7
38337	3	0.0945335234965556	16.66666666666424	38471	134	38339	2	30820	7517	37729	608	28131	10206	2
13460	3	0.09442217924482055	20	13484	24	13484	24	10164	3296	14800	1340	13701	241	24
22893	3	0.094391268246658	6.666666666667879	22800	93	22942	49	21757	1136	22800	93	21757	1136	49
36182	3	0.09438235331006144	8.333333333335759	36262	80	36189	7	30820	5362	37600	1418	28131	8051	7
24097	3	0.09435758338902754	16.66666666666788	24152	55	24104	7	24152	55	24152	55	24152	55	7
30310	3	0.09434550757314786	10	30421	111	30315	5	30042	268	28131	2179	28131	2179	5
25687	3	0.09418538254207175	16.66666666666788	25631	56	25631	56	25872	185	25872	185	25631	56	56
35967	3	0.09413515775549064	6.666666666664241	35733	234	35959	8	30820	5147	37600	1633	28131	7836	8
29338	3	0.09398407010858327	3.3333333333321207	29117	221	29328	10	30042	704	28131	1207	28131	1207	10
14697	3	0.09398393254260533	6.66666666666606	14701	4	14701	4	10164	4533	14800	103	14605	92	4
14750	3	0.09396384822086196	10	14701	49	14701	49	10164	4586	14800	50	14800	50	49
35898	3	0.09375687162828102	8.333333333335759	35733	165	35899	1	30820	5078	37600	1702	28131	7767	1
7613	3	0.09372870325933719	6.66666666666697	7610	3	7610	3	7610	3	7610	3	6886	727	3
