token_a	token_b	count_a	count_b	structural_similarity	reliability	position_similarity	left_similarity	right_similarity	position_reliability	left_reliability	right_reliability	total_evidence_weight	diagnostic_weighted_similarity	grapheme_distance	normalized_grapheme_distance	grapheme_similarity	common_prefix	common_suffix	length_difference	discovery_score
qokedy	qokeedy	276	307	0.8446019957316108	0.9331850161618348	0.9902835503676242	0.8114766473858894	0.7320457894413187	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.8487841218881355	1	0.14285714285714285	0.8571428571428572	4	3	1	0.11259570386244586
qokaiin	qokain	265	279	0.7983327261149342	0.9331850161618348	0.9903253278614647	0.7275006003252105	0.6771722501581277	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.8038743431986223	1	0.14285714285714285	0.8571428571428572	5	2	1	0.10642744827458378
chedy	shedy	506	434	0.8446238730821038	0.9331850161618348	0.9689713020826439	0.8143979006108315	0.7505024165528362	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.8481957099802092	1	0.2	0.8	0	4	0	0.15763806853055895
qokeedy	qokeey	307	307	0.7824696470459088	0.9331850161618348	0.9746926105895813	0.6841540814466007	0.6885622491015444	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7880481836076149	1	0.14285714285714285	0.8571428571428572	5	1	1	0.1043127071749545
qokedy	qokeey	276	307	0.7642265776580932	0.9331850161618348	0.9803922857190038	0.7024502262202293	0.6098372210350465	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7704460620117999	1	0.16666666666666666	0.8333333333333334	4	1	0	0.11886079853719524
okeey	qokeey	184	307	0.7170713732249717	0.9331850161618348	0.9374567377341982	0.618096705521523	0.5956606764191942	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7234520300148182	1	0.16666666666666666	0.8333333333333334	0	5	1	0.11152671016868905
shedy	sheedy	434	83	0.7555967590631818	0.8785021703872066	0.9526654602846825	0.6091548315902925	0.7049699853145703	0.974870055312733	0.8273190667110263	0.8333173891378601	2.6355065111616196	0.7665145867571949	1	0.16666666666666666	0.8333333333333334	3	3	1	0.11063223212909074
qokeey	qokey	307	108	0.7339742757155777	0.9009792438042656	0.9704101759900006	0.676508439284291	0.5550042118724413	0.9798856737356096	0.859142557902802	0.8639094997743854	2.702937731412797	0.744220485637809	1	0.16666666666666666	0.8333333333333334	4	2	1	0.11021593131766745
chedy	chey	506	351	0.7309867885962591	0.9331850161618348	0.9509256140066336	0.624436543056054	0.6175982087260898	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7373631082829303	1	0.2	0.8	3	1	1	0.13642918362605758
daiin	dain	848	214	0.7265567258381243	0.9331850161618348	0.9694340880433275	0.590933130856061	0.6193029586149839	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7336179076186298	1	0.2	0.8	3	2	1	0.13560236998874795
shedy	shey	434	278	0.7202585263048954	0.9331850161618348	0.9712608149813795	0.5995098394619027	0.5900049244714041	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7275344776781197	1	0.2	0.8	3	1	1	0.13442689290210663
qokal	qokar	197	159	0.7080091319350013	0.9326829272298266	0.9656224185613554	0.5412619083096358	0.6171430689340124	0.9872073886018484	0.9038615188296367	0.9069798742579946	2.79804878168948	0.7155814269202037	1	0.2	0.8	4	0	0	0.13206960593571712
okedy	qokedy	120	276	0.6940547103334721	0.9097632023852321	0.9485351042874948	0.5106650194151467	0.622964007297775	0.9818855867982036	0.8715518326673443	0.8758521876901485	2.7292896071556965	0.7042302746572286	1	0.16666666666666666	0.8333333333333334	0	5	1	0.10523757265058904
cheey	chey	183	351	0.7013453618961404	0.9331850161618348	0.9604772690198702	0.6541263126185957	0.4894325040499551	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7087714134033273	1	0.2	0.8	3	2	1	0.13089699657521553
chol	chor	395	211	0.7479459844988816	0.9331850161618348	0.9627273072288545	0.5937639396192964	0.6873467066484938	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7542281663944344	1	0.25	0.75	3	0	0	0.17449299640819207
qokeedy	qoteedy	307	77	0.6959619025170043	0.8716992094696895	0.9514316854341204	0.6323011610228607	0.5041528610940319	0.9730024617253026	0.817878561116674	0.8242166055670921	2.6150976284090683	0.7106511342175361	1	0.14285714285714285	0.8571428571428572	2	4	0	0.08666706289215624
qokedy	qokey	276	108	0.6925482796855681	0.9009792438042656	0.9720356541524096	0.6427446723797823	0.46286451252451233	0.9798856737356096	0.859142557902802	0.8639094997743854	2.702937731412797	0.7046282054946942	1	0.16666666666666666	0.8333333333333334	4	1	1	0.10399527088817469
chey	shey	351	278	0.7368851663353947	0.9331850161618348	0.9618797834717221	0.6741937000042681	0.574582015530194	0.987325626835407	0.9045682072862464	0.9076612143638506	2.7995550484855043	0.7433568980280068	1	0.25	0.75	0	3	0	0.1719125489640279
aiin	ain	504	113	0.7462028318863103	0.9047664520816965	0.9479813699160446	0.7958013833194261	0.49482574242346034	0.9807452167190431	0.8644946660147093	0.869059473511337	2.7142993562450894	0.7544220351560168	1	0.25	0.75	2	2	1	0.1687848221847729
shedy	sheey	434	149	0.6815709632888375	0.927459582949032	0.9608170592334169	0.5849737750469808	0.4989220555861148	0.9859815172838252	0.8965069119832414	0.899890319580029	2.782378748847096	0.690328742410246	1	0.2	0.8	3	1	0	0.12642590427240705
okeedy	qokeedy	111	307	0.6530051663246913	0.9032746431325221	0.944323163755878	0.4144937589508331	0.600198576267363	0.9804061431028335	0.8623867665512657	0.8670310197434673	2.7098239293975666	0.6656022656750634	1	0.14285714285714285	0.8571428571428572	0	6	1	0.08426328693937553
