block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
2/2#8	2	2	2/2	aiiin	al	6	22	0	6	6957	0.001814882033	0.003113540441	0.5828997782	-0.7786802423	depleted
3/2#1	3	2	3/2	aiiin	al	10	10	1	10	1352	0.005366726297	0.006475485661	0.8287758753	-0.2709460864	depleted
Y/3#0	Y	3	Y/3	aiiin	al	6	15	0	6	778	0.001814882033	0.01479713604	0.1226508987	-3.02737029	depleted
2/2#8	2	2	2/2	aiiin	chckhedy	6	5	1	6	6957	0.005444646098	0.0007610876635	7.153770005	2.838703736	preferred
3/2#1	3	2	3/2	aiiin	chckhedy	10	0	0	10	1352	0.001788908766	0.0003083564601	5.801431127	2.536408836	preferred
Y/3#0	Y	3	Y/3	aiiin	chckhedy	6	0	0	6	778	0.001814882033	0.000477326969	3.802177858	1.92682602	preferred
2/2#8	2	2	2/2	aiiin	chedy	6	206	1	6	6957	0.005444646098	0.02857538227	0.1905362471	-2.391862617	depleted
3/2#1	3	2	3/2	aiiin	chedy	10	16	0	10	1352	0.001788908766	0.01017576318	0.1758009432	-2.507985284	depleted
Y/3#0	Y	3	Y/3	aiiin	chedy	6	11	0	6	778	0.001814882033	0.01097852029	0.1653120808	-2.596735936	depleted
2/2#8	2	2	2/2	aiiin	chol	6	14	0	6	6957	0.001814882033	0.00200650384	0.9044996558	-0.144808141	depleted
3/2#1	3	2	3/2	aiiin	chol	10	7	1	10	1352	0.005366726297	0.004625346901	1.160286225	0.2144807407	preferred
Y/3#0	Y	3	Y/3	aiiin	chol	6	1	0	6	778	0.001814882033	0.001431980907	1.267392619	0.3418635193	preferred
2/2#8	2	2	2/2	aiiin	d	6	6	0	6	6957	0.001814882033	0.0008994672386	2.017730001	1.012733136	preferred
3/2#1	3	2	3/2	aiiin	d	10	2	0	10	1352	0.001788908766	0.0015417823	1.160286225	0.2144807407	preferred
Y/3#0	Y	3	Y/3	aiiin	d	6	0	0	6	778	0.001814882033	0.000477326969	3.802177858	1.92682602	preferred
2/2#8	2	2	2/2	aiiin	daly	6	7	0	6	6957	0.001814882033	0.001037846814	1.748699335	0.8062822585	preferred
3/2#1	3	2	3/2	aiiin	daly	10	0	0	10	1352	0.001788908766	0.0003083564601	5.801431127	2.536408836	preferred
Y/3#0	Y	3	Y/3	aiiin	daly	6	0	0	6	778	0.001814882033	0.000477326969	3.802177858	1.92682602	preferred
2/2#8	2	2	2/2	aiiin	lchedy	6	59	0	6	6957	0.001814882033	0.008233584723	0.2204242859	-2.181644909	depleted
3/2#1	3	2	3/2	aiiin	lchedy	10	0	0	10	1352	0.001788908766	0.0003083564601	5.801431127	2.536408836	preferred
Y/3#0	Y	3	Y/3	aiiin	lchedy	6	1	0	6	778	0.001814882033	0.001431980907	1.267392619	0.3418635193	preferred
2/2#8	2	2	2/2	aiiin	o	6	21	0	6	6957	0.001814882033	0.002975160866	0.6100113958	-0.7130919006	depleted
3/2#1	3	2	3/2	aiiin	o	10	3	0	10	1352	0.001788908766	0.00215849522	0.8287758753	-0.2709460864	depleted
Y/3#0	Y	3	Y/3	aiiin	o	6	2	0	6	778	0.001814882033	0.002386634845	0.7604355717	-0.3951020749	depleted
2/2#8	2	2	2/2	aiiin	okal	6	26	0	6	6957	0.001814882033	0.003667058742	0.494914906	-1.0147476	depleted
3/2#1	3	2	3/2	aiiin	okal	10	3	0	10	1352	0.001788908766	0.00215849522	0.8287758753	-0.2709460864	depleted
Y/3#0	Y	3	Y/3	aiiin	okal	6	3	0	6	778	0.001814882033	0.003341288783	0.5431682655	-0.880528902	depleted
2/2#8	2	2	2/2	aiiin	ol	6	229	1	6	6957	0.005444646098	0.0317581125	0.1714411112	-2.544214989	depleted
3/2#1	3	2	3/2	aiiin	ol	10	26	0	10	1352	0.001788908766	0.01634289238	0.1094609647	-3.191511619	depleted
Y/3#0	Y	3	Y/3	aiiin	ol	6	6	1	6	778	0.005444646098	0.006205250597	0.8774256596	-0.1886511974	depleted
2/2#8	2	2	2/2	aiiin	olkam	6	2	0	6	6957	0.001814882033	0.0003459489379	5.246098004	2.391244759	preferred
3/2#1	3	2	3/2	aiiin	olkam	10	3	1	10	1352	0.005366726297	0.00215849522	2.486327626	1.314016414	preferred
Y/3#0	Y	3	Y/3	aiiin	olkam	6	0	0	6	778	0.001814882033	0.000477326969	3.802177858	1.92682602	preferred
2/2#8	2	2	2/2	aiiin	oteey	6	18	0	6	6957	0.001814882033	0.002560022141	0.7089321627	-0.4962805116	depleted
3/2#1	3	2	3/2	aiiin	oteey	10	5	0	10	1352	0.001788908766	0.003391921061	0.5274028297	-0.923022783	depleted
Y/3#0	Y	3	Y/3	aiiin	oteey	6	3	0	6	778	0.001814882033	0.003341288783	0.5431682655	-0.880528902	depleted
2/2#8	2	2	2/2	aiiin	qokaiin	6	87	0	6	6957	0.001814882033	0.01210821283	0.1498885144	-2.738038258	depleted
3/2#1	3	2	3/2	aiiin	qokaiin	10	16	1	10	1352	0.005366726297	0.01017576318	0.5274028297	-0.923022783	depleted
Y/3#0	Y	3	Y/3	aiiin	qokaiin	6	6	1	6	778	0.005444646098	0.006205250597	0.8774256596	-0.1886511974	depleted
2/2#8	2	2	2/2	aiiin	saiin	6	34	0	6	6957	0.001814882033	0.004774095344	0.3801520292	-1.395351603	depleted
3/2#1	3	2	3/2	aiiin	saiin	10	2	0	10	1352	0.001788908766	0.0015417823	1.160286225	0.2144807407	preferred
