token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
aiin	1/1#0	outgoing	6.273638548	530.4037704	5.215136627	1.058501921	true
ar	1/1#0	outgoing	6.271460555	529.2498123	5.215136627	1.056323928	true
chaiin	1/1#0	outgoing	6.259907649	523.1706223	5.215136627	1.044771022	true
chal	1/1#0	outgoing	6.282643573	535.2016402	5.215136627	1.067506947	true
chan	1/1#0	outgoing	6.273203889	530.173276	5.215136627	1.058067262	true
char	1/1#0	outgoing	6.263030885	524.8071622	5.215136627	1.047894258	true
chckhy	1/1#0	outgoing	6.278081712	532.7656851	5.215136627	1.062945085	true
chcthy	1/1#0	outgoing	6.273638548	530.4037704	5.215136627	1.058501921	true
chear	1/1#0	outgoing	6.275845478	531.5756276	5.215136627	1.060708852	true
cheey	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
cheol	1/1#0	outgoing	6.269068962	527.9855745	5.215136627	1.053932335	true
cheor	1/1#0	outgoing	6.260445599	523.4521381	5.215136627	1.045308973	true
chey	1/1#0	outgoing	6.260445599	523.4521381	5.215136627	1.045308973	true
cho	1/1#0	outgoing	6.24174617	513.7548312	5.215136627	1.026609543	true
chocthy	1/1#0	outgoing	6.273638548	530.4037704	5.215136627	1.058501921	true
chodaiin	1/1#0	outgoing	6.266698009	526.7352282	5.215136627	1.051561382	true
chody	1/1#0	outgoing	6.273638548	530.4037704	5.215136627	1.058501921	true
choiin	1/1#0	outgoing	6.278081712	532.7656851	5.215136627	1.062945085	true
chokchy	1/1#0	outgoing	6.282643573	535.2016402	5.215136627	1.067506947	true
choky	1/1#0	outgoing	6.275845478	531.5756276	5.215136627	1.060708852	true
chol	1/1#0	outgoing	6.008144948	406.728118	5.215136627	0.7930083208	true
chom	1/1#0	outgoing	6.284969958	536.4481742	5.215136627	1.069833331	true
chor	1/1#0	outgoing	6.123538569	456.477116	5.215136627	0.9084019426	true
choty	1/1#0	outgoing	6.264084875	525.3605951	5.215136627	1.048948248	true
chy	1/1#0	outgoing	6.184624417	485.2306852	5.215136627	0.9694877907	true
