block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
1/1#0	1248	5.995857042	6.282271238	-0.2864141961
2/2#0	55	5.80023072	6.293859817	-0.4936290967
1/1#1	190	5.97662611	6.269457684	-0.2928315734
2/2#1	71	6.026510383	6.27918694	-0.2526765564
1/1#2	59	5.834452634	6.237101206	-0.4026485716
2/2#2	200	5.845816227	6.288644413	-0.4428281861
1/1#3	222	5.908201644	6.287173618	-0.3789719743
2/2#3	186	5.755210419	6.274749813	-0.5195393939
2/5#0	42	5.895440014	6.292085861	-0.3966458469
1/1#4	72	5.811427576	6.29423359	-0.4828060132
2/2#4	110	6.126997551	6.291695894	-0.164698343
1/1#5	125	6.021654273	6.283205727	-0.2615514538
2/2#5	106	6.043369102	6.293236261	-0.2498671591
1/1#6	54	5.584308494	6.254893899	-0.670585405
2/5#1	69	6.096607406	6.275290895	-0.1786834892
1/1#7	56	5.71593215	6.273323685	-0.5573915353
2/2#6	84	6.019801926	6.291733368	-0.271931442
1/1#8	159	5.896046643	6.277616998	-0.3815703555
2/2#7	100	5.656275101	6.207236794	-0.550961693
1/1#9	53	5.698115521	6.2973408	-0.5992252795
2/5#2	21	6.189850713	6.290417153	-0.1005664403
2/2#8	3536	6.022678233	6.283649178	-0.2609709447
3/2#0	159	5.914664395	6.261599744	-0.346935349
3/4#0	105	5.982808786	6.284284953	-0.3014761669
3/2#1	500	5.964408473	6.273117364	-0.308708891
4/1#0	109	5.875916042	6.284573123	-0.4086570811
4/1#1	54	5.973171974	6.270874288	-0.2977023139
5/3#0	187	6.027999189	6.281275776	-0.2532765873
4/1#2	23	6.172067894	6.289876602	-0.1178087079
X/3#0	697	5.893065317	6.27449883	-0.3814335131
Y/3#0	217	5.928996766	6.278671807	-0.3496750408
X/3#1	251	6.017411264	6.28336917	-0.2659579066
