token	canonical_token_key	astro_label_family	confirmed_astro_label_occurrences	astro_count	herbal_count	pharmaceutical_count	biological_count	zodiac_count	stars_count	cosmological_count	text_count	global_count	is_global_hapax	is_astronomical_section_hapax	occurs_outside_astronomical	occurs_in_herbal	occurs_in_pharmaceutical	stolfi_label_sections_outside_astro	cross_section_class
cheorol	H/e/o/r/o/l	STAR	1	1	0	1	0	0	0	0	0	2	False	True	True	False	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
chocfhy	H/o/F/y	STAR	1	2	0	0	0	0	0	0	0	2	False	False	False	False	False		ASTRO_LABEL_ONLY
chodar	H/o/d/a/r	STAR	1	1	7	1	0	0	4	0	0	13	False	True	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
chol	H/o/l	STAR	1	6	228	44	10	5	72	13	20	398	False	False	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
cholar	H/o/l/a/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
cphocthy	P/o/C/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
cthyd	C/y/d	STAR	1	1	2	0	0	0	0	0	0	3	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
darall	d/a/r/a/l/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
dcheoldy	d/H/e/o/l/d/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
dchol	d/H/o/l	STAR	1	2	16	0	2	0	2	1	1	24	False	False	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
dolchedy	d/o/l/H/e/d/y	STAR	1	1	0	0	0	0	1	0	0	2	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
o	o	STAR	1	10	73	18	21	11	45	33	12	223	False	False	True	True	True	Cosmological	LABEL_REUSED_ACROSS_SECTIONS
oalcheol	o/a/l/H/e/o/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ochory	o/H/o/r/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ockhy	o/K/y	STAR	1	2	4	3	0	0	2	1	0	12	False	False	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
ocphy	o/P/y	STAR	1	1	1	0	0	0	1	0	0	3	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
octhey	o/C/e/y	STAR	1	1	1	1	0	0	0	1	1	5	False	True	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
odaiin	o/d/a/N	STAR	1	1	26	5	1	0	21	8	6	68	False	True	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
odair	o/d/a/i/r	STAR	1	1	0	0	0	0	0	3	1	5	False	True	True	False	False	Zodiac	LABEL_REUSED_ACROSS_SECTIONS
odchecthy	o/d/H/e/C/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ofcheody	o/f/H/e/o/d/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ofcheor	o/f/H/e/o/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
oiinar	o/N/a/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
okchody	o/k/H/o/d/y	STAR	1	1	2	1	0	0	0	2	0	6	False	True	True	True	True	Zodiac	LABEL_REUSED_ACROSS_SECTIONS
okchor	o/k/H/o/r	STAR	1	1	12	0	0	1	2	2	0	18	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
okear	o/k/e/a/r	STAR	1	1	2	1	0	0	3	2	0	9	False	True	True	True	True	Cosmological	LABEL_REUSED_ACROSS_SECTIONS
okeeeody	o/k/E/e/o/d/y	STAR	1	1	0	0	0	0	1	0	0	2	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
okeeodal	o/k/E/o/d/a/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
okoaly	o/k/o/a/l/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
okolchy	o/k/o/l/H/y	STAR	1	1	1	0	0	0	1	0	0	3	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
okoldy	o/k/o/l/d/y	STAR	1	1	1	3	2	0	1	0	0	8	False	True	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
okos	o/k/o/s	STAR	1	2	1	1	0	0	1	2	0	7	False	False	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
okshor	o/k/S/o/r	STAR	1	1	1	0	0	0	0	0	0	2	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
olcheesey	o/l/H/E/s/e/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
olor	o/l/o/r	STAR	1	1	5	1	16	0	4	2	1	30	False	True	True	True	True		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
opocphor	o/p/o/P/o/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otcheodar	o/t/H/e/o/d/a/r	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
oteool	o/t/e/o/o/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otochedy	o/t/o/H/e/d/y	STAR	1	1	0	0	0	1	0	1	0	3	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
otoeeo	o/t/o/E/o	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otol	o/t/o/l	STAR	1	3	31	7	12	5	11	7	6	82	False	False	True	True	True	Biological;Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
otor	o/t/o/r	STAR	1	3	17	2	4	2	8	2	2	40	False	False	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
otoshol	o/t/o/S/o/l	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otshey	o/t/S/e/y	STAR	1	1	1	0	2	0	0	0	4	8	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
otydg	o/t/y/d/g	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otydy	o/t/y/d/y	STAR	1	1	2	0	0	0	1	0	0	4	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
otykchs	o/t/y/k/H/s	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
otys	o/t/y/s	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
oydchy	o/y/d/H/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
shdar	S/d/a/r	STAR	1	1	0	0	0	0	4	1	4	10	False	True	True	False	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
todaraiily	t/o/d/a/r/a/i/i/l/y	STAR	1	1	0	0	0	0	0	0	0	1	True	True	False	False	False		GLOBAL_HAPAX
ykchdy	y/k/H/d/y	STAR	1	1	3	2	0	0	1	0	1	8	False	True	True	True	True	Pharmaceutical	LABEL_REUSED_ACROSS_SECTIONS
ykeodar	y/k/e/o/d/a/r	STAR	1	1	1	0	0	0	0	0	0	2	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
ytchody	y/t/H/o/d/y	STAR	1	1	2	0	0	0	1	0	0	4	False	True	True	True	False		ASTRO_LABEL_BUT_RUNNING_TEXT_ELSEWHERE
