model_id	split	stolfi_coordinate	object_class	panel	stolfi_group	zl3b_locus	absolute_token_position	voynich_token	prediction	matched_object_id	source_form_evidence
M0001	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED		
M0001	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED		
M0001	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED		
M0001	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED		
M0001	HELD_OUT	f68r2.S.19	STAR	f68r2	S	f68r2.25	12486	chol	UNEXPLAINED		
M0001	HELD_OUT	f68r3.X.5	STAR	f68r3	X	f68r3.13	12595	okos	UNEXPLAINED		
M0002	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED		
M0002	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED		
M0002	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED		
M0002	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED		
M0002	HELD_OUT	f68r2.S.19	STAR	f68r2	S	f68r2.25	12486	chol	UNEXPLAINED		
M0002	HELD_OUT	f68r3.X.5	STAR	f68r3	X	f68r3.13	12595	okos	UNEXPLAINED		
M0003	HELD_OUT	f67r2.L.7	PLANET_MOON	f67r2	L	f67r2.15	12057	dolchsody	UNEXPLAINED		
M0003	HELD_OUT	f68r1.S.29	STAR	f68r1	S	f68r1.18	12390	ytchody	UNEXPLAINED		
M0003	HELD_OUT	f68r1.S.3	STAR	f68r1	S	f68r1.36	12411	dolchedy	UNEXPLAINED		
M0003	HELD_OUT	f68r1.S.5	STAR	f68r1	S	f68r1.31	12406	ocphy	UNEXPLAINED		
