inventory	unit	unit_type	segmentation_priority	allowed_mapping_lengths	provenance
SOURCE	kh	TRANSLITERATION_DIGRAPH	1	1;2	FROZEN_ARABIC_LATIN_TRANSLITERATION
SOURCE	gh	TRANSLITERATION_DIGRAPH	1	1;2	FROZEN_ARABIC_LATIN_TRANSLITERATION
SOURCE	sh	TRANSLITERATION_DIGRAPH	1	1;2	FROZEN_ARABIC_LATIN_TRANSLITERATION
SOURCE	th	TRANSLITERATION_DIGRAPH	1	1;2	FROZEN_ARABIC_LATIN_TRANSLITERATION
SOURCE	dh	TRANSLITERATION_DIGRAPH	1	1;2	FROZEN_ARABIC_LATIN_TRANSLITERATION
SOURCE	ch	LATIN_DIGRAPH	1	1;2	FROZEN_MEDIEVAL_LATIN_ORTHOGRAPHY
SOURCE	ph	LATIN_DIGRAPH	1	1;2	FROZEN_MEDIEVAL_LATIN_ORTHOGRAPHY
SOURCE	qu	LATIN_DIGRAPH	1	1;2	FROZEN_MEDIEVAL_LATIN_ORTHOGRAPHY
SOURCE	a	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	b	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	c	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	d	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	e	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	f	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	g	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	h	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	i	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	j	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	k	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	l	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	m	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	n	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	o	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	p	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	q	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	r	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	s	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	t	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	u	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	v	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	w	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	x	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	y	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
SOURCE	z	LATIN_SINGLE	2	1;2	LATIN_ALPHABET
TARGET	cth	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	ckh	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	cph	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	cfh	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	iin	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	ain	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	ch	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	sh	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	ee	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	in	EVA_COMPOSITE	1	NA	ZL3B_FROZEN_COMPOSITE
TARGET	a	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	c	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	d	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	e	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	f	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	g	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	h	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	i	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	j	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	k	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	l	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	m	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	n	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	o	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	p	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	q	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	r	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	s	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	t	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	y	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
TARGET	z	EVA_SINGLE	2	NA	OBSERVED_ASTRONOMICAL_ZL3B
