model_id	label	object_class	page	token	prediction	canonical_object_id	candidate_object_count
M1_001	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_001	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_001	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_001	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_001	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_001	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_002	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_002	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_002	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_002	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_002	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_002	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_003	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_003	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_003	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_003	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_003	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_003	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_004	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_004	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_004	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_004	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_004	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_004	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_005	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_005	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_005	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_005	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_005	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_005	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_006	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_006	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_006	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_006	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_006	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_006	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_007	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_007	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_007	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
M1_007	f68r1.S.5	STAR	f68r1	ocphy	UNEXPLAINED		0
M1_007	f68r2.S.19	STAR	f68r2	chol	UNEXPLAINED		0
M1_007	f68r3.X.5	STAR	f68r3	okos	UNEXPLAINED		0
M1_008	f67r2.L.7	PLANET_MOON	f67r2	dolchsody	UNEXPLAINED		0
M1_008	f68r1.S.29	STAR	f68r1	ytchody	UNEXPLAINED		0
M1_008	f68r1.S.3	STAR	f68r1	dolchedy	UNEXPLAINED		0
