control	replicate	seed	max_score	max_train_coverage	mapping_size	rule
PSEUDODICTIONARY	0	4726490784509799842	0.165000	0.500000	15	HEAD;KEEP;IDENTITY;DELETE_FINAL;NONE
PSEUDODICTIONARY	1	16898127660574164895	0.135000	0.400000	17	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	2	17542124116123658466	0.195000	0.500000	21	DROP_AL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	3	4777295277570546966	0.125000	0.450000	19	HEAD;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	4	6317443292318399817	0.144750	0.400000	17	HEAD;STRIP_LATIN;IDENTITY;KEEP;NONE
PSEUDODICTIONARY	5	1464695811733192339	0.125000	0.450000	21	TAIL;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_4
PSEUDODICTIONARY	6	771914762457877584	0.145000	0.450000	16	FULL_JOIN;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;PREFIX_4
PSEUDODICTIONARY	7	4165070380174297210	0.145000	0.450000	14	HEAD;KEEP;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	8	10751302890032527409	0.135000	0.400000	12	HEAD;KEEP;IDENTITY;DELETE_FINAL;SUSPEND_1
PSEUDODICTIONARY	9	1953545129405008555	0.165000	0.450000	19	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;SUSPEND_2
PSEUDODICTIONARY	10	13525651214364504384	0.130000	0.450000	15	FULL_JOIN;STRIP_LATIN;IJ_UV;COLLAPSE_A;SUSPEND_2
PSEUDODICTIONARY	11	4990680415290361661	0.160000	0.450000	14	HEAD;STRIP_LATIN;VELAR_COLLAPSE;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	12	13722603152824040681	0.160000	0.500000	19	HEAD;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;PREFIX_3
PSEUDODICTIONARY	13	12059091645187938878	0.165000	0.500000	18	TAIL;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	14	17660891906216793086	0.170000	0.450000	18	TAIL;STRIP_LATIN;IDENTITY;CONTRACT_INTERNAL;NONE
PSEUDODICTIONARY	15	8911910365446284764	0.110000	0.400000	18	HEAD;KEEP;IJ_UV;DELETE_FINAL;NONE
PSEUDODICTIONARY	16	6894655689917108723	0.155000	0.450000	17	HEAD;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	17	14701459154309573749	0.150000	0.450000	17	HEAD;KEEP;IDENTITY;KEEP;PREFIX_3
PSEUDODICTIONARY	18	12041015650941672538	0.165000	0.450000	15	HEAD;KEEP;IJ_UV;CONTRACT_INTERNAL;NONE
