corpus_id	representation_id	metric_id	support_id	bin_or_category	value	probability	comparable	reason
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	1	1	0.0395378364652	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	2	2	0.0657948197054	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	3	3	0.096749619096	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	4	4	0.177602844083	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	5	5	0.243169121381	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	6	6	0.191137633316	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	7	7	0.113255459624	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	8	8	0.0472574911122	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	9	9	0.0176739461656	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	10	10	0.00530726256983	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	11	11	0.00159979685119	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	12	12	0.000660233621127	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	13	13	0.000228542407313	true	
VM-ZL3b-x7	VM-CANONICAL	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	14	14	2.53936008126e-05	true	
VM-ZL3b-x7	VM-CANONICAL	T11_POSITIONAL_RESTRICTION_DISTRIBUTION	POSITION_CATEGORY	INITIAL_RESTRICTED	9	0.529411764706	true	
VM-ZL3b-x7	VM-CANONICAL	T11_POSITIONAL_RESTRICTION_DISTRIBUTION	POSITION_CATEGORY	INTERNAL_RESTRICTED	5	0.294117647059	true	
VM-ZL3b-x7	VM-CANONICAL	T11_POSITIONAL_RESTRICTION_DISTRIBUTION	POSITION_CATEGORY	FINAL_RESTRICTED	3	0.176470588235	true	
