corpus_id	representation_id	family	metric_id	regime	checkpoint_requested	checkpoint_actual	replicate	seed	value	comparable
VM-ZL3b-x7	VM-CANONICAL	G	G01_ALPHABET_SIZE		5000	5005	0	2018590453187442023	33	true
VM-ZL3b-x7	VM-CANONICAL	G	G02_INITIAL_RESTRICTION_DENSITY		5000	5005	0	2018590453187442023	0.363636363636	true
VM-ZL3b-x7	VM-CANONICAL	G	G03_FINAL_RESTRICTION_DENSITY		5000	5005	0	2018590453187442023	0.0909090909091	true
VM-ZL3b-x7	VM-CANONICAL	G	G04_BIGRAM_OCCUPANCY		5000	5005	0	2018590453187442023	0.213957759412	true
VM-ZL3b-x7	VM-CANONICAL	G	G05_TRIGRAM_OCCUPANCY		5000	5005	0	2018590453187442023	0.0210646408994	true
VM-ZL3b-x7	VM-CANONICAL	G	G06_SYMBOL_CONDITIONAL_ENTROPY_NORM		5000	5005	0	2018590453187442023	0.418827127341	true
VM-ZL3b-x7	VM-CANONICAL	G	G07_HIGHER_ORDER_ENTROPY_REDUCTION		5000	5005	0	2018590453187442023	0.0529080209868	true
VM-ZL3b-x7	VM-CANONICAL	G	G08_MEAN_SYMBOLS_PER_TOKEN		5000	5005	0	2018590453187442023	4.91888111888	true
VM-ZL3b-x7	VM-CANONICAL	T	T01_MEAN_TOKEN_LENGTH		5000	5005	0	2018590453187442023	4.91888111888	true
VM-ZL3b-x7	VM-CANONICAL	T	T02_TOKEN_LENGTH_SD		5000	5005	0	2018590453187442023	1.83042691309	true
VM-ZL3b-x7	VM-CANONICAL	T	T03_UNIQUE_TOKEN_RATIO		5000	5005	0	2018590453187442023	0.383616383616	true
VM-ZL3b-x7	VM-CANONICAL	T	T04_HAPAX_RATIO		5000	5005	0	2018590453187442023	0.699479166667	true
VM-ZL3b-x7	VM-CANONICAL	T	T05_PREFIX_DIVERSITY		5000	5005	0	2018590453187442023	0.0109375	true
VM-ZL3b-x7	VM-CANONICAL	T	T06_SUFFIX_DIVERSITY		5000	5005	0	2018590453187442023	0.015625	true
VM-ZL3b-x7	VM-CANONICAL	T	T07_EDIT_GRAPH_DENSITY		5000	5005	0	2018590453187442023	0.0026771756123	true
VM-ZL3b-x7	VM-CANONICAL	T	T08_EDIT_GRAPH_GIANT_SHARE		5000	5005	0	2018590453187442023	0.794791666667	true
VM-ZL3b-x7	VM-CANONICAL	T	T09_EDIT_GRAPH_CLUSTERING		5000	5005	0	2018590453187442023	0.32498298375	true
