metric_id	family	regime	value	status	reason
D_LINE_COHERENCE	D			NOT_COMPARABLE	line not observed
D_LINE_EXCLUSIVITY	D			NOT_COMPARABLE	line not observed
D_LINE_PROGRESSION	D			NOT_COMPARABLE	line not observed
D_LINE_VARIANCE_SHARE	D			NOT_COMPARABLE	line not observed
D_LOCUS_COHERENCE	D		0.21780104712	COMPARABLE	
D_LOCUS_EXCLUSIVITY	D		0.78219895288	COMPARABLE	
D_LOCUS_PROGRESSION	D		-0.00233140032476	COMPARABLE	
D_LOCUS_VARIANCE_SHARE	D		0.00220039224763	COMPARABLE	
D_PAGE_COHERENCE	D		0.0681943924131	COMPARABLE	
D_PAGE_EXCLUSIVITY	D		0.712191473448	COMPARABLE	
D_PAGE_PROGRESSION	D		-0.000142497387115	COMPARABLE	
D_PAGE_VARIANCE_SHARE	D		0.00985044317999	COMPARABLE	
D_SECTION_COHERENCE	D		0.110901859608	COMPARABLE	
D_SECTION_EXCLUSIVITY	D		0.793268511593	COMPARABLE	
D_SECTION_PROGRESSION	D		-0.00536882597197	COMPARABLE	
D_SECTION_VARIANCE_SHARE	D		0.00190372364731	COMPARABLE	
G01_ALPHABET_SIZE	G		31	COMPARABLE	
G02_INITIAL_RESTRICTION_DENSITY	G		0.0322580645161	COMPARABLE	
G03_FINAL_RESTRICTION_DENSITY	G		0.129032258065	COMPARABLE	
G04_BIGRAM_OCCUPANCY	G		0.43912591051	COMPARABLE	
G05_TRIGRAM_OCCUPANCY	G		0.0804941089591	COMPARABLE	
G06_SYMBOL_CONDITIONAL_ENTROPY_NORM	G		0.650274844248	COMPARABLE	
G07_HIGHER_ORDER_ENTROPY_REDUCTION	G		0.131728547001	COMPARABLE	
G08_MEAN_SYMBOLS_PER_TOKEN	G		5.56821032825	COMPARABLE	
L01_LINE_TOKEN_COUNT_MEAN	L			NOT_COMPARABLE	physical lines not observed
L02_LINE_SYMBOL_COUNT_MEAN	L			NOT_COMPARABLE	physical lines not observed
L03_BOUNDARY_SPECIALIZATION	L			NOT_COMPARABLE	physical lines not observed
L04_POSITION_PROGRESSION	L			NOT_COMPARABLE	physical lines not observed
L05_LINE_ASYMMETRY	L			NOT_COMPARABLE	physical lines not observed
L06_SAME_LINE_COOCCURRENCE_DENSITY	L			NOT_COMPARABLE	physical lines not observed
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	L			NOT_COMPARABLE	physical lines not observed
S01_TRANSITION_DENSITY	S	FREQ_GE_10	0.032971683595	COMPARABLE	
S01_TRANSITION_DENSITY	S	FREQ_GE_5	0.00958124426241	COMPARABLE	
S01_TRANSITION_DENSITY	S	MATCHED_VOCAB	0.0105588782541	COMPARABLE	
S01_TRANSITION_DENSITY	S	TOP_100	0.0919	COMPARABLE	
S01_TRANSITION_DENSITY	S	TOP_250	0.02928	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	FREQ_GE_10	0.967028316405	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	FREQ_GE_5	0.990418755738	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	MATCHED_VOCAB	0.989441121746	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	TOP_100	0.9081	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	TOP_250	0.97072	COMPARABLE	
