metric_id	family	regime	value	status	reason
D_LINE_COHERENCE	D		0.657915117671	COMPARABLE	
D_LINE_EXCLUSIVITY	D		0.181818181818	COMPARABLE	
D_LINE_PROGRESSION	D		0	COMPARABLE	
D_LINE_VARIANCE_SHARE	D		0	COMPARABLE	
D_LOCUS_COHERENCE	D			NOT_COMPARABLE	locus not observed
D_LOCUS_EXCLUSIVITY	D			NOT_COMPARABLE	locus not observed
D_LOCUS_PROGRESSION	D			NOT_COMPARABLE	locus not observed
D_LOCUS_VARIANCE_SHARE	D			NOT_COMPARABLE	locus not observed
D_PAGE_COHERENCE	D		0.693005240374	COMPARABLE	
D_PAGE_EXCLUSIVITY	D		0.181818181818	COMPARABLE	
D_PAGE_PROGRESSION	D		0	COMPARABLE	
D_PAGE_VARIANCE_SHARE	D		0	COMPARABLE	
D_SECTION_COHERENCE	D		0.772727272727	COMPARABLE	
D_SECTION_EXCLUSIVITY	D		0.227272727273	COMPARABLE	
D_SECTION_PROGRESSION	D		0	COMPARABLE	
D_SECTION_VARIANCE_SHARE	D		0	COMPARABLE	
G01_ALPHABET_SIZE	G		22	COMPARABLE	
G02_INITIAL_RESTRICTION_DENSITY	G		0	COMPARABLE	
G03_FINAL_RESTRICTION_DENSITY	G		0	COMPARABLE	
G04_BIGRAM_OCCUPANCY	G		0	COMPARABLE	
G05_TRIGRAM_OCCUPANCY	G		0	COMPARABLE	
G06_SYMBOL_CONDITIONAL_ENTROPY_NORM	G		0	COMPARABLE	
G07_HIGHER_ORDER_ENTROPY_REDUCTION	G		0	COMPARABLE	
G08_MEAN_SYMBOLS_PER_TOKEN	G		1	COMPARABLE	
L01_LINE_TOKEN_COUNT_MEAN	L		10.5411449016	COMPARABLE	
L02_LINE_SYMBOL_COUNT_MEAN	L		10.5411449016	COMPARABLE	
L03_BOUNDARY_SPECIALIZATION	L		0.318181818182	COMPARABLE	
L04_POSITION_PROGRESSION	L		0	COMPARABLE	
L05_LINE_ASYMMETRY	L		0.31854676742	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY	L	FREQ_GE_10	0.990476190476	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY	L	FREQ_GE_5	0.904411764706	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY	L	MATCHED_VOCAB	0.65367965368	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY	L	TOP_100	0.65367965368	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY	L	TOP_250	0.65367965368	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	L	FREQ_GE_10	0.00952380952381	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	L	FREQ_GE_5	0.0955882352941	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	L	MATCHED_VOCAB	0.34632034632	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	L	TOP_100	0.34632034632	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	L	TOP_250	0.34632034632	COMPARABLE	
S01_TRANSITION_DENSITY	S	FREQ_GE_10	0.702222222222	COMPARABLE	
S01_TRANSITION_DENSITY	S	FREQ_GE_5	0.588235294118	COMPARABLE	
S01_TRANSITION_DENSITY	S	MATCHED_VOCAB	0.371900826446	COMPARABLE	
S01_TRANSITION_DENSITY	S	TOP_100	0.371900826446	COMPARABLE	
S01_TRANSITION_DENSITY	S	TOP_250	0.371900826446	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	FREQ_GE_10	0.297777777778	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	FREQ_GE_5	0.411764705882	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	MATCHED_VOCAB	0.628099173554	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	TOP_100	0.628099173554	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	TOP_250	0.628099173554	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	FREQ_GE_10	0.705656771445	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	FREQ_GE_5	0.676792039871	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	MATCHED_VOCAB	0.621392782472	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	TOP_100	0.621392782472	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	TOP_250	0.621392782472	COMPARABLE	
S04_REPEATED_BIGRAM_TYPES	S		145	COMPARABLE	
S05_REPEATED_TRIGRAM_TYPES	S		493	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	FREQ_GE_10	0.160583941606	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	FREQ_GE_5	0.160583941606	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	MATCHED_VOCAB	0.160583941606	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	TOP_100	0.160583941606	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	TOP_250	0.160583941606	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	FREQ_GE_10	0.401459854015	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	FREQ_GE_5	0.401459854015	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	MATCHED_VOCAB	0.401459854015	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	TOP_100	0.401459854015	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	TOP_250	0.401459854015	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	FREQ_GE_10	0.0916682772697	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	FREQ_GE_5	0.0888098199055	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	MATCHED_VOCAB	0.0817155984812	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	TOP_100	0.0817155984812	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	TOP_250	0.0817155984812	COMPARABLE	
T01_MEAN_TOKEN_LENGTH	T		1	COMPARABLE	
T02_TOKEN_LENGTH_SD	T		0	COMPARABLE	
T03_UNIQUE_TOKEN_RATIO	T		0.00186677980484	COMPARABLE	
T04_HAPAX_RATIO	T		0.181818181818	COMPARABLE	
T05_PREFIX_DIVERSITY	T		1	COMPARABLE	
T06_SUFFIX_DIVERSITY	T		1	COMPARABLE	
T07_EDIT_GRAPH_DENSITY	T		1	COMPARABLE	
T08_EDIT_GRAPH_GIANT_SHARE	T		1	COMPARABLE	
T09_EDIT_GRAPH_CLUSTERING	T		1	COMPARABLE	
T10_EDIT_DEGREE_FREQUENCY_SPEARMAN	T		0	COMPARABLE	
T11_POSITIONAL_RESTRICTION_DENSITY	T		0.333333333333	COMPARABLE	
