corpus_id	representation_id	metric_id	support_id	bin_or_category	value	probability	comparable	reason
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	1	1	0.0083629521221	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	2	2	0.159627848631	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	3	3	0.151003554255	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	4	4	0.111122726322	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	5	5	0.112533974493	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	6	6	0.104014217019	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	7	7	0.0916265941877	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	8	8	0.0820091992473	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	9	9	0.0694125026134	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	10	10	0.0441145724441	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	11	11	0.0329813924315	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	12	12	0.0164645619904	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	13	13	0.0083629521221	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	14	14	0.00486096592097	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	15	15	0.00151578507213	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	16	16	0.00109763746603	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	17	17	0.000627221409157	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	18	18	0.000156805352289	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	19	19	5.22684507631e-05	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	20	20	0	true	
C01	LATIN-EXPANDED	T01_TOKEN_LENGTH_DISTRIBUTION	TOKEN_LENGTH_INTEGER	21	21	5.22684507631e-05	true	
C01	LATIN-EXPANDED	T11_POSITIONAL_RESTRICTION_DISTRIBUTION	POSITION_CATEGORY	INITIAL_RESTRICTED	1	0.111111111111	true	
C01	LATIN-EXPANDED	T11_POSITIONAL_RESTRICTION_DISTRIBUTION	POSITION_CATEGORY	INTERNAL_RESTRICTED	3	0.333333333333	true	
C01	LATIN-EXPANDED	T11_POSITIONAL_RESTRICTION_DISTRIBUTION	POSITION_CATEGORY	FINAL_RESTRICTED	5	0.555555555556	true	
