metric_id	family	vm_value	candidate_value	candidate_ci	distance	comparable	reason_if_not_comparable
D_LINE_COHERENCE	D	0.0082196498828	0.333794469342		488.692672711	COMPARABLE	
D_LINE_EXCLUSIVITY	D	0.690562833576	0.253456221198		60.5890031379	COMPARABLE	
D_LINE_PROGRESSION	D	2.55558901486e-05	0		0.423443934771	COMPARABLE	
D_LINE_VARIANCE_SHARE	D	0.211417265334	0		31.5442911246	COMPARABLE	
D_LOCUS_COHERENCE	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_LOCUS_EXCLUSIVITY	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_LOCUS_PROGRESSION	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_LOCUS_VARIANCE_SHARE	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_PAGE_COHERENCE	D	0	0.33757254631		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_PAGE_EXCLUSIVITY	D	0	0.359447004608		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_PAGE_PROGRESSION	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_PAGE_VARIANCE_SHARE	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_SECTION_COHERENCE	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_SECTION_EXCLUSIVITY	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_SECTION_PROGRESSION	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
D_SECTION_VARIANCE_SHARE	D	0	0		0	NOT_COMPARABLE	candidate or reference metric is not comparable
G01_ALPHABET_SIZE	G	0	44		0	NOT_COMPARABLE	metric absent from pre-frozen scale
G02_INITIAL_RESTRICTION_DENSITY	G	0	0.318181818182		0	NOT_COMPARABLE	metric absent from pre-frozen scale
G03_FINAL_RESTRICTION_DENSITY	G	0	0.681818181818		0	NOT_COMPARABLE	metric absent from pre-frozen scale
G04_BIGRAM_OCCUPANCY	G	0.292438271605	0.11208677686		1.7300681481	COMPARABLE	
G05_TRIGRAM_OCCUPANCY	G	0.0336291152263	0		0.615433287024	COMPARABLE	
G06_SYMBOL_CONDITIONAL_ENTROPY_NORM	G	0.408488256482	0.364677324954		0.517708673552	COMPARABLE	
G07_HIGHER_ORDER_ENTROPY_REDUCTION	G	0.0425021352386	0.364677324954		22.1694888443	COMPARABLE	
G08_MEAN_SYMBOLS_PER_TOKEN	G	4.94629253428	2		51.6168075088	COMPARABLE	
L01_LINE_TOKEN_COUNT_MEAN	L	0	22.3166368515		0	NOT_COMPARABLE	metric absent from pre-frozen scale
L02_LINE_SYMBOL_COUNT_MEAN	L	36.1717734448	44.633273703		18.5298822582	COMPARABLE	
L03_BOUNDARY_SPECIALIZATION	L	0.688622028142	0.552995391705		38.8093273357	COMPARABLE	
L04_POSITION_PROGRESSION	L	-0.0749907618179	0		5.19954302251	COMPARABLE	
L05_LINE_ASYMMETRY	L	0	0.23012172651		0	NOT_COMPARABLE	metric absent from pre-frozen scale
L06_SAME_LINE_COOCCURRENCE_DENSITY[FREQ_GE_10]	L	0.230606441806	0.725857353251		3.10986840231	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY[FREQ_GE_5]	L	0.102101048542	0.624373710581		11.3753167514	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY[MATCHED_VOCAB]	L	0.230606441806	0.27756443079		32.997579396	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY[TOP_100]	L	0.90404040404	0.717575757576		10.5517791694	COMPARABLE	
L06_SAME_LINE_COOCCURRENCE_DENSITY[TOP_250]	L	0.533526104418	0.27756443079		50.6937525081	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY[FREQ_GE_10]	L	0.769393558194	0.274142646749		3.10986840231	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY[FREQ_GE_5]	L	0.897898951458	0.375626289419		11.3753167514	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY[MATCHED_VOCAB]	L	0.769393558194	0.72243556921		32.997579396	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY[TOP_100]	L	0.0959595959596	0.282424242424		10.5517791694	COMPARABLE	
L07_SAME_LINE_NONCOOCCURRENCE_DENSITY[TOP_250]	L	0.466473895582	0.72243556921		50.6937525081	COMPARABLE	
S01_TRANSITION_DENSITY[FREQ_GE_10]	S	0.0395410207025	0.291128696377		5.11068631378	COMPARABLE	
S01_TRANSITION_DENSITY[FREQ_GE_5]	S	0.0152768495829	0.21732778143		16.9364195613	COMPARABLE	
S01_TRANSITION_DENSITY[MATCHED_VOCAB]	S	0.0395410207025	0.0687846418484		113.810294244	COMPARABLE	
S01_TRANSITION_DENSITY[TOP_100]	S	0.3424	0.282		11.9821299625	COMPARABLE	
S01_TRANSITION_DENSITY[TOP_250]	S	0.122704	0.0687846418484		49.956193448	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY[FREQ_GE_10]	S	0.960458979298	0.708871303623		5.11068631378	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY[FREQ_GE_5]	S	0.984723150417	0.78267221857		16.9364195613	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY[MATCHED_VOCAB]	S	0.960458979298	0.931215358152		113.810294244	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY[TOP_100]	S	0.6576	0.718		11.9821299625	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY[TOP_250]	S	0.877296	0.931215358152		49.956193448	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM[FREQ_GE_10]	S	0.724278863225	0.796467731588		2.23583816885	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM[FREQ_GE_5]	S	0.681540227662	0.77223949768		4.84196355734	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM[MATCHED_VOCAB]	S	0.724278863225	0.690023713885		4.29375749677	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM[TOP_100]	S	0.842325079264	0.793723738399		3.13154328796	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM[TOP_250]	S	0.782231816615	0.690023713885		7.9226199012	COMPARABLE	
S04_REPEATED_BIGRAM_TYPES	S	0	1734		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S05_REPEATED_TRIGRAM_TYPES	S	0	1864		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S06_PREFERRED_TRANSITION_FRACTION[FREQ_GE_10]	S	0	0.133226324238		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S06_PREFERRED_TRANSITION_FRACTION[FREQ_GE_5]	S	0	0.136655948553		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S06_PREFERRED_TRANSITION_FRACTION[MATCHED_VOCAB]	S	0	0.135313531353		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S06_PREFERRED_TRANSITION_FRACTION[TOP_100]	S	0	0.133440514469		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S06_PREFERRED_TRANSITION_FRACTION[TOP_250]	S	0	0.135313531353		0	NOT_COMPARABLE	metric absent from pre-frozen scale
S07_DEPLETED_TRANSITION_FRACTION[FREQ_GE_10]	S	0	0.428571428571		0	NOT_COMPARABLE	metric absent from pre-frozen scale
