glyph	digit	base	policy
a	0	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
b	1	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
c	2	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
d	3	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
e	4	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
f	5	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
g	6	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
h	7	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
i	8	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
j	9	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
k	10	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
l	11	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
m	12	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
n	13	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
o	14	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
p	15	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
q	16	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
r	17	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
s	18	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
t	19	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
u	20	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
v	21	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
x	22	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
y	23	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
z	24	25	ASCII byte ascending over admitted lowercase a-z symbols actually observed
