corpus	control	replicate	seed	baseline_score	optimized_score	sequential	difference	document	edit_consistency
ZL3b	OBSERVED	0	20260829	0.323774191	0.323774191	0.202162242	0.679961542	0.0891987895	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	1	20360829	0.318074773	0.318074773	0.184701172	0.687872063	0.0816510837	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	2	20360830	0.316425756	0.316425756	0.182471287	0.687133296	0.0796726836	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	3	20360831	0.317169597	0.318448685	0.186036754	0.688646391	0.0806629112	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	4	20360832	0.316149503	0.316149503	0.180002958	0.687742386	0.080703164	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	5	20360833	0.315986624	0.315986624	0.180060692	0.687559556	0.0803396252	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	6	20360834	0.316803952	0.316803952	0.182741921	0.68723516	0.0804347761	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	7	20360835	0.317637782	0.317637782	0.18551784	0.686473785	0.080921722	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	8	20360836	0.317528585	0.317528585	0.185627817	0.687136894	0.0798210429	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	9	20360837	0.316202369	0.316202369	0.181198484	0.687623786	0.0797848378	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	10	20360838	0.317687332	0.317687332	0.184169086	0.688716238	0.0801766717	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	11	20360839	0.316841939	0.316841939	0.183108716	0.686761396	0.0806557032	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	12	20360840	0.316909305	0.316909305	0.183774982	0.68635629	0.080596644	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	13	20360841	0.317036793	0.317036793	0.183366336	0.687181669	0.0805623741	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	14	20360842	0.316498989	0.316584922	0.182703448	0.687320615	0.0797307018	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	15	20360843	0.317461235	0.317461235	0.183184454	0.688075111	0.0811241404	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	16	20360844	0.317905104	0.319487791	0.189756865	0.68871177	0.0799947375	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	17	20360845	0.317121429	0.317121429	0.182583248	0.687590049	0.0811909887	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	18	20360846	0.317026673	0.317380443	0.181909032	0.688538091	0.0816942041	1
