corpus	control	replicate	seed	mapping_kind	score	zero_glyph	leading_zero_tokens	leading_zero_fraction	colliding_token_types	collision_classes	collision_fraction	mapping
ZL3b	OBSERVED	0	20260829	OPTIMIZED	0.323774191	a	2179	0.0555796455	284	142	0.034812454	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	1	20360829	OPTIMIZED	0.318074773	a	3332	0.0849891595	486	240	0.0206203063	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	2	20360830	OPTIMIZED	0.316425756	a	3253	0.0829741104	506	249	0.0215245874	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	3	20360831	OPTIMIZED	0.318448685	a	3175	0.0809845683	475	235	0.0201024165	a=0;b=8;c=3;d=12;e=5;f=11;g=6;h=4;i=10;j=17;k=1;l=20;m=19;n=2;o=7;p=21;q=23;r=24;s=18;t=13;u=14;v=15;x=16;y=9;z=22
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	4	20360832	OPTIMIZED	0.316149503	a	3256	0.0830506313	468	232	0.0198793645	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	5	20360833	OPTIMIZED	0.315986624	a	3165	0.0807294988	459	227	0.0194302163	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	6	20360834	OPTIMIZED	0.316803952	a	3172	0.0809080474	451	224	0.0191085501	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	7	20360835	OPTIMIZED	0.317637782	a	3123	0.0796582069	425	211	0.0180245133	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	8	20360836	OPTIMIZED	0.317528585	a	3223	0.0822089019	465	230	0.0197360044	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	9	20360837	OPTIMIZED	0.316202369	a	3233	0.0824639714	463	230	0.0196828636	a=0;b=1;c=2;d=3;e=4;f=5;g=6;h=7;i=8;j=9;k=10;l=11;m=12;n=13;o=14;p=15;q=16;r=17;s=18;t=19;u=20;v=21;x=22;y=23;z=24
