corpus	mapping	metric	observed	null_mean	null_median	null_ci_2_5	null_ci_97_5	standardized_effect	empirical_p	bh_fdr_q	status
ZL3b	BASELINE	COLLISION_FRACTION	0.034812454	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	EDIT_SUBSTITUTION_CONSISTENCY	1	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	LEADING_ZERO_FRACTION	0.0555796455	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N1_ADJACENT_LENGTH_DIFF_MEAN	1.79721541	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N1_LENGTH_MEAN	4.95503125	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N1_LOG_B_N_PLUS_1_MEAN	4.59649928	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N1_POSITION_LENGTH_RHO	-0.116892159	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N2_ABS_DELTA_MEAN	5.13060883e+14	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N2_DELTA_ENTROPY	7.29825757	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N2_NORMALIZED_DELTA_MEAN	0.834131582	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N2_REPEATED_DELTA_FRACTION	0.970321322	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N2_SIGNED_DELTA_MEAN	-8.70495728e+13	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N3_DECREASING_FRACTION	0.0438991445	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N3_INCREASING_FRACTION	0.029716344	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N3_LONGEST_MONOTONIC_RUN	8	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N3_POSITION_VALUE_RHO	-0.136200058	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N4_LAG1_RHO	0.202162242	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N4_LAG2_RHO	0.0782806479	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N4_LAG3_RHO	0.0666409279	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N4_LAG4_RHO	0.0610258322	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N4_LAG5_RHO	0.0607464332	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N5_AP_CLOSENESS	0.389601762	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	N6_RATIO_REPEAT	0.821153846	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	BASELINE	NUMERIC_REGULARITY_SCORE	0.323774191	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	COLLISION_FRACTION	0.034812454	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	EDIT_SUBSTITUTION_CONSISTENCY	1	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	LEADING_ZERO_FRACTION	0.0555796455	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N1_ADJACENT_LENGTH_DIFF_MEAN	1.79721541	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N1_LENGTH_MEAN	4.95503125	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N1_LOG_B_N_PLUS_1_MEAN	4.59649928	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED	N1_POSITION_LENGTH_RHO	-0.116892159	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
