# notation-positional-analyze-v1	input=data_work/ZL3b-x7.canonical.txt	sha256=f46f4190af65b85d145ec5bb957c1f56029b567e4bef12ac7baa1797f358d692	seed=20260824	repetitions=1000	alternative=greater	fdr=Benjamini-Hochberg
channel_id	observations	adjacent_pairs	entropy_bits	adjacent_nmi	null_mean	null_sd	empirical_p	bh_q
line_first_glyph	5385	5384	3.321986399	0.046659672	0.022125786	0.001316617	0.000999001	0.000999001
line_last_glyph	5385	5384	2.899891012	0.032154270	0.023897211	0.001340575	0.000999001	0.000999001
token_first_glyph	39380	33995	3.511648499	0.032842342	0.013582624	0.000443616	0.000999001	0.000999001
token_last_glyph	39380	33995	2.786162773	0.023153287	0.012773237	0.000475229	0.000999001	0.000999001
token_glyph_position_2	37643	32329	3.626572520	0.025405835	0.012564164	0.000394195	0.000999001	0.000999001
token_glyph_position_3	33292	27991	3.973376732	0.021091953	0.013656270	0.000419541	0.000999001	0.000999001
token_ordinal_2_first_glyph	4442	4441	3.371564683	0.035545145	0.024186126	0.001345215	0.000999001	0.000999001
token_ordinal_3_first_glyph	4223	4222	3.398775305	0.032225735	0.024383448	0.001303390	0.000999001	0.000999001
even_token_ordinal_first_glyph	18167	13725	3.438503109	0.024707830	0.020568859	0.000723553	0.000999001	0.000999001
line_first_token	5385	5384	10.296400852	0.800880209	0.799398031	0.000366550	0.000999001	0.000999001
line_last_token	5385	5384	10.195848992	0.789184376	0.787859562	0.000371236	0.000999001	0.000999001
