full_mechanism	ablation	control_mechanism	delta_symbol_entropy	delta_information_retained_proxy	delta_r0_recovery	delta_knowledge_dependence	interpretation
f01_speculum_core	no_rotation	synthetic_literal_storage	0.299375	0.000000	0.000000	-0.031659	descriptive paired-family contrast; controls may be shared
f01_speculum_core	no_convention	negative_randomized_convention	0.040208	0.000000	1.000000	0.999698	descriptive paired-family contrast; controls may be shared
f01_speculum_profile_latin23_r12	no_rotation	synthetic_literal_storage	0.250258	0.000000	0.000000	-0.031357	descriptive paired-family contrast; controls may be shared
f01_speculum_profile_latin23_r12	no_convention	negative_randomized_convention	-0.008909	0.000000	1.000000	1.000000	descriptive paired-family contrast; controls may be shared
f08_serpens_core	no_path	negative_randomized_path	0.000000	0.000000	0.833333	0.833333	descriptive paired-family contrast; controls may be shared
f08_serpens_core	no_state_persistence	synthetic_literal_storage	0.000000	0.000000	0.000000	0.000000	descriptive paired-family contrast; controls may be shared
f11_arismetricum_core	no_index	synthetic_cue_based	2.000000	3.000000	0.000000	0.000000	descriptive paired-family contrast; controls may be shared
f11_arismetricum_core	randomized_index	negative_randomized_index_mapping	0.000000	0.000000	1.000000	1.000000	descriptive paired-family contrast; controls may be shared
f12_horalogius_core	no_association	synthetic_cyclic_state	0.000000	0.000000	1.000000	1.000000	descriptive paired-family contrast; controls may be shared
f12_horalogius_core	randomized_association	negative_randomized_cue_association	0.000000	0.000000	1.000000	1.000000	descriptive paired-family contrast; controls may be shared
m_restricted_rotation_index	no_rotation	synthetic_indexed_lookup	0.000000	0.000000	0.000000	0.000000	descriptive paired-family contrast; controls may be shared
m_restricted_storage_associate	no_association	synthetic_literal_storage	-0.921928	-4.000000	0.000000	0.010310	descriptive paired-family contrast; controls may be shared
synthetic_ambiguous	no_association	synthetic_literal_storage	-0.921928	-4.000000	0.000000	0.010310	descriptive paired-family contrast; controls may be shared
