mechanism_id	carrier	declared	empirical_status	positive_removals	applicable_removals
f01_speculum_core	C	true	REDUNDANT	0	6
f01_speculum_core	K	true	NECESSARY	6	6
f01_speculum_core	G	false	NOT_APPLICABLE	0	0
f01_speculum_core	H	false	NOT_APPLICABLE	0	0
f01_speculum_core	I	false	NOT_APPLICABLE	0	0
f01_speculum_profile_latin23_r12	C	true	REDUNDANT	0	6
f01_speculum_profile_latin23_r12	K	true	NECESSARY	6	6
f01_speculum_profile_latin23_r12	G	false	NOT_APPLICABLE	0	0
f01_speculum_profile_latin23_r12	H	false	NOT_APPLICABLE	0	0
f01_speculum_profile_latin23_r12	I	false	NOT_APPLICABLE	0	0
f08_serpens_core	C	true	REDUNDANT	0	6
f08_serpens_core	K	true	NECESSARY	6	6
f08_serpens_core	G	true	NECESSARY	6	6
f08_serpens_core	H	false	NOT_APPLICABLE	0	0
f08_serpens_core	I	false	NOT_APPLICABLE	0	0
f11_arismetricum_core	C	true	NECESSARY	6	6
f11_arismetricum_core	K	true	NECESSARY	6	6
f11_arismetricum_core	G	false	NOT_APPLICABLE	0	0
f11_arismetricum_core	H	false	NOT_APPLICABLE	0	0
f11_arismetricum_core	I	false	NOT_APPLICABLE	0	0
f12_horalogius_core	C	true	NECESSARY	6	6
f12_horalogius_core	K	false	NOT_APPLICABLE	0	0
f12_horalogius_core	G	false	NOT_APPLICABLE	0	0
f12_horalogius_core	H	false	NOT_APPLICABLE	0	0
f12_horalogius_core	I	true	NECESSARY	6	6
m_restricted_rotation_index	C	true	NECESSARY	6	6
m_restricted_rotation_index	K	true	NECESSARY	6	6
m_restricted_rotation_index	G	false	NOT_APPLICABLE	0	0
m_restricted_rotation_index	H	false	NOT_APPLICABLE	0	0
m_restricted_rotation_index	I	false	NOT_APPLICABLE	0	0
m_restricted_storage_associate	C	true	NECESSARY	6	6
m_restricted_storage_associate	K	false	NOT_APPLICABLE	0	0
m_restricted_storage_associate	G	false	NOT_APPLICABLE	0	0
m_restricted_storage_associate	H	false	NOT_APPLICABLE	0	0
m_restricted_storage_associate	I	true	NECESSARY	6	6
negative_randomized_convention	C	false	NOT_APPLICABLE	0	0
negative_randomized_convention	K	true	REDUNDANT	0	6
negative_randomized_convention	G	false	NOT_APPLICABLE	0	0
negative_randomized_convention	H	false	NOT_APPLICABLE	0	0
negative_randomized_convention	I	false	NOT_APPLICABLE	0	0
negative_randomized_cue_association	C	false	NOT_APPLICABLE	0	0
negative_randomized_cue_association	K	false	NOT_APPLICABLE	0	0
negative_randomized_cue_association	G	false	NOT_APPLICABLE	0	0
negative_randomized_cue_association	H	false	NOT_APPLICABLE	0	0
negative_randomized_cue_association	I	true	REDUNDANT	0	6
negative_randomized_index_mapping	C	false	NOT_APPLICABLE	0	0
negative_randomized_index_mapping	K	true	REDUNDANT	0	6
negative_randomized_index_mapping	G	false	NOT_APPLICABLE	0	0
negative_randomized_index_mapping	H	false	NOT_APPLICABLE	0	0
negative_randomized_index_mapping	I	false	NOT_APPLICABLE	0	0
negative_randomized_path	C	false	NOT_APPLICABLE	0	0
negative_randomized_path	K	true	NECESSARY	6	6
negative_randomized_path	G	true	REDUNDANT	0	6
negative_randomized_path	H	false	NOT_APPLICABLE	0	0
negative_randomized_path	I	false	NOT_APPLICABLE	0	0
synthetic_ambiguous	C	true	NECESSARY	6	6
synthetic_ambiguous	K	false	NOT_APPLICABLE	0	0
synthetic_ambiguous	G	false	NOT_APPLICABLE	0	0
synthetic_ambiguous	H	false	NOT_APPLICABLE	0	0
synthetic_ambiguous	I	true	NECESSARY	6	6
synthetic_cue_based	C	true	NECESSARY	6	6
synthetic_cue_based	K	false	NOT_APPLICABLE	0	0
synthetic_cue_based	G	false	NOT_APPLICABLE	0	0
synthetic_cue_based	H	false	NOT_APPLICABLE	0	0
synthetic_cue_based	I	true	NECESSARY	6	6
synthetic_cyclic_state	C	false	NOT_APPLICABLE	0	0
synthetic_cyclic_state	K	false	NOT_APPLICABLE	0	0
synthetic_cyclic_state	G	false	NOT_APPLICABLE	0	0
synthetic_cyclic_state	H	false	NOT_APPLICABLE	0	0
synthetic_cyclic_state	I	false	NOT_APPLICABLE	0	0
synthetic_indexed_lookup	C	true	NECESSARY	6	6
synthetic_indexed_lookup	K	true	NECESSARY	6	6
synthetic_indexed_lookup	G	false	NOT_APPLICABLE	0	0
synthetic_indexed_lookup	H	false	NOT_APPLICABLE	0	0
synthetic_indexed_lookup	I	false	NOT_APPLICABLE	0	0
synthetic_literal_storage	C	false	NOT_APPLICABLE	0	0
synthetic_literal_storage	K	true	NECESSARY	6	6
synthetic_literal_storage	G	true	NECESSARY	6	6
synthetic_literal_storage	H	false	NOT_APPLICABLE	0	0
synthetic_literal_storage	I	false	NOT_APPLICABLE	0	0
