mechanism_id	parameter_set_id	distinct_corpus_outputs	input_dependence	max_replicate_recovery_dispersion	max_replicate_entropy_dispersion	replicate_stability	between_corpus_recovery_variance	between_replicate_recovery_variance
f01_speculum_core	f01-core-bounded	6	INPUT_SENSITIVE	0.000000	0.562907	UNSTABLE	0.000000	0.000000
f01_speculum_profile_latin23_r12	f01-profile-latin23-r12	6	INPUT_SENSITIVE	0.000000	0.229574	UNSTABLE	0.000000	0.000000
f08_serpens_core	f08-centre-edge-small	3	INPUT_SENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
f11_arismetricum_core	f11-core-default	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
f12_horalogius_core	f12-cycle-default	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
m_restricted_rotation_index	rotation-index-small	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
m_restricted_storage_associate	storage-associate-small	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
negative_randomized_convention	f01-core-bounded	6	INPUT_SENSITIVE	0.000000	0.166667	UNSTABLE	0.000000	0.000000
negative_randomized_cue_association	f12-cycle-default	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
negative_randomized_index_mapping	f11-core-default	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
negative_randomized_path	f08-centre-edge-small	3	INPUT_SENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
synthetic_ambiguous	storage-associate-small	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
synthetic_cue_based	f12-cycle-default	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
synthetic_cyclic_state	f12-cycle-default	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
synthetic_indexed_lookup	f11-core-default	1	INPUT_INSENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
synthetic_literal_storage	f08-centre-edge-small	3	INPUT_SENSITIVE	0.000000	0.000000	STABLE	0.000000	0.000000
