mechanism_id	version	family	historical_status	parameters	mean_symbol_entropy	mean_information_retained_proxy	r0_exact_rate	r0_mean_recovery	r6_mean_recovery	observable_only_ambiguity_rate	EM_class	input_dependence	replicate_stability	warnings
f01_speculum_core	v1	F01_LITERAL_ROTATIONAL_STORAGE	F-EXACT	f01-core-bounded	3.221303	8.000000	1.000000	1.000000	0.041969	1.000000	EM3	INPUT_SENSITIVE	UNSTABLE	condition-specific seed limits KD pairing
f01_speculum_profile_latin23_r12	v1	F01_LITERAL_ROTATIONAL_STORAGE	F-PROFILE	f01-profile-latin23-r12	3.172187	8.000000	1.000000	1.000000	0.041667	1.000000	EM3	INPUT_SENSITIVE	UNSTABLE	condition-specific seed limits KD pairing
f08_serpens_core	v1	F08_ORDERED_POSITIONAL_STORAGE	F-EXACT	f08-centre-edge-small	2.921928	8.000000	1.000000	1.000000	0.010310	1.000000	EM3	INPUT_SENSITIVE	STABLE	NA
f11_arismetricum_core	v1	F11_INDEXED_OPAQUE_CUE	F-EXACT	f11-core-default	2.000000	4.000000	1.000000	1.000000	0.000000	0.000000	EM2	INPUT_INSENSITIVE	STABLE	NA
f12_horalogius_core	v1	F12_TEMPORAL_ASSOCIATIVE_CUE	F-EXACT	f12-cycle-default	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	EM2	INPUT_INSENSITIVE	STABLE	NA
m_restricted_rotation_index	v1	M_RESTRICTED_ROTATION_INDEX	M-RESTRICTED	rotation-index-small	2.000000	4.000000	1.000000	1.000000	0.000000	0.000000	EM2	INPUT_INSENSITIVE	STABLE	NA
m_restricted_storage_associate	v1.1	M_RESTRICTED_STORAGE_ASSOCIATION	M-RESTRICTED	storage-associate-small	2.000000	4.000000	1.000000	1.000000	0.000000	0.000000	EM2	INPUT_INSENSITIVE	STABLE	NA
negative_randomized_convention	v1	NEGATIVE_RANDOMIZED_CONVENTION	GENERIC_CONTROL	f01-core-bounded	3.181096	8.000000	0.000000	0.000000	0.041667	1.000000	EM4	INPUT_SENSITIVE	UNSTABLE	NA
negative_randomized_cue_association	v1	NEGATIVE_RANDOMIZED_CUE_ASSOCIATION	GENERIC_CONTROL	f12-cycle-default	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	EM4	INPUT_INSENSITIVE	STABLE	NA
negative_randomized_index_mapping	v1	NEGATIVE_RANDOMIZED_INDEX_MAPPING	GENERIC_CONTROL	f11-core-default	2.000000	4.000000	0.000000	0.000000	0.000000	0.000000	EM4	INPUT_INSENSITIVE	STABLE	NA
negative_randomized_path	v1	NEGATIVE_RANDOMIZED_PATH	GENERIC_CONTROL	f08-centre-edge-small	2.921928	8.000000	0.000000	0.166667	0.010310	1.000000	EM3	INPUT_SENSITIVE	STABLE	NA
synthetic_ambiguous	v1.1	GENERIC_AMBIGUOUS	GENERIC_CONTROL	storage-associate-small	2.000000	4.000000	1.000000	1.000000	0.000000	0.000000	EM2	INPUT_INSENSITIVE	STABLE	NA
synthetic_cue_based	v1	GENERIC_CUE_BASED	GENERIC_CONTROL	f12-cycle-default	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	EM2	INPUT_INSENSITIVE	STABLE	NA
synthetic_cyclic_state	v1	GENERIC_CYCLIC_STATE	GENERIC_CONTROL	f12-cycle-default	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	EM4	INPUT_INSENSITIVE	STABLE	NA
synthetic_indexed_lookup	v1	GENERIC_INDEXED_LOOKUP	GENERIC_CONTROL	f11-core-default	2.000000	4.000000	1.000000	1.000000	0.000000	0.000000	EM2	INPUT_INSENSITIVE	STABLE	NA
synthetic_literal_storage	v1	GENERIC_LITERAL_STORAGE	GENERIC_CONTROL	f08-centre-edge-small	2.921928	8.000000	1.000000	1.000000	0.010310	1.000000	EM3	INPUT_SENSITIVE	STABLE	NA
