mechanism_id	parameter_set_count	observable_entropy_range	r0_recovery_range	kd_range	interpretation
f01_speculum_core	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
f01_speculum_profile_latin23_r12	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
f08_serpens_core	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
f11_arismetricum_core	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
f12_horalogius_core	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
m_restricted_rotation_index	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
m_restricted_storage_associate	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
negative_randomized_convention	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
negative_randomized_cue_association	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
negative_randomized_index_mapping	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
negative_randomized_path	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
synthetic_ambiguous	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
synthetic_cue_based	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
synthetic_cyclic_state	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
synthetic_indexed_lookup	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
synthetic_literal_storage	1	0.000000	0.000000	0.000000	single frozen point; sensitivity not identifiable
