mechanism_id	scaling_policy_id	corpus_scale	replicate	distinct_corpus_outputs	input_dependence
f01_speculum_core	LITERAL_RESET_V1	LARGE	0	3	INPUT_SENSITIVE
f01_speculum_core	LITERAL_RESET_V1	LARGE	1	3	INPUT_SENSITIVE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	0	3	INPUT_SENSITIVE
f01_speculum_core	LITERAL_RESET_V1	MEDIUM	1	3	INPUT_SENSITIVE
f01_speculum_core	LITERAL_RESET_V1	SMALL	0	3	INPUT_SENSITIVE
f01_speculum_core	LITERAL_RESET_V1	SMALL	1	3	INPUT_SENSITIVE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	0	3	INPUT_SENSITIVE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	LARGE	1	3	INPUT_SENSITIVE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	0	3	INPUT_SENSITIVE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	MEDIUM	1	3	INPUT_SENSITIVE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	0	3	INPUT_SENSITIVE
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	SMALL	1	3	INPUT_SENSITIVE
f08_serpens_core	LITERAL_RESET_V1	LARGE	0	3	INPUT_SENSITIVE
f08_serpens_core	LITERAL_RESET_V1	LARGE	1	3	INPUT_SENSITIVE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	0	3	INPUT_SENSITIVE
f08_serpens_core	LITERAL_RESET_V1	MEDIUM	1	3	INPUT_SENSITIVE
f08_serpens_core	LITERAL_RESET_V1	SMALL	0	3	INPUT_SENSITIVE
f08_serpens_core	LITERAL_RESET_V1	SMALL	1	3	INPUT_SENSITIVE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
f11_arismetricum_core	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
f12_horalogius_core	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
negative_randomized_convention	LITERAL_RESET_V1	LARGE	0	3	INPUT_SENSITIVE
negative_randomized_convention	LITERAL_RESET_V1	LARGE	1	3	INPUT_SENSITIVE
negative_randomized_convention	LITERAL_RESET_V1	MEDIUM	0	3	INPUT_SENSITIVE
negative_randomized_convention	LITERAL_RESET_V1	MEDIUM	1	3	INPUT_SENSITIVE
negative_randomized_convention	LITERAL_RESET_V1	SMALL	0	3	INPUT_SENSITIVE
negative_randomized_convention	LITERAL_RESET_V1	SMALL	1	3	INPUT_SENSITIVE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
negative_randomized_path	LITERAL_RESET_V1	LARGE	0	3	INPUT_SENSITIVE
negative_randomized_path	LITERAL_RESET_V1	LARGE	1	3	INPUT_SENSITIVE
negative_randomized_path	LITERAL_RESET_V1	MEDIUM	0	3	INPUT_SENSITIVE
negative_randomized_path	LITERAL_RESET_V1	MEDIUM	1	3	INPUT_SENSITIVE
negative_randomized_path	LITERAL_RESET_V1	SMALL	0	3	INPUT_SENSITIVE
negative_randomized_path	LITERAL_RESET_V1	SMALL	1	3	INPUT_SENSITIVE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	SMALL	0	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	SMALL	1	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	LARGE	0	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	LARGE	1	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	MEDIUM	1	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	SMALL	0	1	INPUT_INSENSITIVE
synthetic_ambiguous	CUE_RESET_LOCAL_V1	SMALL	1	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_GLOBAL_V1	LARGE	0	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_GLOBAL_V1	LARGE	1	1	INPUT_INSENSITIVE
synthetic_cue_based	CUE_RESET_GLOBAL_V1	MEDIUM	0	1	INPUT_INSENSITIVE
