mechanism_id	core_families_available	core_family_coverage_ratio	artifact_valid	eligibility
f01_speculum_core	EF	0.142857	true	PARTIALLY_COMPARABLE
f01_speculum_profile_latin23_r12	EF	0.142857	true	PARTIALLY_COMPARABLE
f08_serpens_core	EF	0.142857	true	PARTIALLY_COMPARABLE
f11_arismetricum_core	EF	0.142857	true	PARTIALLY_COMPARABLE
f12_horalogius_core	EF	0.142857	true	PARTIALLY_COMPARABLE
m_restricted_rotation_index	EF	0.142857	true	PARTIALLY_COMPARABLE
m_restricted_storage_associate	EF	0.142857	true	PARTIALLY_COMPARABLE
negative_randomized_convention	EF	0.142857	true	PARTIALLY_COMPARABLE
negative_randomized_cue_association	EF	0.142857	true	PARTIALLY_COMPARABLE
negative_randomized_index_mapping	EF	0.142857	true	PARTIALLY_COMPARABLE
negative_randomized_path	EF	0.142857	true	PARTIALLY_COMPARABLE
synthetic_ambiguous	EF	0.142857	true	PARTIALLY_COMPARABLE
synthetic_cue_based	EF	0.142857	true	PARTIALLY_COMPARABLE
synthetic_cyclic_state	EF	0.142857	true	PARTIALLY_COMPARABLE
synthetic_indexed_lookup	EF	0.142857	true	PARTIALLY_COMPARABLE
synthetic_literal_storage	EF	0.142857	true	PARTIALLY_COMPARABLE
