corpus	operator_id	metric_id	classification	f2_before	before_available	f2_after	after_available	chosen_count	candidate_pool	degenerate
Doyle	FIRST_GLYPH_OF_TOKEN	EF1_GIANT_COMPONENT_SHARE	CORE	0.273881	true	1	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	EF2_GLOBAL_CLUSTERING	CORE	0.366911	true	1	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.293276	true	0	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	2DL1_LAYOUT_POSITION_MI	CORE	0.00226203	true	0	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	BP1_BOUNDARY_TOKEN_NMI	CORE	0.0316263	true	0.00118512	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	LS2_POSITIONAL_LEXICON_NMI	CORE	0.052295	true	0.00158247	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0.329156	true	0	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	EF1_ISOLATE_SHARE	SUPPORTING	0.494776	true	0	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.627118	true	0	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.45962	true	0	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.405723	true	0	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	cs2/prev-family-current-family	SUPPORTING		false		false	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	LS1_LINE_LENGTH_CV	SUPPORTING	0.288925	true	0.288925	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0.000574383	true	0.0666783	true	43713	178056	false
Doyle	FIRST_GLYPH_OF_TOKEN	cs1/family-line-position	SUPPORTING		false		false	43713	178056	false
