branch	scope	variant_or_operator	length_ratio	type_token_ratio_before	type_token_ratio_after	entropy_before	entropy_after	retained_information_fraction
EXTRACTION	Doyle	FIRST_GLYPH_OF_TOKEN	1	0.122618	0.000709171	9.17334	4.08803	0.445643
EXTRACTION	Doyle	LAST_GLYPH_OF_TOKEN	1	0.122618	0.000754924	9.17334	3.77778	0.411822
EXTRACTION	Doyle	FIRST_TOKEN_OF_LINE	0.0839567	0.122618	0.373569	9.17334	8.97576	0.978462
EXTRACTION	Doyle	LAST_TOKEN_OF_LINE	0.0839567	0.122618	0.341417	9.17334	8.7497	0.953818
EXTRACTION	Doyle	FIRST_GLYPH_OF_LINE	0.0839567	0.122618	0.00681199	9.17334	4.14224	0.451552
EXTRACTION	Doyle	LAST_GLYPH_OF_LINE	0.0839567	0.122618	0.00626703	9.17334	3.73917	0.407612
EXTRACTION	Doyle	NTH_GLYPH_OF_TOKEN_2	0.940315	0.122618	0.000754185	9.17334	3.65802	0.398767
EXTRACTION	Doyle	NTH_GLYPH_OF_TOKEN_3	0.752087	0.122618	0.00103419	9.17334	4.04632	0.441096
EXTRACTION	Doyle	NTH_TOKEN_OF_LINE_2	0.0821495	0.122618	0.303258	9.17334	8.37263	0.912714
EXTRACTION	Doyle	NTH_TOKEN_OF_LINE_3	0.0808684	0.122618	0.312306	9.17334	8.50412	0.927048
EXTRACTION	Doyle	PERIODIC_TOKEN_2	0.500011	0.122618	0.167864	9.17334	9.08287	0.990138
EXTRACTION	Doyle	PERIODIC_TOKEN_3	0.333333	0.122618	0.194016	9.17334	8.96614	0.977413
EXTRACTION	Doyle	PERIODIC_TOKEN_5	0.200009	0.122618	0.239963	9.17334	8.85834	0.965661
EXTRACTION	Doyle	PERIODIC_TOKEN_7	0.142864	0.122618	0.267894	9.17334	8.70223	0.948644
EXTRACTION	Doyle	PERIODIC_GLYPH_2	2.03665	0.122618	0.000381902	9.17334	4.1794	0.455603
EXTRACTION	Doyle	PERIODIC_GLYPH_3	1.35777	0.122618	0.000623399	9.17334	4.1771	0.455352
EXTRACTION	Doyle	PERIODIC_GLYPH_5	0.814678	0.122618	0.000926654	9.17334	4.17813	0.455464
EXTRACTION	Doyle	PERIODIC_GLYPH_7	0.581909	0.122618	0.00117938	9.17334	4.17273	0.454876
EXTRACTION	Doyle	FIXED_OFFSET_WITHIN_GROUP_1	0.305355	0.122618	0.19501	9.17334	8.84306	0.963996
EXTRACTION	Doyle	FIXED_OFFSET_WITHIN_GROUP_2	0.305355	0.122618	0.201079	9.17334	8.9019	0.97041
EXTRACTION	Longfellow	FIRST_GLYPH_OF_TOKEN	1	0.150407	0.00072558	9.52348	4.01324	0.421405
EXTRACTION	Longfellow	LAST_GLYPH_OF_TOKEN	1	0.150407	0.000665115	9.52348	3.66169	0.384491
EXTRACTION	Longfellow	FIRST_TOKEN_OF_LINE	0.17429	0.150407	0.19046	9.52348	8.0948	0.849983
EXTRACTION	Longfellow	LAST_TOKEN_OF_LINE	0.17429	0.150407	0.294709	9.52348	9.51623	0.999238
EXTRACTION	Longfellow	FIRST_GLYPH_OF_LINE	0.17429	0.150407	0.00416305	9.52348	3.95729	0.41553
EXTRACTION	Longfellow	LAST_GLYPH_OF_LINE	0.17429	0.150407	0.00381613	9.52348	3.53445	0.37113
EXTRACTION	Longfellow	NTH_GLYPH_OF_TOKEN_2	0.977961	0.150407	0.000803759	9.52348	3.59497	0.377485
EXTRACTION	Longfellow	NTH_GLYPH_OF_TOKEN_3	0.840645	0.150407	0.00093505	9.52348	3.89861	0.409368
EXTRACTION	Longfellow	NTH_TOKEN_OF_LINE_2	0.17429	0.150407	0.134779	9.52348	6.19322	0.65031
EXTRACTION	Longfellow	NTH_TOKEN_OF_LINE_3	0.173958	0.150407	0.333507	9.52348	9.61911	1.01004
EXTRACTION	Longfellow	PERIODIC_TOKEN_2	0.500015	0.150407	0.212891	9.52348	9.39584	0.986597
EXTRACTION	Longfellow	PERIODIC_TOKEN_3	0.333343	0.150407	0.256303	9.52348	9.28662	0.975129
EXTRACTION	Longfellow	PERIODIC_TOKEN_5	0.200018	0.150407	0.317261	9.52348	9.14666	0.960432
EXTRACTION	Longfellow	PERIODIC_TOKEN_7	0.142879	0.150407	0.356115	9.52348	9.03553	0.948763
EXTRACTION	Longfellow	PERIODIC_GLYPH_2	2.25728	0.150407	0.000348227	9.52348	4.14921	0.435681
EXTRACTION	Longfellow	PERIODIC_GLYPH_3	1.50485	0.150407	0.00052234	9.52348	4.15663	0.436461
EXTRACTION	Longfellow	PERIODIC_GLYPH_5	0.902923	0.150407	0.000870555	9.52348	4.15165	0.435938
EXTRACTION	Longfellow	PERIODIC_GLYPH_7	0.64495	0.150407	0.00121877	9.52348	4.14687	0.435437
EXTRACTION	Longfellow	FIXED_OFFSET_WITHIN_GROUP_1	0.28222	0.150407	0.151794	9.52348	6.9384	0.728557
EXTRACTION	Longfellow	FIXED_OFFSET_WITHIN_GROUP_2	0.28222	0.150407	0.269095	9.52348	9.76309	1.02516
EXTRACTION	Astafiev	FIRST_GLYPH_OF_TOKEN	1	0.0771107	0.000527674	9.68671	4.39184	0.453388
EXTRACTION	Astafiev	LAST_GLYPH_OF_TOKEN	1	0.0771107	0.000551126	9.68671	4.32156	0.446132
EXTRACTION	Astafiev	FIRST_TOKEN_OF_LINE	0.0423311	0.0771107	0.215235	9.68671	7.95251	0.820971
EXTRACTION	Astafiev	LAST_TOKEN_OF_LINE	0.0423311	0.0771107	0.293906	9.68671	8.34657	0.861651
EXTRACTION	Astafiev	FIRST_GLYPH_OF_LINE	0.0423311	0.0771107	0.0099723	9.68671	4.416	0.455882
EXTRACTION	Astafiev	LAST_GLYPH_OF_LINE	0.0423311	0.0771107	0.00831025	9.68671	3.84778	0.397222
EXTRACTION	Astafiev	NTH_GLYPH_OF_TOKEN_2	0.838708	0.0771107	0.000601188	9.68671	3.81387	0.393722
EXTRACTION	Astafiev	NTH_GLYPH_OF_TOKEN_3	0.752158	0.0771107	0.000654777	9.68671	4.38571	0.452755
EXTRACTION	Astafiev	NTH_TOKEN_OF_LINE_2	0.0419207	0.0771107	0.278601	9.68671	8.03794	0.82979
EXTRACTION	Astafiev	NTH_TOKEN_OF_LINE_3	0.0392824	0.0771107	0.328955	9.68671	8.94968	0.923913
EXTRACTION	Astafiev	PERIODIC_TOKEN_2	0.5	0.0771107	0.112031	9.68671	9.62926	0.994069
EXTRACTION	Astafiev	PERIODIC_TOKEN_3	0.333337	0.0771107	0.136701	9.68671	9.56921	0.98787
EXTRACTION	Astafiev	PERIODIC_TOKEN_5	0.2	0.0771107	0.176712	9.68671	9.46654	0.977271
EXTRACTION	Astafiev	PERIODIC_TOKEN_7	0.142859	0.0771107	0.20545	9.68671	9.39288	0.969667
EXTRACTION	Astafiev	PERIODIC_GLYPH_2	2.61422	0.0771107	0.000282586	9.68671	4.62489	0.477447
EXTRACTION	Astafiev	PERIODIC_GLYPH_3	1.74282	0.0771107	0.000396964	9.68671	4.62117	0.477062
EXTRACTION	Astafiev	PERIODIC_GLYPH_5	1.0457	0.0771107	0.000650392	9.68671	4.62283	0.477234
EXTRACTION	Astafiev	PERIODIC_GLYPH_7	0.746928	0.0771107	0.000832051	9.68671	4.61982	0.476924
EXTRACTION	Astafiev	FIXED_OFFSET_WITHIN_GROUP_1	0.319219	0.0771107	0.135841	9.68671	9.41123	0.97156
EXTRACTION	Astafiev	FIXED_OFFSET_WITHIN_GROUP_2	0.319219	0.0771107	0.137935	9.68671	9.56399	0.987331
SHORTHAND	combined	ABBREVIATED_vs_EXPANDED	0.998321	0.371852	0.40597	9.96676	10.1492	1.0183
SHORTHAND	koeln-edd-c-119-06.xml	ABBREVIATED_vs_EXPANDED	1	0.493395	0.527858	8.99014	9.11599	1.014
SHORTHAND	koeln-edd-c-119-07.xml	ABBREVIATED_vs_EXPANDED	1	0.564972	0.60452	8.43687	8.57322	1.01616
SHORTHAND	koeln-edd-c-119-11.xml	ABBREVIATED_vs_EXPANDED	0.995838	0.44641	0.470219	9.30935	9.41869	1.01175
SHORTHAND	koeln-edd-c-119-12.xml	ABBREVIATED_vs_EXPANDED	1	0.487626	0.507791	8.1537	8.21957	1.00808
SHORTHAND	koeln-edd-c-119-13.xml	ABBREVIATED_vs_EXPANDED	1	0.593066	0.629562	7.78109	7.89248	1.01431
