scale	null_kind	metric_id	observed_delta	null_mean_delta	null_sd_delta	effect_size	p_value	n_replicates
combined	NULL_RANDOM_DELETION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0452093	0.380546	0.00450849	-74.3789	0.25	3
combined	NULL_FREQUENCY_MATCHED_DELETION	EF1_GIANT_COMPONENT_SHARE	0.0452093	0.36168	0.00502214	-63.015	0.25	3
combined	NULL_POSITION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0452093	0.36892	0.0141333	-22.9041	0.25	3
combined	NULL_RANDOM_DELETION_MATCHED	EF2_GLOBAL_CLUSTERING	0.0611897	-0.0563317	0.00184202	63.8003	0.25	3
combined	NULL_FREQUENCY_MATCHED_DELETION	EF2_GLOBAL_CLUSTERING	0.0611897	-0.04876	0.00588079	18.6964	0.25	3
combined	NULL_POSITION_MATCHED	EF2_GLOBAL_CLUSTERING	0.0611897	-0.0516684	0.00340447	33.15	0.25	3
combined	NULL_RANDOM_DELETION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.0602696	0.183457	0.00606379	-20.3153	0.25	3
combined	NULL_FREQUENCY_MATCHED_DELETION	EF3_DEGREE_FREQUENCY_SPEARMAN	0.0602696	0.171297	0.0113517	-9.78065	0.25	3
combined	NULL_POSITION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.0602696	0.199094	0.0125846	-11.0313	0.25	3
combined	NULL_RANDOM_DELETION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
combined	NULL_FREQUENCY_MATCHED_DELETION	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
combined	NULL_POSITION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
combined	NULL_RANDOM_DELETION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
combined	NULL_FREQUENCY_MATCHED_DELETION	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
combined	NULL_POSITION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
combined	NULL_RANDOM_DELETION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
combined	NULL_FREQUENCY_MATCHED_DELETION	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
combined	NULL_POSITION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
combined	NULL_RANDOM_DELETION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
combined	NULL_FREQUENCY_MATCHED_DELETION	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
combined	NULL_POSITION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
combined	NULL_RANDOM_DELETION_MATCHED	EF1_ISOLATE_SHARE	-0.0188205	-0.145875	0.00383214	33.1549	0.25	3
combined	NULL_FREQUENCY_MATCHED_DELETION	EF1_ISOLATE_SHARE	-0.0188205	-0.12855	0.00811164	13.5275	0.25	3
combined	NULL_POSITION_MATCHED	EF1_ISOLATE_SHARE	-0.0188205	-0.144843	0.0107036	11.7738	0.25	3
combined	NULL_RANDOM_DELETION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.058087	0.0529096	0.0109648	-10.123	0.25	3
combined	NULL_FREQUENCY_MATCHED_DELETION	LP1_RULE_SUPPORT_GINI	-0.058087	0.0501595	0.00184346	-58.7193	0.25	3
combined	NULL_POSITION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.058087	0.0576673	0.00789791	-14.6563	0.25	3
combined	NULL_RANDOM_DELETION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.026756	-0.0732644	0.000908193	110.131	0.25	3
combined	NULL_FREQUENCY_MATCHED_DELETION	LP4_PREFIX_ATTACHMENT_NMI	0.026756	-0.0664333	0.00054232	171.835	0.25	3
combined	NULL_POSITION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.026756	-0.0681646	0.00191808	49.4874	0.25	3
combined	NULL_RANDOM_DELETION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0736339	-0.0231541	0.00160367	60.3541	0.25	3
combined	NULL_FREQUENCY_MATCHED_DELETION	LP4_SUFFIX_ATTACHMENT_NMI	0.0736339	-0.00599831	0.00155549	51.1944	0.25	3
combined	NULL_POSITION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0736339	-0.0165149	0.00160603	56.1314	0.25	3
combined	NULL_RANDOM_DELETION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
combined	NULL_FREQUENCY_MATCHED_DELETION	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
combined	NULL_POSITION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
combined	NULL_RANDOM_DELETION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
combined	NULL_FREQUENCY_MATCHED_DELETION	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
combined	NULL_POSITION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
combined	NULL_RANDOM_DELETION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
combined	NULL_FREQUENCY_MATCHED_DELETION	cs6/family-diversity-x-line-length	0	0	0	0	1	3
combined	NULL_POSITION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
combined	NULL_RANDOM_DELETION_MATCHED	cs7/edit-distance-x-structural-distance	0.0279889	0.0133605	0.0105021	1.39291	0.25	3
combined	NULL_FREQUENCY_MATCHED_DELETION	cs7/edit-distance-x-structural-distance	0.0279889	0.00996572	0.00295995	6.08902	0.25	3
combined	NULL_POSITION_MATCHED	cs7/edit-distance-x-structural-distance	0.0279889	0.00753494	0.00823917	2.48253	0.25	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	EF1_GIANT_COMPONENT_SHARE	-0.0111836	0.331307	0.00608287	-56.3042	0.25	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_GIANT_COMPONENT_SHARE	-0.0111836	0.311724	0.023236	-13.8969	0.25	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	EF1_GIANT_COMPONENT_SHARE	-0.0111836	0.304777	0.0117932	-26.7917	0.25	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	EF2_GLOBAL_CLUSTERING	0.115653	-0.0258957	0.00446675	31.6893	0.25	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	EF2_GLOBAL_CLUSTERING	0.115653	-0.0118308	0.0107288	11.8823	0.25	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	EF2_GLOBAL_CLUSTERING	0.115653	-0.0140152	0.00890951	14.5539	0.25	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.081468	0.188854	0.0275514	-3.89767	0.25	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	EF3_DEGREE_FREQUENCY_SPEARMAN	0.081468	0.210829	0.0171502	-7.54283	0.25	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.081468	0.22207	0.00571183	-24.616	0.25	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
